#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
CHML	RAB3C	9606.ENSP00000355511	9606.ENSP00000282878	0	0	0	0	0	0.050	0.500	0.146	0.559
CHML	RAB3B	9606.ENSP00000355511	9606.ENSP00000360718	0	0	0	0	0.056	0.103	0.500	0.131	0.583
CHML	OPN3	9606.ENSP00000355511	9606.ENSP00000355512	0	0.005	0	0	0.063	0	0	0.974	0.974
GAD1	GFAP	9606.ENSP00000350928	9606.ENSP00000253408	0	0	0	0	0.162	0	0	0.683	0.723
GAD1	NEUROD6	9606.ENSP00000350928	9606.ENSP00000297142	0	0	0	0	0.171	0	0	0.442	0.518
GAD1	RGS4	9606.ENSP00000350928	9606.ENSP00000397181	0	0	0	0	0.139	0	0	0.398	0.460
GAD1	GAD2	9606.ENSP00000350928	9606.ENSP00000365437	0	0	0.056	0.968	0.212	0.321	0.900	0.464	0.968
GAD2	GFAP	9606.ENSP00000365437	9606.ENSP00000253408	0	0	0	0	0.189	0	0	0.593	0.656
GAD2	RAB3C	9606.ENSP00000365437	9606.ENSP00000282878	0	0	0	0	0.294	0.060	0	0.190	0.416
GAD2	NEUROD6	9606.ENSP00000365437	9606.ENSP00000297142	0	0	0	0	0.241	0	0	0.358	0.492
GFAP	HSPB1	9606.ENSP00000253408	9606.ENSP00000248553	0	0	0	0	0.087	0.045	0	0.651	0.669
GFAP	HPRT1	9606.ENSP00000253408	9606.ENSP00000298556	0	0	0	0	0.049	0	0	0.405	0.410
GFAP	PRELP	9606.ENSP00000253408	9606.ENSP00000343924	0	0	0	0	0.049	0.046	0	0.404	0.412
GFAP	NEUROD6	9606.ENSP00000253408	9606.ENSP00000297142	0	0	0	0	0.213	0	0	0.411	0.516
RAB3B	RPH3A	9606.ENSP00000360718	9606.ENSP00000374036	0	0	0	0	0.081	0.356	0	0.732	0.827
RAB3C	RPH3A	9606.ENSP00000282878	9606.ENSP00000374036	0	0	0	0	0.151	0.129	0	0.765	0.811
