"Gene","GSM3577568","GSM3577569","GSM3577570","GSM3577572","GSM3577573","GSM3577578","GSM3577579","GSM3577585","GSM3577586","GSM3577587","GSM3577588","GSM3577590","GSM3577591","GSM3577592","GSM3577593","GSM3577594","GSM3577596","GSM3577598","GSM3577599","GSM3577600","GSM3577601","GSM3577602","GSM3577603","GSM3577604","GSM3577605","GSM3577607","GSM3577609","GSM3577611","GSM3577613","GSM3577616","GSM3577617","GSM3577618","GSM3577620","GSM3577622","GSM3577623","GSM3577624","GSM3577626","GSM3577627","GSM3577628","GSM3577630","GSM3577631","GSM3577633","GSM3577634","GSM3577637","GSM3577638","GSM3577639","GSM3577640","GSM3577641","GSM3577642","GSM3577645","GSM3577646","GSM3577648","GSM3577649","GSM3577650","GSM3577651","GSM3577652","GSM3577653","GSM3577655","GSM3577656","GSM3577657","GSM3577658","GSM3577659","GSM3577660","GSM3577662","GSM3577663","GSM3577664","GSM3577665","GSM3577667","GSM3577670","GSM3577671","GSM3577673","GSM3577674","GSM3577675","GSM3577677","GSM3577678","GSM3577681","GSM3577683","GSM3577684","GSM3577686","GSM3577687","GSM3577688","GSM3577689","GSM3577690","GSM3577691","GSM3577692","GSM3577693","GSM3577696","GSM3577697","GSM3577698","GSM3577701","GSM3577704","GSM3577709","GSM3577711","GSM3577714","GSM3577716","GSM3577718","GSM3577719","GSM3577720","GSM3577722","GSM3577723","GSM3577724","GSM3577725","GSM3577726","GSM3577727","GSM3577728","GSM3577729","GSM3577730","GSM3577731","GSM3577732","GSM3577734","GSM3577735","GSM3577736","GSM3577737","GSM3577738","GSM3577741","GSM3577742","GSM3577743","GSM3577744","GSM3577747","GSM3577748","GSM3577750","GSM3577751","GSM3577753","GSM3577755","GSM3577756","GSM3577757","GSM3577758","GSM3577759","GSM3577761","GSM3577762","GSM3577763","GSM3577765","GSM3577766","GSM3577767","GSM3577768","GSM3577770","GSM3577771","GSM3577772","GSM3577773","GSM3577774","GSM3577776","GSM3577778","GSM3577779","GSM3577780","GSM3577781","GSM3577782","GSM3577783","GSM3577784","GSM3577787","GSM3577788","GSM3577789","GSM3577790","GSM3577791","GSM3577792","GSM3577793","GSM3577795","GSM3577796","GSM3577797","GSM3577798","GSM3577799","GSM3577802","GSM3577804","GSM3577806","GSM3577807","GSM3577808","GSM3577809","GSM3577810","GSM3577815","GSM3577816","GSM3577817","GSM3577818","GSM3577819","GSM3577822","GSM3577823","GSM3577824","GSM3577827","GSM3577828","GSM3577829","GSM3577830","GSM3577831","GSM3577833","GSM3577834","GSM3577836","GSM3577837","GSM3577839","GSM3577840","GSM3577841","GSM3577842","GSM3577843","GSM3577845","GSM3577846","GSM3577847","GSM3577848","GSM3577849","GSM3577850","GSM3577851","GSM3577852","GSM3577853","GSM3577854","GSM3577855"
"ADAM33",4.639744533,5.698602396,4.818265414,5.346014535,4.352229168,4.599615731,4.003560637,3.615515712,4.769994838,3.035107914,4.7752969,5.265466445,4.098350264,3.958555547,5.431327144,4.47826709,4.268292952,4.66626796,2.579727497,3.408027188,5.173620145,3.673803654,4.08767427,3.393315965,5.208485595,5.367376961,4.423628274,3.963369896,3.398357967,4.916932321,3.767849091,4.04977475,3.151737521,3.202026445,4.171211146,4.091721011,3.177894434,4.507538181,2.918510766,4.868554283,5.304701067,5.892722955,3.413517786,4.234596342,3.83239918,4.311282191,4.614220183,3.363853442,2.875746026,5.430519163,4.530164161,4.356059612,2.378173992,4.169762706,4.529978837,4.253034573,4.654461094,3.072586679,4.290919046,3.710922338,5.551510035,3.249220356,5.063839228,4.55443713,3.67981892,3.06860646,4.362277497,4.683885928,5.181205168,5.05241004,4.989684737,3.779733798,5.171912766,5.138450031,2.880458764,4.129945477,4.914291458,4.747395139,2.366939771,5.323408819,4.422398663,3.611703836,3.884225994,3.389440491,3.376077555,5.113738562,5.678418669,4.671945555,3.852727765,3.40935076,5.303742208,3.250709773,4.20148892,2.982292796,4.511912176,1.734808528,5.13885025,3.659746506,4.293079493,3.365895012,5.415930395,5.512551267,4.722050132,5.086176267,4.244862242,3.85285508,4.083899312,4.161545149,4.925311964,4.614680486,4.269440015,3.551401345,5.830496165,3.485895817,2.973022645,3.923757928,4.820728801,3.302657917,5.253538686,4.423882504,5.008405369,4.303083219,3.779542119,3.456819892,4.053008356,5.552638176,3.248866946,4.337426826,3.812117369,4.665865428,2.836223371,4.309940311,4.880538934,4.21061455,4.068808063,3.172394396,3.277296217,5.20589233,4.3387779,4.783230307,3.349326891,3.441068366,2.156850407,4.991048255,3.170940122,5.166912193,4.729055052,4.471752447,4.492641561,6.127766955,3.571295892,5.335040513,3.6694162,3.474412798,4.518253182,3.364817914,4.802313289,5.53864085,4.608392866,4.692861042,4.300196811,3.270951136,5.116845914,6.373252607,3.050872391,3.885636135,5.043434938,3.853682613,5.111276877,4.915287634,4.287938885,2.349787439,4.39800285,5.573854333,5.330285172,4.90144501,3.756940242,5.620457786,4.892527439,5.019590559,4.590346009,4.696318261,3.508409704,4.012442604,4.519817214,2.939425431,6.416204369,4.905065189,3.563015967,4.060272736,4.712182129,4.775085422,3.262509887,3.416422505,4.372192049,4.488443063,4.288635335,4.939577715,5.221381755,3.505338047
"AEBP1",5.955801337,7.469564332,4.573118235,6.47186396,4.620325738,5.141988044,5.899527369,5.485543806,6.646529817,4.817308864,5.999644381,7.110301881,5.232787261,5.454094204,5.415077102,6.894430155,5.299884084,6.602826313,6.261669804,6.577523664,4.79573796,3.626621148,6.077480948,4.637310845,5.968376176,6.459323495,3.883537252,6.919122795,4.292098147,5.502147831,6.235908337,6.778212171,5.490645043,6.417977338,5.387957417,4.984609436,5.880426312,4.875111139,6.24080853,6.12137293,7.148523752,6.124143773,4.248069742,6.088361298,5.623006219,7.346738253,5.39102498,5.206338132,4.251427054,5.699193711,5.193716494,5.647714009,6.004891983,7.151375419,4.919177345,5.432399499,5.245446812,6.534765887,5.84292751,6.178576675,6.379768171,5.450638258,6.859779218,7.268725513,5.21201476,5.045469882,5.908570113,5.773024785,7.99846559,7.135460208,7.080835294,5.107524894,5.394716769,7.75741581,2.988635249,5.25305291,6.751020159,6.024436479,4.723191068,5.69206853,6.784192224,5.850858173,4.756338517,4.338708195,4.740075368,6.200144608,6.288418959,5.637125749,6.405222247,5.450474991,6.417451958,4.981099178,6.063735071,3.372195331,5.805956591,4.89678136,5.829293819,6.925950668,6.405168242,6.417335349,6.62368327,7.796884252,6.291399447,6.306866077,7.407556753,5.030500165,3.939928685,5.020696819,6.864929757,6.164143813,5.2273214,5.817378003,7.15496014,4.855485755,4.824095873,7.949072495,7.178787011,5.354552124,4.981973743,5.501251737,8.313810471,5.243755997,6.564358871,5.921991584,5.085672771,5.627875197,4.199234321,7.325454935,4.922586048,5.349521472,5.170050779,4.667400384,5.31590444,4.822944016,6.697090127,7.426638203,7.639829382,6.488858749,6.338123754,5.894883056,4.834755492,5.820393504,4.743604533,7.121704055,5.082886889,7.427412692,6.775351949,5.509189222,6.380598384,6.643659058,6.278328123,6.921946294,5.079205488,4.542387167,6.803178513,5.561077889,7.056881516,6.158557958,6.078151548,6.542479366,6.519646949,5.555363694,6.306625409,7.937125324,6.517264442,6.216014578,6.023862868,4.419011823,6.27094136,6.551906328,6.839447775,5.419914188,6.140358399,6.75799468,6.772426633,5.749414127,3.470993816,6.783729382,6.645726489,6.546369909,6.519150639,9.044341223,6.366075749,5.4462644,5.831129852,4.167333764,8.353812178,6.269750857,5.718177452,5.804607213,7.494263253,5.405692839,3.901438962,5.109933732,5.614101687,5.324964277,5.663069238,5.585248379,5.272097717,7.126630717
"CCDC102A",3.421182378,2.437670223,1.995292363,2.250183442,1.588086777,2.431419556,1.319207132,1.553819255,2.494458795,-0.151346801,1.249235359,2.274026019,1.222516424,1.485395248,2.391101794,1.91644882,0.573530506,2.075254177,0.565371473,1.783880134,1.709441635,0.595467311,0.586153254,1.038511526,2.352399078,2.079755871,1.767587674,1.925164811,0.636761637,2.928532278,2.17437851,2.421784585,0.709689325,0.577399593,1.90140958,0.44455888,0.724107386,1.167220092,1.099501958,1.724467097,2.421897183,2.020480775,0.786874695,2.007492081,0.298115181,2.521960658,1.662813086,0.478907338,-0.229574086,2.917039681,2.053086799,1.154006785,0.874207527,1.611055689,0.911883647,0.459844985,2.478870676,0.318204144,1.322918238,1.682982711,1.80367582,0.831583294,1.966420358,3.114477027,0.318342496,0.502814358,1.891625324,2.256738944,3.630816349,2.494810776,3.152076638,1.157356448,2.467141116,1.657618341,-0.823349829,1.555530764,2.019301836,1.674469108,0.228672582,2.023581829,1.875351683,0.90151305,1.490594309,0.689960292,0.802971333,2.367372004,2.262059703,2.252456877,0.865864101,0.226626097,2.147479096,0.442172207,1.125550287,0.729413862,1.579848755,0.397293357,2.048499546,1.398382345,1.558119919,1.238900118,3.175433734,4.008406319,1.951820558,1.930468924,1.413990051,0.871845671,0.503088457,1.571799216,1.797001873,1.399187232,-0.036317863,1.127615851,3.534417393,0.601643609,0.214688308,3.075864321,1.673459442,0.205515622,1.60131379,1.678121469,2.310213489,0.985577213,1.303489935,1.03141863,1.235596509,2.830651564,0.679808487,0.812017533,1.516153934,1.319561113,-0.270760569,1.343824599,2.321499262,1.102448165,1.605249711,1.766051704,2.095201739,1.947291171,1.115382205,2.559851643,1.40786071,1.044731057,0.616225455,1.970010345,0.951718776,2.093703589,1.786340577,2.789322082,2.541616203,3.069170197,0.958173165,2.556203723,1.407783165,0.704000386,2.217326479,1.154051294,2.300599741,2.295465301,2.491488382,0.57732656,0.928626136,0.578548612,3.250872457,3.609414723,0.793227448,1.017821627,1.980402416,0.942000059,2.520957823,2.742085923,1.949267321,0.871751626,2.463863591,2.545007305,2.514136475,2.667954229,0.393301736,3.219104609,1.613316046,1.807887927,2.116493753,1.964389131,1.650153809,1.435438622,1.420636126,0.532031001,2.125162415,3.145198404,1.581817557,1.893550503,2.740806465,2.371083012,0.931210377,0.467888806,1.849629016,2.405834228,1.670530313,2.234011242,2.025202648,1.998927075
"CLDN9",3.873565987,1.266836678,1.534129248,1.998798817,0.547617663,2.182848289,1.749659919,1.627016215,3.315865011,-0.215968287,2.873135851,2.014695746,1.030186997,2.390489586,2.500762982,0.58094207,2.15780885,3.159503426,0.4371599,1.746765897,0.836073362,2.489863599,3.024472638,0.211953897,2.647075487,3.416600928,2.513452988,3.359000083,0.764204248,2.452917179,1.996437353,3.980234787,1.213249319,2.038495077,2.882646061,1.262164632,1.805041813,2.398957682,2.088452132,1.52911325,1.781768702,3.444009969,1.053481851,3.479116116,0.525050265,2.100269929,1.650122064,1.131924479,0.904509455,2.098713944,1.755058857,4.157663879,1.980536864,2.577852626,1.48846426,2.278164757,2.45867072,0.878930238,4.287042107,2.309520098,1.610614316,1.318631552,2.78015611,3.303077513,2.57743601,-0.684322607,1.662509155,1.838260799,2.144865312,1.108531866,3.231960101,2.066221968,2.817137248,2.946401387,2.094795529,2.303225317,2.669554982,3.241399488,0.461305043,1.991898668,2.712112028,0.278045149,1.507879459,0.476097149,1.039813603,1.786973437,1.722239704,2.372889464,-0.596135492,1.983439586,4.586216241,1.547246987,1.694605742,0.544357995,2.578327788,0.548368771,2.761437284,1.240021527,0.947766864,1.936700924,3.190974441,3.284286321,2.478578356,1.649978313,1.840566612,1.616192479,1.689581065,1.285814725,1.918001385,2.169323067,1.373372633,1.384112988,3.273686223,1.602903872,0.496784707,3.097155694,1.755099745,0.807886428,2.253989258,1.730539027,3.671160482,1.059332478,4.126157582,1.203284701,1.430073631,3.624067727,0.483889135,2.555442364,1.98105055,2.54029369,1.151991161,1.695417122,3.096955526,2.750301988,1.578575185,2.309963734,3.143913443,2.412282929,1.986455146,2.700830979,3.245649856,0.505950684,0.639187965,0.619717086,1.848853329,2.956249997,1.279711301,2.243462913,2.450648253,3.406795195,1.275236857,3.542784745,0.724358804,1.51447656,4.518253182,1.373412195,4.530534356,1.741131329,2.700915715,3.593665454,3.499251733,0.424647707,3.509249645,2.981985676,1.659450322,0.884759526,3.598735959,1.535055353,2.400923022,2.988068464,2.450130759,2.387815173,3.211112411,3.0709053,1.811127085,3.309516566,1.675922609,3.697140833,2.554640785,1.88314567,2.224516688,0.330992796,2.369579873,0.196618668,0.860285492,0.720592192,1.835407158,2.666180838,2.215574627,0.941492122,2.233005091,2.79812647,1.80959443,-1.309742807,1.217787971,2.427894063,1.907930686,4.218357141,2.244245944,2.301531832
"GFAP",13.29674017,14.52219733,12.96739372,13.04646759,12.87405005,12.72399786,13.1344331,12.08530226,12.77455845,10.81291156,14.02259918,13.83846184,11.82172896,12.15219,11.46535632,13.91952792,12.88214397,13.02701125,13.00112771,13.15224552,12.24784321,12.60675749,12.78780895,12.63494741,12.45667663,13.74520492,10.87502753,14.68302547,12.17794091,12.64595815,14.54743456,13.00626513,12.45650811,12.63813537,13.30026019,13.34686131,12.99345474,11.30227259,12.47061432,13.28015195,14.10156976,13.52968892,11.72067137,12.70731394,13.38528361,13.99811855,12.22757147,12.4176066,9.527288357,13.60186,13.19292823,12.56977307,13.27377901,14.11694763,11.62205108,12.15665258,11.61182682,12.97945622,14.00734658,12.77340404,13.69766267,12.28997386,14.28389865,13.7487231,12.83263301,12.2180412,13.76842956,13.78373099,13.86471526,13.62391754,12.61609369,12.52621859,13.55999495,15.17636747,11.35796208,12.73958841,12.72270493,13.28674297,12.28835469,12.56794281,13.39910225,13.90390783,12.21100663,11.74811192,12.5382043,14.07433114,13.52068727,12.6877057,13.60297662,12.64380748,12.93896817,11.99732467,13.66963697,11.44437618,11.44550813,12.44511234,12.67082147,13.2039396,13.25566628,13.89579751,12.53271432,14.08503054,13.10353064,13.32682584,13.63735073,11.37703036,12.03153956,13.74279007,13.89226101,14.01464589,13.68107446,13.54013731,13.54062954,12.76659773,12.44942411,13.36530219,14.94834309,11.78433821,12.27167498,11.81008221,14.90355777,11.96081435,12.90077603,12.22115419,13.2372328,12.53861855,11.85888936,14.69067931,12.28931504,13.01418833,11.92999311,12.59434062,12.42357389,13.20760365,14.01898296,14.39290123,13.9915649,12.93833795,13.50231412,13.52111269,12.9726111,13.11420653,12.09894436,14.72196412,12.09076979,14.82205086,13.62770416,11.90233964,13.53000019,13.1635585,12.73219993,13.60749126,13.09023109,12.38877005,13.30335364,13.65188506,14.39003092,13.52890601,13.62450189,13.77043369,13.75536395,13.46162215,12.27423541,12.52255638,12.71387221,13.4999162,13.08921608,11.47197167,13.59185831,13.21789138,13.21449923,12.30381262,13.51861777,12.90401772,13.86363265,11.42923945,11.44613981,12.78254073,14.05515617,13.10957241,13.50032702,15.51816253,13.17861677,11.99936399,12.86279262,11.09513193,14.98736752,12.45830633,12.1127563,13.12548151,13.91811263,13.32144921,12.19690398,12.30630413,13.27274162,13.41912641,13.06701051,13.75743478,12.29624311,13.80866848
"HSPB1",11.88918409,7.41100611,6.262181865,8.925524517,7.042283382,8.939296935,6.737898024,7.551786197,8.49507189,5.142934051,8.280462274,8.371237899,6.294512091,8.033304337,8.711863112,7.420169249,7.173692812,9.042493357,6.677588453,7.261727563,7.23938778,7.486007192,7.600637786,6.00116324,8.947829208,10.00394278,7.849634371,8.394599028,6.195668088,8.3329475,8.584492255,10.59207408,6.55040924,7.61074765,8.089812124,7.549594351,7.997180252,8.337935971,8.216335486,6.869691282,8.842284673,7.415808662,6.755425201,10.09183104,6.030778921,10.06735318,7.214107603,6.381114625,5.806825437,9.466503109,7.17982778,8.942996613,8.826245051,9.506888449,7.01758111,7.27289351,8.024938699,6.749297106,8.415266472,8.822191845,7.325087742,6.699365697,7.838991634,9.589654141,7.05459703,6.163535201,7.376621482,7.41562359,9.948516458,8.967524614,9.945884564,7.377125165,8.322151078,9.422375932,7.050797131,7.420541645,8.42513876,9.057105304,5.886856535,8.131117636,8.445070433,6.709376656,6.887631301,6.558007714,6.321054914,8.581231344,7.95677901,7.162179528,6.884241726,6.526838957,9.550318036,6.220288713,7.908503412,6.447171473,8.473042621,6.259883152,7.943901485,8.530356269,7.383399941,6.97813891,9.901939906,12.5255796,8.007502566,6.870794777,8.678678074,6.568000416,6.73243046,7.722647274,7.298260735,9.008554509,7.848370775,7.598354584,10.21760597,7.243625734,5.842923644,11.36245402,8.811431128,6.065718749,7.311930096,7.278317908,9.406510401,6.352157299,10.643617,7.496139495,7.133167269,9.607398232,6.893802322,8.507099639,8.320593826,7.007563057,6.253530193,7.148235882,8.92353797,7.421093636,7.033271306,7.714768936,8.583014332,7.872410382,7.184278667,8.068467238,7.268518017,6.716545362,6.441192321,7.256696122,6.921168103,8.679502404,6.95073402,9.451987007,8.494950347,9.628756154,8.056614535,9.010298049,6.743133341,6.417802604,10.47490248,7.022207626,9.248569194,7.075742701,8.22854668,8.437885544,8.435987824,5.587453797,10.55785698,11.14943647,6.992450302,7.81014242,9.546974993,6.612404234,8.585669917,10.0659292,9.084942159,8.357275644,8.830326279,8.429055579,7.912805305,9.722587354,6.001521873,9.997955602,7.447944139,8.406146502,7.545173762,9.28728453,6.936529927,6.840211077,7.19808095,6.042595021,8.426420564,10.53294237,7.488304222,7.597017684,9.073015632,8.849609601,6.488647279,5.679238681,7.560058714,8.746908734,7.110659093,9.139273751,7.669055486,8.398713086
"HSPB7",1.098547142,3.345528519,0.699104836,2.28615776,2.433225511,3.267360808,1.65026872,0.237211838,1.027523067,0.282072842,2.198922075,1.471779335,1.275547886,1.144806204,1.552169831,0.468090576,0.633609621,1.007939689,0.4371599,1.471452386,1.268404983,0.942300981,0.637497964,0.734315449,2.045278345,2.024485715,0.726606439,1.448946606,1.030736923,2.427078616,0.758158102,0.515060883,0.709689325,-0.647214927,0.54458229,0.82859923,1.594455761,0.306037409,0.915461453,2.28227104,2.728325553,2.582682113,0.632484844,0.997508883,0.640313235,2.41495604,1.571538123,0.933515909,0.406118666,2.772649814,2.263684665,0.431105096,0.778704755,1.96538912,0.260926144,0.514045221,2.154040457,0.831705248,1.671128543,1.267611694,2.630916313,1.49155516,2.14398149,1.513454973,0.448842012,0.889680468,1.79583018,1.916988339,1.776896725,2.335330402,1.895284918,0.45625296,2.397178298,3.616066665,0.160966276,1.485084454,1.805448839,1.521418622,0.081135853,1.915147718,1.214749254,1.782894983,0.896608417,1.125152347,0.293847546,2.117573581,2.292441687,2.419210835,2.124961852,0.365775564,1.062693284,-0.357214527,1.50900149,0.121275913,0.970724606,0.663203399,2.334677794,1.835029539,2.034199573,1.027095947,2.687405799,2.674401563,1.317087117,0.870820705,0.756006277,-0.944891623,0.070273765,1.527900916,2.426946591,2.730706296,0.150267377,1.245479027,2.287428954,0.601643609,0.390470055,2.596950513,2.934865429,0.487564634,1.779042664,0.384694899,1.528618737,0.715941599,0.771582988,0.740279698,2.088176473,1.56763598,0.571131136,1.944048092,0.578306325,1.11355679,0.595814492,1.232442525,2.353235475,1.075895593,1.870103672,2.166020535,0.901018273,1.348786153,1.626485674,2.424072743,0.894045192,0.786262837,0.278761645,2.855743905,0.848588792,2.388042626,2.090694682,0.715736961,2.049798746,3.058564588,1.945981267,2.261720725,1.358934573,1.260914216,1.060026524,1.413548306,1.863442889,2.425418842,2.037752522,1.821799108,0.631834616,0.782407158,1.771294818,1.932273019,0.104049899,1.836333637,1.127654211,-0.082554318,2.531390637,1.749119839,2.257599424,0.850121881,1.990395098,1.804229242,2.655381083,0.906920197,0.364302488,1.984988112,2.041039151,1.585595094,2.476644309,3.123260035,0.954341564,1.339970948,1.46788991,-0.435707522,2.564144492,1.944060379,0.823181511,0.687988464,2.175699115,1.472149413,0.95191341,0.649322077,1.308169769,1.997453509,1.467678163,1.969762392,1.223571551,1.488071236
"KANK2",5.027480048,6.691240383,5.737339792,5.893659302,5.834804373,5.574032324,5.275549011,4.479202384,5.612743765,3.634279261,5.200162841,5.550421713,5.13573348,5.556010541,5.735148689,5.557838704,4.702722551,4.987824429,3.703196828,5.310330753,5.569805014,4.207106104,4.337106123,4.819695522,5.465506011,5.484644629,5.733859924,5.31539109,4.57538549,6.500079076,5.95517848,4.04977475,4.664565472,4.658585498,5.266389729,4.098728007,4.392199347,4.539201954,4.80765841,5.891980726,6.176220152,5.253497522,4.908485225,5.412881106,4.890176455,5.585993351,5.690434054,4.119472103,4.379259879,6.115819193,5.590235572,5.4824342,5.62140463,5.382626517,5.15225822,4.013019241,6.033186184,4.041521619,5.500260285,4.722541601,6.211204645,4.366350109,5.990332408,5.937228995,3.995682459,4.577308691,5.967072472,6.1798868,6.665281383,6.1592048,5.732609972,5.351525028,6.393257747,5.570371109,3.340331516,5.137237116,5.606845439,5.079862659,4.274344742,6.023150452,5.484279012,5.741987908,4.784979794,3.680909076,4.847964407,6.059347878,5.869389864,5.934335079,4.834068931,3.953654786,5.195474012,4.345533199,5.488363777,3.936958907,4.983325799,4.241078464,5.976700801,5.259867036,5.417202416,4.647437143,6.6860179,6.313660001,5.727419026,5.914351312,5.460674286,5.298244748,4.776777379,5.431405073,5.828213085,5.577637842,4.985127679,5.180941235,7.115642967,4.34512817,4.283936314,5.020202424,5.805594419,4.639838027,5.642039929,5.149578973,5.405531505,4.426674153,4.686961765,4.764776769,5.256779702,5.561969556,4.281300166,4.897985738,4.687090722,5.121926336,3.768151618,5.089984156,6.230276067,5.186252354,5.092365188,4.797735774,5.646715855,5.634874952,5.020349313,6.295895795,4.875847713,4.582327146,3.94515797,6.237967007,4.895098194,5.048806469,5.62382358,5.361958878,6.109703126,6.566224687,4.980859493,5.627982802,5.132251246,4.881295756,5.255687301,4.770566222,5.660179317,6.420763201,5.52724299,4.604748879,5.15288142,4.553274911,6.078957731,6.410399995,4.42661276,4.856170314,5.157566898,4.565072916,5.907322487,5.595613557,4.841803469,4.181157734,5.334847167,6.120228341,6.747660606,5.738141086,3.988368645,6.014166013,5.075324528,5.412554297,5.895562006,6.589896031,4.767708564,4.778464894,5.134309333,3.661194619,6.337927755,5.316934208,4.541751073,5.448539961,6.039067596,5.705773326,5.364903487,4.17295429,5.132156414,5.577724885,5.480097305,5.696031621,5.528267698,5.43295342
"KLF15",6.226069229,5.712315186,6.295955952,6.391575223,6.012750319,6.588461005,5.42116249,5.266807433,6.650011651,3.5049228,4.683216875,6.050649505,4.782734704,5.428682127,6.023984111,5.529996026,5.48045177,5.184366935,5.696982621,5.783250345,5.491957914,5.557371539,5.385586216,4.73884933,6.121943978,6.181524298,5.917252034,5.720939127,5.280271006,6.532247985,6.439711138,5.290227419,5.258842095,4.991423952,6.026294069,5.260889159,4.920988985,4.820651769,5.704029802,5.787541892,6.724110584,6.010422021,4.912684723,6.369213377,5.678845279,6.441754118,5.921853813,5.208170831,4.312253623,6.816415854,6.405693343,5.546441747,5.982741705,6.194366638,5.328543815,3.795028035,4.994986727,4.983146811,5.917547063,5.997209915,6.008775913,5.331462426,5.874640458,6.712298621,4.969566547,4.01179249,5.646510316,6.304698128,6.4189679,6.483142881,6.808130139,6.581040141,5.904997645,6.121698035,3.875240236,5.257022054,6.48747481,6.063078936,4.860758463,6.232505792,6.123424223,5.341307971,4.988008094,4.906355588,5.452603681,6.324727414,6.12006026,6.507392267,4.82424923,4.620196679,5.974043978,4.306404332,5.555829732,4.673766795,5.818833413,4.732909303,6.476691944,5.545392208,5.716555685,4.69607785,6.226586722,6.926942755,6.463671183,6.160599799,6.216273436,5.68490498,5.236415591,5.710794279,6.01132217,6.291256624,4.823033557,5.614815637,6.665417607,5.087678844,4.991422561,6.36668508,5.307032779,5.143137655,5.97211402,5.501251737,5.823964271,5.439455321,5.707217732,4.953196091,5.732202534,6.307809631,4.950619964,5.593226778,5.150447094,5.619365304,4.779921527,5.356017941,6.97040508,5.521205759,5.273745062,5.548237714,6.657359317,6.64576527,5.276071431,6.79625659,5.873595739,4.847748446,4.77763411,5.20099253,5.5505644,6.038339584,5.621761008,6.098465565,6.875036068,5.99918115,5.921142802,6.997456661,5.431937827,5.04048412,5.790287329,5.989759959,6.663383535,6.249782778,6.230170093,5.882441764,5.502569818,4.259048881,6.770569566,7.250848877,4.879241952,5.59633161,6.670340696,5.06628615,6.561751304,6.057654038,6.055120808,4.47589125,6.650425371,6.632165292,5.931735111,6.071166827,4.968933841,6.435232375,5.409869535,5.93807878,6.449816103,5.451234295,5.802605782,5.18098875,5.722481893,5.292793402,6.128444852,6.791869355,6.060995631,6.122366442,6.456434269,6.612368401,5.821739913,4.727068863,6.012189405,6.850121697,5.814763041,6.525160404,5.625089956,6.397359608
"MRGPRF",2.573044071,3.007067716,1.85732731,1.846501246,2.149088618,2.307513102,1.382515262,1.013728436,2.15683074,-0.507987831,2.847257707,3.387631362,1.29280052,1.423408115,2.713130193,1.605666778,0.573530506,2.609424116,-1.983332194,0.968456869,1.66958596,0.555717092,0.687077969,1.329708185,3.085664853,2.408113728,2.907397437,1.694143201,0.20509394,3.292793858,2.541851385,1.755937687,0.662572498,1.464070708,1.884877666,0.894505522,0.397119101,2.079263941,1.846822583,2.790536061,1.926299775,2.25320087,1.472972882,1.362104149,0.983722134,2.558984291,2.336871804,0.885457768,0.510488754,2.549106532,1.445285106,2.883219753,1.569478467,2.368945686,1.425097928,1.944920503,2.886760104,-0.028745242,1.951422138,1.407137635,2.50523609,0.765730826,2.869472093,2.651206322,0.584823193,1.288278741,2.089292727,2.75514315,3.967716782,3.009892677,2.531189174,1.689905022,2.411444921,1.533446136,0.686620674,1.671095642,2.306691106,1.939073177,0.437233629,3.503029879,2.00494127,1.607804227,1.265200357,1.058290185,1.745420469,1.843031094,2.497608033,3.120720912,1.250172702,-0.295731919,3.18807383,0.442172207,1.50900149,0.426873833,1.748019286,0.167579746,2.674933704,1.778531653,2.022223521,1.323897596,3.175433734,3.45467802,2.034963608,2.078396359,1.551339738,1.188608866,0.987222546,2.262778614,2.826553489,2.213399346,0.235227574,1.855919342,4.580101747,1.130347715,0.896982462,2.813090866,2.335396193,0.701465661,2.140246602,1.508370974,2.476282746,1.094842691,1.585457625,0.740279698,1.705300118,3.328468966,-0.144819879,1.989468607,0.947185206,1.903555603,1.241461613,2.016832178,2.945564918,1.626186895,2.219973955,2.8195667,1.683839713,2.309320091,1.401855999,3.393941431,1.145179926,0.757674624,0.705960814,2.174084587,0.341405998,3.173819278,1.80099802,1.673023838,2.39850041,2.569009936,1.81389911,2.831865541,1.643583435,1.279277502,2.185135536,1.581504334,2.315606887,3.220766525,2.868062856,2.042283965,1.991488608,0.252346925,2.605979645,3.401008622,0.649299766,1.437619377,1.989316943,0.485660495,2.582452179,2.132837155,1.747247966,1.698594908,2.048813814,2.531146589,2.526449617,3.420872377,1.733753304,3.357404043,1.545355235,2.304139772,2.659845686,3.763877203,1.378679455,1.923420777,1.355122659,-0.435707522,3.026997835,2.565573769,1.077879152,2.176363382,2.830177198,1.900693686,1.297545644,0.810466143,1.512078332,2.349162183,2.508080185,2.234011242,2.416449918,1.830476617
