"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Metabolism","Global and overview maps","hsa01200","Carbon metabolism","11/128","116/9423",0.0948275862068965,6.98094019396552,7.60580935147142,4.42947184542348e-07,0.000155917408958907,0.000155917408958907,"ACAT2/PCCB/MDH1/GOT1/TKFC/TPI1/IDH2/SDSL/ENO2/FH/DLD",11
"Cellular Processes","Transport and catabolism","hsa04145","Phagocytosis","15/128","260/9423",0.0576923076923077,4.24714543269231,6.2304785990124,2.22177042901373e-06,0.000391031595506417,0.000391031595506417,"TUBA1A/ACTG1/ATP6V1A/TUBB4A/DYNC1I1/ATP6V1G2/ATP6V1E1/HLA-DQB1/ACTB/MPO/TUBB2A/GABARAPL1/ATP6V1B2/TUBB2B/TUBB3",15
"Metabolism","Amino acid metabolism","hsa00270","Cysteine and methionine metabolism","7/128","54/9423",0.12962962962963,9.54296875,7.38772831631038,7.5426859612957e-06,0.000885008486125362,0.000885008486125362,"LDHA/BHMT/MDH1/GOT1/KYAT3/SDSL/GSS",7
"Human Diseases","Infectious disease: bacterial","hsa05110","Vibrio cholerae infection","6/128","51/9423",0.117647058823529,8.66084558823529,6.43720729249657,6.09773457989643e-05,0.00536600643030886,0.00536600643030886,"ACTG1/ATP6V1A/ATP6V1G2/ATP6V1E1/ACTB/ATP6V1B2",6
"Human Diseases","Infectious disease: bacterial","hsa05132","Salmonella infection","12/128","249/9423",0.0481927710843374,3.54781626506024,4.78123675217397,0.000139607799856425,0.00982838910989234,0.00982838910989234,"TUBA1A/ACTG1/TUBB4A/DYNC1I1/ACTB/PFN2/NLRP3/TUBB2A/TXN/TUBB2B/PAK1/TUBB3",12
"Metabolism","Metabolism of terpenoids and polyketides","hsa00900","Terpenoid backbone biosynthesis","4/128","24/9423",0.166666666666667,12.26953125,6.4866801800209,0.000279600621211493,0.0146763464656408,0.0146763464656408,"HMGCR/ACAT2/PCYOX1L/HMGCS1",4
"Cellular Processes","Cell motility","hsa04814","Motor proteins","10/128","195/9423",0.0512820512820513,3.77524038461538,4.59532209263336,0.00031222971093276,0.0146763464656408,0.0146763464656408,"KIF11/TUBA1A/ACTG1/TUBB4A/DYNC1I1/ACTB/TUBB2A/TUBB2B/MYO1G/TUBB3",10
"Human Diseases","Infectious disease: bacterial","hsa05120","Epithelial cell signaling in Helicobacter pylori infection","6/128","71/9423",0.0845070422535211,6.22117077464789,5.18199108382716,0.000388610489686973,0.0146763464656408,0.0146763464656408,"ATP6V1A/ATP6V1G2/ATP6V1E1/CXCL2/ATP6V1B2/PAK1",6
"Human Diseases","Infectious disease: bacterial","hsa05130","Pathogenic Escherichia coli infection","10/128","201/9423",0.0497512437810945,3.66254664179104,4.47748904415836,0.000397577004748737,0.0146763464656408,0.0146763464656408,"TUBA1A/ACTG1/TUBB4A/ACTB/NLRP3/TUBB2A/TUBB2B/MYO1G/PAK1/TUBB3",10
"Metabolism","Carbohydrate metabolism","hsa00650","Butanoate metabolism","4/128","27/9423",0.148148148148148,10.90625,6.0488316803126,0.000447463698470829,0.0146763464656408,0.0146763464656408,"GAD2/ACAT2/GAD1/HMGCS1",4
"Metabolism","Amino acid metabolism","hsa00280","Valine, leucine and isoleucine degradation","5/128","48/9423",0.104166666666667,7.66845703125,5.43515802216406,0.000458635827051275,0.0146763464656408,0.0146763464656408,"ACAT2/PCCB/DLD/ACADSB/HMGCS1",5
"Organismal Systems","Excretory system","hsa04966","Collecting duct acid secretion","4/128","28/9423",0.142857142857143,10.5167410714286,5.91794213683045,0.000516589503140912,0.0150370831507919,0.0150370831507919,"ATP6V1A/ATP6V1G2/ATP6V1E1/ATP6V1B2",4
