"","AD-21","AD-20","AD-23","AD-22","AD-26","AD-24","AD-27","AD-25","AD-29","AD-31","AD-28","AD-30","HCO-18","HCO-11","HCO-19","HCO-13","HCO-15","HCO-16","HCO-12","HCO-14","HCO-10","HCO-17","HCY-2","HCY-4","HCY-6","HCY-8","HCY-9","HCY-3","HCY-5","HCY-7"
"SGIP1",6.67205069017222,7.02459328526245,6.18736473227105,6.6354451999648,6.62154024792837,6.23944986897032,6.3739467388558,5.98004732232283,6.54523937727161,6.41107220013968,6.32753563810277,6.87615053135307,6.84684753189514,6.30995303481599,6.6834110528025,6.5858920871423,6.47008187483515,7.27838638066301,7.2563632463981,6.39236484068552,7.56122013155513,7.08128913448384,7.10269115421336,7.46393918293235,7.58957152283394,6.54200424648874,6.72125776148027,5.92017628649799,6.31764165529396,6.46367635824469
"NECAP2",4.60136837416249,4.38369999510969,4.83948479453406,4.81485996917211,4.6777406001647,5.09632141668958,4.9414419696327,5.35562644681709,4.82248121645081,4.67246279077604,5.02444498074803,4.56231291211869,4.71818074494953,4.83685712873674,4.65228957727783,4.98694054604007,4.65216271678151,4.36842416876885,4.6306674123467,4.640825152929,3.89834875829565,4.66580063270446,4.2822963027553,3.94104343452154,3.63523356133184,4.64064301391375,4.69988607820088,5.37886934213253,5.15883723111133,4.60840683004181
"AZIN2",4.28722921472907,4.58391580918809,4.21727853899103,5.02780805571209,4.34139132476367,4.20656588081562,4.25560927610973,5.4734247365935,4.41021670126899,4.47572288059874,4.5276608434768,4.63329180195824,4.72222702239262,5.48370458706965,4.41769971800943,4.09893906077919,4.98020380966761,4.92211060747179,4.8713109150058,4.49101267097963,4.81894181839117,4.45359413118797,5.13586839352259,4.24700709465118,4.68303080544955,4.79458535699634,4.86460738808292,5.83592526626719,5.67707502918027,5.43146483519193
"AGBL4",3.69850482590892,3.47943128284447,3.44842174180152,2.84468564333711,3.42256913744685,1.98118417075672,3.17967827236704,2.0551354357228,3.49992419260372,3.77234240144853,2.94120882247189,4.07877893790861,4.03047103607951,3.47664050751212,4.03042095991959,3.52789128324009,3.79806562323943,4.09086198705995,4.36251686887793,4.02213966925105,4.50169555470146,3.99717314319871,3.9392633113983,4.26282562452138,4.77426150080964,1.15413730469537,3.9500124992682,1.93540835670202,2.46341304629969,3.44420339202418
"CLIC4",6.28789807200204,5.94096155804924,6.43268770911183,8.01572218652118,6.10597918827999,6.36639642170708,6.31196526441834,7.46530571311334,5.90965147535666,5.81613423051162,6.93910262609214,6.38333910932569,6.4890476686678,5.49577678909788,6.00926614203918,6.54812097318139,5.58250995251508,5.7006614011591,6.87570453114337,6.66770201315624,5.60810459767105,8.02502035535308,7.12385789784093,6.17033688557396,5.56018774371164,9.04027441319568,5.60759726910171,8.18288469317704,8.62526326843114,6.4376818920814
"SLC45A1",4.01070965940483,4.61239349062377,4.07220080079758,4.01863833610953,4.11247671796216,3.94336858248084,3.8531126615199,3.46439703711578,4.06319907511888,4.17649140106032,3.81057539148834,4.36544710899834,4.19090207660454,4.79448205663669,4.36205309325537,4.37157100259366,4.56634729735058,5.37299225192753,4.46719544513749,3.92532278789761,5.07265565960548,4.31043530823705,5.03075642510003,4.92087520735858,5.14127416943904,4.19003340054729,4.77343555970264,3.6031499070377,3.9744550330466,4.40879108969251
"TGFBR3",5.82796909926195,5.24818902758733,5.91693223536095,5.13963262336858,5.0388483481641,5.00836728803448,5.87093592723472,4.0644107545962,4.43902499029425,5.51061674171894,5.27495761614313,5.29995203916138,5.00396289672253,5.09034967697858,5.30789915375323,5.45721524099079,5.16056452575754,4.70473520373987,5.01308510639924,5.43090916116793,4.76236889208456,4.9538151295569,4.78573924689445,4.24169547218382,4.75809746796288,3.83664792392557,5.29125951950407,4.77893305284871,4.83158237642959,4.36742559066481
"DBT",5.57756369312269,5.60065957429529,5.86381790761847,5.20223332587196,5.56301726981095,5.11475246913287,5.35680976191366,5.26289872525025,5.28916484180549,5.34888857239177,5.17848184137839,5.47837688297334,5.56428738563717,4.99150333537452,5.36563222864413,5.56976025366041,5.18804440754756,5.31118290241699,5.84184961227614,5.27919419370205,5.59951801753858,5.56530258759295,5.84837695428512,5.8508917128033,5.67225151912652,6.04627691376009,4.75085154407221,5.74084182057495,5.74003991878737,5.14670796097731
"PRUNE1",4.45578112946027,4.34462637553979,4.0582588281514,4.02494958869897,4.4641386008648,4.50369912997046,4.34084765921879,4.04226188556985,4.09250764413326,4.35750930381801,4.29766472184539,4.09661910727946,3.99746337459935,4.68064299315362,3.82624201365741,3.91028333145079,4.02496365237235,4.3537831141872,4.36767761469316,3.71936278167117,4.32546179273611,4.19421404483754,4.50095491035167,4.60649728334146,4.4310984570895,4.15700907085447,4.01967929236712,4.18504041844861,4.07556912726933,4.03236775577694
"C1orf21",7.36218112092645,7.610740442785,7.47202564712134,6.68610358423941,7.45712844430553,7.51680680143957,7.49067694234449,6.48316855586723,7.37163896525132,7.35859985353958,7.25346718421619,7.18074170894686,7.32176636373164,7.09186664368986,7.14197225123506,7.10193138097856,7.18801107650141,7.60635970350668,7.42117416698776,7.17719732979221,7.71620099294447,7.0648350358445,7.22579898142134,7.79245396368761,7.77218970336691,5.02801612669594,7.14067022918056,6.02766796647574,6.17077708422806,6.74881958497375
