"","E_4920_OL_RNA_S1","E_5273_OL_RNA_S75","E_5618_OL_RNA_S62","L_5342_OL_RNA_S95","L_5425_OL_RNA_S39","L_5492_OL_RNA_S78","L_5566_OL_RNA_S92","L_5569_OL_RNA_S9","L_5594_OL_RNA_S65","L_5147_OL_RNA_S22","L_5197_OL_RNA_S20","L_5252_OL_RNA_S19","L_5275_OL_RNA_S57","E_4934_OL_RNA_S40","E_5047_OL_RNA_S43","E_5082_OL_RNA_S80","E_5107_OL_RNA_S98","E_5333_OL_RNA_S25","E_5337_OL_RNA_S12","E_5419_OL_RNA_S14","E_5454_OL_RNA_S21","E_5537_OL_RNA_S76","E_5585_OL_RNA_S6","E_5020_OL_RNA_S79","E_4988_OL_RNA_S16","E_5113_OL_RNA_S23","L_4950_OL_RNA_S64","L_5303_OL_RNA_S24","L_5366_OL_RNA_S5","L_5376_OL_RNA_S61","L_5526_OL_RNA_S100","L_4964_OL_RNA_S32","L_5065_OL_RNA_S37","L_5269_OL_RNA_S30","E_5184_OL_RNA_S46","E_5240_OL_RNA_S73","E_5000_OL_RNA_S58","L_5394_OL_RNA_S4","C_5628_OL_RNA_S44","C_5114_OL_RNA_S69","C_4942_OL_RNA_S90","C_4954_OL_RNA_S28","C_5709_OL_RNA_S18","C_5070_OL_RNA_S60","C_4870_OL_RNA_S68","C_5248_OL_RNA_S82"
"ENSG00000000003",2.26124037310444,3.26073899992718,2.2846380722901,2.22487364049267,1.16250304940316,1.92809618953173,2.51900433589264,2.34980109227595,3.09169128769164,2.88539219484978,2.35576136081959,1.7246526333917,2.90268274904964,2.20562380987212,1.39864027419053,2.82251676181733,3.56742396476758,2.71300905120152,2.05618641657982,3.29736443663065,2.27191093552481,2.24166894598581,3.12178640508325,2.36676095172659,3.11269725822891,2.34763483021487,1.75706900276871,1.8053775798234,2.00482049079415,2.15604695398644,2.80676356679321,2.06955829789748,3.49664946067197,3.84459203851506,2.94205585845747,3.5050032280112,3.22497689216687,3.53447853471033,1.81040009926185,2.18610244440567,2.49465011298467,2.27356474276387,2.82991188854773,2.81323601059807,3.22448731858361,2.49720630374676
"ENSG00000000419",0.390437570883667,1.50988172761502,1.53388840866509,1.57394202545723,1.04109133545197,1.45756282306695,0.174724745819704,-2.8996974935568,-2.8996974935568,-0.284043507132109,0.793387780904869,0.423024620985965,2.606398757319,0.618529335541993,-2.8996974935568,-0.987184588286188,-2.81922441478316,-0.684551099143401,-1.60409920827454,-2.8996974935568,0.849277771652026,0.29835326349627,-0.0277073103685043,1.17594984818825,0.545440731802593,-0.350607316188528,-0.805681287180875,0.875924645376064,0.595938697329008,0.131712933740069,-0.276651204026844,-2.89969733867803,1.52878711912635,-2.8996974935568,0.490869563366163,-2.8996974935568,-0.162366195221716,-0.292011768834767,0.661039107823459,0.44921922589879,1.98755159959498,1.03051202946351,1.54820090471919,-1.67944163079816,-0.977459912323508,-0.805556342124163
"ENSG00000000457",4.0750580709996,3.88428233355236,3.52009378593419,3.55527244875797,2.92896760084854,3.98520432922278,3.03404600107691,3.38595909519234,3.49330666241115,3.05318942446229,3.94448268570743,2.94833727440058,3.40380930758553,2.54539802667367,1.41299043843445,2.35425019583557,2.15711383805064,2.87638999666783,2.32117119167098,1.59430977415382,3.4748287578923,2.86302787364717,2.44379265241814,2.68800940345132,2.67752290629309,3.00037803353247,3.20117197248049,2.48772705402168,2.69085342491729,2.68645225240231,3.10823050862453,2.75895985557611,3.03010681762435,2.65437737599208,3.16922199550865,2.75361651242033,2.59224118304524,2.11600703376458,3.75736330676231,3.62949664167641,3.83339330357064,2.78149213264583,3.58698992710322,3.53203281005901,3.76904737968663,3.80692902233357
"ENSG00000000460",2.32051792374768,2.33931846979194,2.29521234908641,2.26905363417394,2.59548921894779,2.26174842909915,2.6475368502218,2.01986808276103,2.74982224874506,2.58338004225981,2.67083553728432,2.08791795093827,2.76076708960209,2.0806268013487,-0.396099863638689,1.42698084575124,1.16730472568608,3.68638434692984,1.95438790811557,1.02729652513868,2.72523119239141,1.73085189851096,2.08226322972666,1.72106500981699,1.67309664791304,2.6808330822974,1.6080773406781,1.54399892077034,2.10257729551479,1.82547010621185,2.03939719710702,2.49106893750563,2.88170176059573,2.28194266265939,2.32593086327779,0.774667084334703,2.60741656637578,2.04801566171268,2.47519141041125,2.15953478688123,2.24032081400303,2.71275769943453,2.44004670883591,2.25592686573154,2.60920301961295,2.17892362597896
"ENSG00000000938",2.06705030826949,1.694101617521,2.55507766866833,-0.199507578097328,2.65448146931499,1.99082208118062,2.03539670020477,1.58651133818042,2.72721675768206,3.58808779536586,2.88766287979075,1.78894851663764,2.33531838419922,2.12108310650871,3.73176037204827,3.68237461201249,4.39350572180621,3.78285351645638,3.42626374016859,2.5559305504108,3.85033053051741,3.37222364465271,3.64495166034628,3.91985734903429,3.79842063137721,3.39048995886537,2.55652972682208,3.81701191951212,3.09121052209424,3.7363094045237,3.72033747063965,3.94705771045188,4.01959126254818,3.74355281943012,4.6308227236411,3.87492884446865,4.2800469250221,4.97971051113307,1.35475535450551,2.52300008866502,2.3491481126775,2.98696005529494,2.13814725977645,3.4664621370959,2.25213185812325,1.59352985394592
"ENSG00000000971",3.80864184288561,3.41677643499269,3.62926507240109,1.84011188006586,3.082765384678,2.75964260555642,3.02162226590858,3.75029413730079,5.89056525142824,5.76086849210744,4.61883247557655,2.52090523710915,4.08561082301682,3.8411664636258,3.57115167846116,3.10942677067341,2.87338860681753,3.50129245743824,4.171545590879,2.75840647774673,4.20102598072947,3.57775619000269,4.95080783638975,2.98159742048826,4.66374713253795,5.27681920872608,4.0508311250074,3.73109441164792,3.85853876958358,3.61514636376809,5.07161935797695,3.66805805280431,4.56337351653014,5.1592865135932,5.30490683467635,5.37775006623033,6.94312366536692,6.72787242004514,3.35257855118876,4.34781597656291,2.75632702691395,4.76935805550952,5.73282269859158,2.92239041157179,3.1105362785189,4.0531453955168
"ENSG00000001036",2.48560892943216,2.7211939680606,2.69464959447202,3.03213207008771,2.4828650968206,2.78422488110579,2.03082195213895,2.38388687103314,2.47529880530436,2.28835377232205,3.22782905744217,3.16530979694188,2.50091674233155,3.14746267486682,3.18331513747412,2.59929408443796,2.22442581602499,3.09560744126267,3.43495813011872,3.57712857052644,2.93455056191621,2.76831876061294,2.58048741713061,2.64161160145993,2.58907606169081,2.75610482139584,3.27315719626421,1.61897603831139,2.68981273985914,1.36316048175169,2.77343451043695,3.39777446605594,2.92660905514471,2.59389912526162,2.64954765333803,3.01605669433192,2.55355718992238,2.40011313627045,2.99971450536017,2.97285316695122,2.7194085244679,2.84451515063461,2.4267766039908,2.22327648152131,2.86339369906104,2.69153803846577
"ENSG00000001084",4.56683779120542,5.07991066585476,5.08065621726734,4.44783698077277,4.60086494106213,4.63713689395628,5.22376351470944,4.53810679129648,4.71251123249511,4.49538801874505,4.52044262571944,4.65379885378752,4.64429855606751,3.60406181744987,4.66980675130318,5.10687651738091,4.86789597506128,4.80594988735362,4.91002118497303,4.88877243853419,4.68897665907375,4.70339509896297,4.96173164737958,5.15975741554131,4.94033365092707,4.34745171225219,4.44469988663785,4.46709166494853,4.98097628454707,4.02347047032063,5.1483953004967,5.10088817402901,4.84479323615474,5.02012003757579,4.68121655407399,5.03446426701663,4.88979462574148,4.54485788658904,5.04071459883596,4.28194921007952,4.5028264233305,4.35421340140919,4.64503314063397,4.7303915942178,5.03358406065236,4.85806599239196
"ENSG00000001167",2.3759665109461,2.93484021682552,3.08547507897348,2.67677586088058,2.5844906357371,2.9514834565097,3.44258131959083,2.44835057439619,3.03511596705283,2.86922189347226,2.746090055337,2.7306786539257,3.22829693938813,0.714845287918408,0.909767237429307,-0.959040857557307,3.47514402589891,4.19350890760219,2.43862540725049,3.37312689693839,3.54597223547802,3.15164959036718,3.74807400673416,3.3112234655172,3.33350508996344,3.07821291312665,2.84019280428125,3.37578000376449,4.00050988640815,2.69316356077108,3.70400909770284,3.70948464088766,3.18408979111453,2.75815892990281,2.34071570217186,3.10200519699805,3.22400272059001,3.56891454389896,2.95372146291789,2.6186121056923,2.46357295546883,2.44129916737644,3.23618155133287,3.12133566673499,2.9845854998568,2.07373912552682
"ENSG00000001460",4.2606127540442,4.15291976852174,4.23363000537842,3.9242709377637,4.35708679385235,4.11816695429587,3.91349386505548,4.35264726680399,3.75377534760019,3.96200018580157,3.0975179575982,4.03096482921462,3.8023903019493,3.42794014441162,4.01041788450008,3.73538854598432,2.83985103490665,3.40791049265631,3.46232436574958,3.38030513057082,3.55033143809645,3.83149077921357,3.40169119425061,3.90466953253282,3.74336321549616,3.84349744412582,3.78469689731913,3.76913821216747,3.88992730178093,3.42195170996057,3.89942643627308,3.63167141812971,3.69962991432627,3.82214301461994,2.45985421685742,3.26099582009751,3.50684464054846,2.99517888964346,3.92397071405082,4.03294972786896,3.9059260070721,3.8287913778607,3.33967276664717,4.1932126522733,3.70958963871781,4.04792292923574
