"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0048729","tissue morphogenesis","43/570","408/18842",0.105392156862745,3.48385792913657,8.95866714512234,1.08713588382943e-12,6.39235899691707e-09,6.39235899691707e-09,"TGFB1/SMO/PODXL/TGFB2/SIX4/TTN/TBX3/MSN/PRKD2/FOXC1/VASP/ACVRL1/DSP/DDR1/BSG/DLL4/NOTCH2/SOX9/SNAI1/S1PR1/ITGA5/RREB1/MMRN2/RHOC/SMAD7/NKD1/FOXF1/PRKX/EYA1/KLF4/NRARP/VANGL2/RASIP1/YAP1/CRB2/BMP7/NOG/ITGB5/ZFPM1/MYLK/ENG/TIE1/EPHA2",43
"GO:0007507","heart development","44/570","438/18842",0.100456621004566,3.32070816310182,8.67956244807231,3.04784427205299e-12,8.96066215983578e-09,8.96066215983578e-09,"NFATC1/TGFB1/EGFR/SMO/HSPB7/SH3PXD2B/ECE1/TGFB2/TTN/TEK/TBX3/FOXC1/ACVRL1/DSP/PDGFB/GPER1/FN1/DLL4/EPHB4/SMAD6/MSX1/NOTCH2/SOX9/SNAI1/S1PR1/RAMP2/HEG1/TGFB3/PCSK5/SMAD7/FOXF1/VANGL2/APLN/YAP1/POPDC1/BMP7/PPARA/NOG/TNFRSF1A/EMP2/ZFPM1/TRAF3IP2/ENG/TIE1",44
"GO:0050673","epithelial cell proliferation","38/570","356/18842",0.106741573033708,3.52846441947566,8.50661408013159,1.60310396642478e-11,2.68224549531204e-08,2.68224549531204e-08,"EGFL7/TGFB1/EGFR/GATA2/NLRC3/ATOH8/NEAT1/TGFB2/FGFR1/SIX4/CXCL12/TEK/PRKD2/MMP14/ACVRL1/PDGFB/NR2F2/FLT4/DLL4/CD34/NOTCH2/SOX9/RREB1/MMRN2/PRKX/NRARP/EDNRB/APLN/YAP1/FLT1/SEMA5A/ZFP36L1/NUPR1/RGCC/TRAF3IP2/ENG/TIE1/EPHA2",38
"GO:0072001","renal system development","30/570","231/18842",0.12987012987013,4.29300524037366,8.89426196227689,1.824656799532e-11,2.68224549531204e-08,2.68224549531204e-08,"TGFB1/KANK2/SMO/PODXL/TGFB2/SIX4/TEK/ID3/FOXC1/PDGFB/CRLF1/SMAD6/LRP4/CD34/NOTCH2/SOX9/KCNJ8/PCSK5/SMAD7/FOXF1/PRKX/PROM1/VANGL2/KLF15/BMP7/FOXJ1/NOG/NOTCH3/TRAF3IP2/PECAM1",30
"GO:0001822","kidney development","29/570","225/18842",0.128888888888889,4.26056920077973,8.69012835110182,4.79538511173906e-11,5.63937289140513e-08,5.63937289140513e-08,"TGFB1/KANK2/SMO/PODXL/TGFB2/SIX4/TEK/ID3/FOXC1/PDGFB/CRLF1/SMAD6/LRP4/CD34/NOTCH2/SOX9/KCNJ8/PCSK5/SMAD7/PRKX/PROM1/VANGL2/KLF15/BMP7/FOXJ1/NOG/NOTCH3/TRAF3IP2/PECAM1",29
"GO:0030198","extracellular matrix organization","32/570","278/18842",0.115107913669065,3.80502334974126,8.32184185186174,9.56765206297723e-11,8.47544728224466e-08,8.47544728224466e-08,"TNXB/TGFB1/ECM2/COL1A2/ADAMTS2/PLOD3/SH3PXD2B/TGFB2/MMP14/DDR1/DDR2/SERPINH1/NDNF/CCDC80/RAMP2/FLOT1/COL11A1/ADAMTSL5/LAMB2/COL27A1/COL18A1/SLC2A10/CRTAP/HPSE2/PLOD1/RGCC/TNFRSF1A/SLC39A8/AEBP1/ENG/COL8A2/TIE1",32
"GO:0043062","extracellular structure organization","32/570","279/18842",0.114695340501792,3.79138527321889,8.29648555846473,1.0506083334471e-10,8.47544728224466e-08,8.47544728224466e-08,"TNXB/TGFB1/ECM2/COL1A2/ADAMTS2/PLOD3/SH3PXD2B/TGFB2/MMP14/DDR1/DDR2/SERPINH1/NDNF/CCDC80/RAMP2/FLOT1/COL11A1/ADAMTSL5/LAMB2/COL27A1/COL18A1/SLC2A10/CRTAP/HPSE2/PLOD1/RGCC/TNFRSF1A/SLC39A8/AEBP1/ENG/COL8A2/TIE1",32
"GO:0045229","external encapsulating structure organization","32/570","280/18842",0.114285714285714,3.77784461152882,8.27124602881808,1.15312207921696e-10,8.47544728224466e-08,8.47544728224466e-08,"TNXB/TGFB1/ECM2/COL1A2/ADAMTS2/PLOD3/SH3PXD2B/TGFB2/MMP14/DDR1/DDR2/SERPINH1/NDNF/CCDC80/RAMP2/FLOT1/COL11A1/ADAMTSL5/LAMB2/COL27A1/COL18A1/SLC2A10/CRTAP/HPSE2/PLOD1/RGCC/TNFRSF1A/SLC39A8/AEBP1/ENG/COL8A2/TIE1",32
"GO:0050678","regulation of epithelial cell proliferation","33/570","312/18842",0.105769230769231,3.49632253711201,7.85301892933287,4.54383632976104e-10,2.96863973544388e-07,2.96863973544388e-07,"EGFL7/TGFB1/EGFR/GATA2/NLRC3/ATOH8/NEAT1/TGFB2/FGFR1/SIX4/CXCL12/TEK/PRKD2/ACVRL1/PDGFB/NR2F2/FLT4/DLL4/NOTCH2/SOX9/RREB1/MMRN2/EDNRB/APLN/YAP1/FLT1/SEMA5A/ZFP36L1/NUPR1/RGCC/TRAF3IP2/ENG/TIE1",33
"GO:0001501","skeletal system development","34/570","341/18842",0.0997067448680352,3.29592015228688,7.55670950371865,1.1741141458942e-09,6.90379117785793e-07,6.90379117785793e-07,"TGFB1/COL1A2/SH3PXD2B/RFLNB/TGFB2/FGFR1/TBX3/MMP14/ANXA2/FOXC1/ACVRL1/DDR2/ZNF219/EVC/ITGB8/NOTCH2/SOX9/PRELP/COL11A1/VCAN/PCSK5/BCAN/SMAD7/ALPL/LRP5/NCAN/COL27A1/BMP7/COL18A1/NOG/SLC2A10/GDF11/NOTUM/LAMA5",34
"GO:0060485","mesenchyme development","31/570","291/18842",0.106529209621993,3.52144450473262,7.65611776743302,1.29655693283385e-09,6.93068615005729e-07,6.93068615005729e-07,"TGFB1/TEAD2/SMO/WWTR1/TGFB1I1/TGFB2/FGFR1/SIX4/TBX3/FOXC1/SEMA3F/ACVRL1/LEF1/FN1/MSX1/IL17RD/SOX9/SNAI1/TGFB3/SMAD7/FOXF1/CRB2/SEMA5A/BMP7/SEMA3G/NOG/GFAP/FOXF2/RGCC/EMP2/ENG",31
"GO:0031589","cell-substrate adhesion","33/570","333/18842",0.0990990990990991,3.27583372846531,7.40061016474119,2.41524223892805e-09,1.18346869707475e-06,1.18346869707475e-06,"ECM2/PXN/TGFB1I1/TEK/MMP14/ACVRL1/TSPAN11/DDR1/PDGFB/CSF1/LEF1/FN1/FZD4/PARVG/SMAD6/NDNF/CCDC80/CD34/ITGB8/ITGA5/RREB1/PRKX/LAMB2/TLN1/POPDC1/CASS4/BCAM/FAM107A/RRAS/ITGB5/EMP2/LAMA5/DOCK1",33
"GO:1902893","regulation of miRNA transcription","15/570","74/18842",0.202702702702703,6.70056899004267,8.67803560831755,4.75683698924757e-09,2.0142787991283e-06,2.0142787991283e-06,"TGFB1/EGFR/GATA2/ATOH8/TGFB2/AR/PDGFB/SMAD6/NOTCH2/SOX9/KLF4/APLN/PPARA/NOTCH3/NFATC4",15
"GO:0043542","endothelial cell migration","30/570","290/18842",0.103448275862069,3.41960072595281,7.3340471319524,4.79590190268643e-09,2.0142787991283e-06,2.0142787991283e-06,"TGFB1/EHD4/GATA2/PXN/TGFB1I1/ATOH8/FGFR1/TEK/PRKD2/ACVRL1/BSG/PDGFB/NR2F2/FLT4/FN1/DLL4/EPHB4/MMRN2/SASH1/ANXA3/RAB13/PRKX/KLF4/AMOT/HSPB1/SEMA5A/RGCC/RRAS/EMP2/EPHA2",30
"GO:0072073","kidney epithelium development","18/570","110/18842",0.163636363636364,5.40918660287081,8.19141834708591,5.19038449257355e-09,2.03463072108883e-06,2.03463072108883e-06,"TGFB1/KANK2/SMO/PODXL/SIX4/FOXC1/CRLF1/SMAD6/CD34/NOTCH2/SOX9/SMAD7/PROM1/KLF15/BMP7/FOXJ1/NOG/PECAM1",18
"GO:0061614","miRNA transcription","15/570","75/18842",0.2,6.61122807017544,8.59978284935341,5.78242316202687e-09,2.12504051204487e-06,2.12504051204487e-06,"TGFB1/EGFR/GATA2/ATOH8/TGFB2/AR/PDGFB/SMAD6/NOTCH2/SOX9/KLF4/APLN/PPARA/NOTCH3/NFATC4",15
"GO:2000628","regulation of miRNA metabolic process","16/570","87/18842",0.183908045977011,6.07929017947167,8.38688090770546,6.48132763217619e-09,2.24177685159976e-06,2.24177685159976e-06,"TGFB1/EGFR/GATA2/ATOH8/NEAT1/TGFB2/AR/PDGFB/SMAD6/NOTCH2/SOX9/KLF4/APLN/PPARA/NOTCH3/NFATC4",16
"GO:0001935","endothelial cell proliferation","23/570","186/18842",0.123655913978495,4.08758724768911,7.47416710525595,1.09393476318864e-08,3.57352022641622e-06,3.57352022641622e-06,"EGFL7/GATA2/ATOH8/FGFR1/CXCL12/TEK/PRKD2/MMP14/ACVRL1/PDGFB/NR2F2/FLT4/DLL4/CD34/MMRN2/PRKX/NRARP/APLN/FLT1/SEMA5A/RGCC/ENG/TIE1",23
