"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005518","collagen binding","13/600","65/18706",0.2,6.23533333333333,7.69678999196795,1.18644667378961e-07,0.000151627884910312,0.000151627884910312,"TNXB/ECM2/PODN/COL6A2/DDR1/PDGFB/DDR2/FN1/SERPINH1/SMAD7/ADGRG1/CRTAP/AEBP1",13
"GO:0019838","growth factor binding","18/600","135/18706",0.133333333333333,4.15688888888889,6.70118733853882,3.23403758292259e-07,0.000187539848896479,0.000187539848896479,"EGFR/COL1A2/FGFR1/ACVRL1/PDGFB/FLT4/RHBDF1/TGFB3/HAP1/IGFBP5/FGFRL1/FLT1/NOG/WFIKKN1/LRRC32/DUSP1/ENG/EPHA2",18
"GO:0004714","transmembrane receptor protein tyrosine kinase activity","12/600","61/18706",0.19672131147541,6.13311475409836,7.30984082995128,4.40234387080936e-07,0.000187539848896479,0.000187539848896479,"EGFR/FGFR1/TEK/DDR1/DDR2/FLT4/EPHB4/FGFRL1/AXL/FLT1/TIE1/EPHA2",12
"GO:0019199","transmembrane receptor protein kinase activity","13/600","79/18706",0.164556962025316,5.13033755274262,6.69685441417755,1.26388850394429e-06,0.000403812377010202,0.000403812377010202,"EGFR/FGFR1/TEK/ACVRL1/DDR1/DDR2/FLT4/EPHB4/FGFRL1/AXL/FLT1/TIE1/EPHA2",13
"GO:0140297","DNA-binding transcription factor binding","36/600","489/18706",0.0736196319018405,2.29521472392638,5.28324799200457,3.49005701248899e-06,0.000873009871501381,0.000873009871501381,"NFATC1/GATA2/EBF4/TCF3/CEBPA/TBX6/TGFB1I1/ATOH8/AR/HES6/ID4/TBX3/CREM/ID3/FOXC1/LMO2/FOXO4/TOB2/LEF1/CD34/NOTCH2/SOX9/ZNF366/HIPK2/RXRA/KLF4/HSPB1/NFKBIA/YAP1/EPAS1/DTX3L/PPARA/PRRX1/BCL6/CTBP2/ZFPM1",36
"GO:0001228","DNA-binding transcription activator activity, RNA polymerase II-specific","34/600","452/18706",0.0752212389380531,2.34514749262537,5.2699115268867,4.09863789437268e-06,0.000873009871501381,0.000873009871501381,"NFATC1/GATA2/E2F5/EBF4/TCF3/CEBPA/NFKB2/SIX4/AR/FOXO1/TBX3/MAFF/FOXC1/FOXO4/LEF1/MSX1/SOX21/SOX9/CSRNP1/RREB1/FOSL2/ZBTB7B/FOXF1/KLF4/LHX2/KLF15/EPAS1/FOXJ1/SIX5/PPARA/MECOM/PGR/PRRX1/FOXF2",34
"GO:0001216","DNA-binding transcription activator activity","34/600","460/18706",0.0739130434782609,2.30436231884058,5.15628065890563,5.98562021017226e-06,0.000960917185584998,0.000960917185584998,"NFATC1/GATA2/E2F5/EBF4/TCF3/CEBPA/NFKB2/SIX4/AR/FOXO1/TBX3/MAFF/FOXC1/FOXO4/LEF1/MSX1/SOX21/SOX9/CSRNP1/RREB1/FOSL2/ZBTB7B/FOXF1/KLF4/LHX2/KLF15/EPAS1/FOXJ1/SIX5/PPARA/MECOM/PGR/PRRX1/FOXF2",34
"GO:0005201","extracellular matrix structural constituent","19/600","181/18706",0.104972375690608,3.27268876611418,5.59298130659968,6.01513105217526e-06,0.000960917185584998,0.000960917185584998,"TNXB/PODN/COL1A2/COL6A2/TINAGL1/FN1/PRELP/MMRN2/FCGBP/COL11A1/VCAN/BGN/LAMB2/HSPG2/COL27A1/COL18A1/LAMA5/AEBP1/COL8A2",19
"GO:0004713","protein tyrosine kinase activity","16/600","141/18706",0.113475177304965,3.53777777777778,5.50628762221066,1.2122444265209e-05,0.00167923007750934,0.00167923007750934,"EGFR/YES1/FGFR1/TTN/TEK/DDR1/DDR2/FLT4/EPHB4/HIPK2/FGFRL1/AXL/FLT1/ZAP70/TIE1/EPHA2",16
"GO:0034713","type I transforming growth factor beta receptor binding","5/600","11/18706",0.454545454545455,14.1712121212121,7.95431115024553,1.3139515473469e-05,0.00167923007750934,0.00167923007750934,"TGFB1/SMAD6/TGFB3/SMAD7/ENG",5
