"","01.CA1","02.CA1","04.CA1","05.CA1","06.CA1","07.CA1","08.CA1","09.CA1","10.CA1","11.CA1","12.CA1","13.CA1","15.CA1","16.CA1","17.CA1","18.CA1","19.CA1","20.CA1","21.CA1","22.CA1","23.CA1","24.CA1","25.CA1","26.CA1","27.CA1","28.CA1"
"TSPAN6",2.46522763174562,2.77044167743666,2.22444633156683,2.29308203322741,2.95694600386431,3.15779414545309,1.75807125073836,2.37222883919874,2.40243304608209,2.97823812983999,3.01694230392937,3.04981065316954,2.90761867009209,2.524289841964,2.90249327400119,1.07063075687314,1.87328067970644,1.58769308763071,2.15789305954629,1.85584952995138,1.09882967585616,2.27107697436972,3.3855498735119,2.7090998276412,2.92390872113487,3.28415508621262
"DPM1",2.8910375416556,2.54623955424131,2.5180093600512,1.47927073465635,3.53352202093093,2.82116437993121,2.91608130752987,2.50373787006713,2.84968735512448,1.97408647539873,2.85056871258791,1.84897683148334,1.21314600866005,1.63299020555531,2.10364673991002,2.14725631926565,1.76852778600881,1.86173724707419,1.68167461263538,1.24326606769957,0.327120266736458,1.61544322773925,2.91898670352023,2.60625466500442,2.14627964398719,2.25575113151442
"SCYL3",3.8067807475678,3.21386707893973,3.54498039645891,2.98541100308039,2.79456706799752,4.03701432530364,3.3829054086068,3.36224124447098,3.91650728995767,3.52974909990591,4.15321449129844,3.34124742108544,2.13506537182227,2.42603323454645,3.46341748327008,3.55076607728676,2.65879199450845,3.44165225510498,3.06752358740205,2.73250006632596,2.58178123516054,3.72134756310461,3.09948419427182,2.93808853832174,3.27459036461466,3.1525357392875
"C1orf112",2.83224263679996,3.68238739469545,3.03924297309734,1.99836640307243,2.36679731832226,3.37996654159151,2.43610592735502,2.12229529358127,3.23334243957123,3.38134463138816,3.57114528637036,2.62349872357499,2.32121490537613,2.20683352609135,2.86595073535856,2.83492636422296,1.90657365141609,3.02513761269775,2.59237529378045,1.93672898560876,1.5017868996377,3.5551968499568,2.80550977801316,2.10080987185743,2.75568028635296,2.17455782592212
"FGR",3.22853873179171,3.40989167116015,2.78206914588532,3.80286396679402,2.48620413276895,2.44828046743514,2.78807782290023,4.19802976800132,2.73540110172167,4.01430495303701,2.62172602650269,4.74517426909087,5.01377883066978,4.66413883621409,2.42830934862612,1.87907667539565,3.13674525461397,3.46921655819242,2.80154719052582,3.47683614739048,3.56114788902383,3.33258856732222,3.53882267618035,2.78169127140887,3.96198038791759,3.58051858744888
"CFH",4.4195574981904,3.23282973851895,5.63614221879377,5.60493453975241,4.08070069556847,4.15702391040768,3.72341716317684,4.07653462014486,5.49252098246126,5.74173489836862,5.1786871637391,5.10477678996227,6.04842736156725,4.93366529234819,4.57875558216232,3.35275957682057,2.78946680939362,3.64265372434684,3.82639326375631,3.82374138524213,3.60856065232202,4.0595566961114,4.20421405831288,4.01402674458009,4.98064597524494,5.85213796951637
"FUCA2",3.28224133937082,2.35178250151714,2.82173601905764,3.77131919898531,3.32965679627328,3.32754801908581,2.95634395330277,2.12229529358127,3.38319529299271,2.97823812983999,2.86809645090734,2.66425020148775,2.41770928734995,2.59382582866739,3.1835645752176,2.58685828458713,1.76852778600881,2.39472409240254,2.86503466304985,2.77711072939769,2.23423324542058,2.80726364294122,4.30508213013626,2.9695050272986,3.24765643616109,3.43122119473779
"GCLC",5.20644516482281,5.22931299528791,4.99986311692797,5.49335671823561,4.66182070777018,5.77121479297406,5.05231262880148,4.9635370656414,5.31985577978813,5.69533862005069,5.24391487124099,4.87670400162766,4.76596704632126,4.70137113475081,5.05355634108987,4.63629255725326,4.51775627232099,5.42046871477171,4.95992855520505,4.95241481836718,4.403915768466,5.40245178658838,5.72058893149834,4.5421904385973,5.25535684480817,4.97125419827301
"NFYA",5.63059457760129,6.48482374775191,6.25704422758694,7.01416300700973,5.9136795442474,6.29938573981756,5.73501712880033,6.2195503626728,5.92610847055324,6.10922354497428,5.88611969841229,6.04081514008949,5.3557687887802,5.50251423647631,5.24500059202748,5.33177659733906,5.68577905078237,5.84151106066648,5.60084493590318,5.86809897649323,5.63119657985911,5.99775140744163,5.44371783712156,5.26407459169924,5.47639737754794,5.04163016952899
"STPG1",3.47904738545399,1.95492516017796,3.48447870265113,1.12722373298692,2.89663576300105,3.40547847119936,2.74275538395195,2.83873134030729,2.94276157929143,2.92561715782849,2.60091063837539,2.72329716736341,3.52095373251988,3.49120970077217,3.57176115433906,3.25394431844804,2.5576297897724,3.69027894039729,3.01251050160671,3.00049265115264,2.35035072798085,3.50398533511063,2.99982479647041,2.99007560354727,2.9685786880797,3.38685256460662
"NIPAL3",6.63558430175756,7.18162197973127,6.78936898428748,8.64066320213385,6.45532998995348,7.40531607454303,6.49702788601927,7.00612001797419,6.57267355065297,7.13285951552508,6.4517329646859,7.25954495242774,7.50703906441807,6.64343080123061,6.85776269358666,6.31423986934257,6.74583650575676,6.92016328959302,7.4902213765395,7.22312682405281,7.33592981140227,6.95656392799242,7.41478870034571,6.52835923979184,6.55795971341596,6.38386057255694
"LAS1L",5.82103699136918,5.73072715677304,6.25342275380871,6.68652735449346,5.31965284323938,6.36262068909829,4.55881801837101,5.58501171783039,5.52942939591342,5.67688483998022,5.35685686267512,5.7761585066172,5.31876086833405,5.63487084164188,5.83095406298643,6.79520260486887,5.07033482637022,6.92452591118923,5.76794118327428,5.5715205013524,6.09994462850196,6.50255219306975,5.56987902393858,5.40478583998665,5.60575816799503,5.81075416416506
