"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"TATDN1",-1.15854852826355,2.97634403332606,-11.0469749758389,3.26365606396844e-12,2.25616543702138e-08,17.6227698198692
"ZNF891",-1.25034067753782,5.0578899074715,-10.6677011815524,7.68475816013997e-12,2.40999392449316e-08,17.0182465961893
"TBC1D23",-0.959510051204523,4.64762250135193,-10.5727616022495,9.54908142846819e-12,2.40999392449316e-08,16.7987579610857
"PMS1",-1.10905359971917,4.3450206438515,-10.4706327063863,1.20779094580231e-11,2.40999392449316e-08,16.5599795164005
"UBXN4",-0.897623428231976,6.17596406685947,-10.3701013934682,1.52402029026078e-11,2.40999392449316e-08,16.3655904520257
"TRPM7",-0.863898355490228,6.14878372026033,-10.1071667370464,2.81718337848751e-11,3.24586478258069e-08,15.7702500502095
"UBE3A",-1.13088021961804,6.54515355600581,-10.0082054473901,3.55832364174608e-11,3.78441405159856e-08,15.5419595470316
"ZNF654",-1.11630756415306,4.19580808150583,-9.90148882367842,4.58399128692184e-11,4.09910474855406e-08,15.2713294738601
"HNRNPH1",-1.03521520603268,6.44344405668312,-9.8871115067723,4.74364790806199e-11,4.09910474855406e-08,15.2635197461113
"SOS1",-0.982719809135531,6.33243556641131,-9.72206473756786,7.04107552660257e-11,4.63571001099082e-08,14.880256075253
"FAM73A",-1.14935700052118,5.68484764456399,-9.68965707093304,7.61203306828148e-11,4.78381678191181e-08,14.8044742060742
"INTS6",-0.980493768108127,5.87420898636397,-9.54728468263831,1.07391214549401e-10,6.4556127493914e-08,14.470115765277
"RASA2",-1.127532788878,4.73923312513302,-9.47118657873486,1.29221031616811e-10,7.44420826305845e-08,14.2836543758168
"ICE2",-1.17912815140921,4.76730415138202,-9.35844506090834,1.70216974583153e-10,9.05161496379492e-08,14.0165141617516
"FKBP3",-1.07869045047345,4.21377265396698,-9.30349524574771,1.94801597183675e-10,9.97528475059812e-08,13.8765953695222
"TBK1",-1.0083781878903,4.17777056662863,-8.94320720601849,4.76450305641106e-10,2.12496836315934e-07,13.0107288758882
"PPIG",-0.933408485864352,5.82277304822943,-8.84871924302062,6.04101867964085e-10,2.53100376559741e-07,12.786140601075
"SNX14",-0.88919144001639,5.37661042383453,-8.80063979291234,6.81966428126733e-10,2.77319642214124e-07,12.6678893388856
"CUL4B",-0.828983673971866,5.68690718285053,-8.73910609599829,7.96785440448182e-10,3.06009874989905e-07,12.5157577653511
"KRR1",-1.20500094185666,4.85090407594654,-8.70359200449564,8.71850289230601e-10,3.18935646387261e-07,12.4283279634316
