"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"COX8A",1.75922999687887,4.64898564055822,10.4698473364707,1.17107881142017e-11,9.06489498127903e-08,16.460341201839
"LONP1",1.02684276040898,6.00644597180209,10.3679085109747,1.48330573104327e-11,9.06489498127903e-08,16.3178187514813
"PCSK1N",2.27002351403845,6.14598661625421,10.2492827730705,1.95617069082413e-11,9.06489498127903e-08,16.035634959183
"MZT2B",1.43804595258911,4.45724841381066,9.88518000181414,4.62595277180268e-11,1.60774988584002e-07,15.1680348000165
"VPS51",1.07460575251811,5.68583177551166,9.66622924198437,7.82688768909432e-11,2.17618785307578e-07,14.7266704529111
"CHPF",1.27319643733504,6.07264650304536,8.89392259968621,5.26016631284674e-10,9.14085401014943e-07,12.8996411494252
"RAMP1",1.42614775537543,4.58038510716558,8.69971783969637,8.59825500733795e-10,9.27059811307289e-07,12.3995592712699
"ROMO1",1.88870629080411,2.09643129367943,8.68908269932618,8.83403277832853e-10,9.27059811307289e-07,11.8190483043957
"MT3",1.71830316793275,6.80676094262106,8.68641553790882,8.89419065766491e-10,9.27059811307289e-07,12.3916723261401
"MZT2A",1.34996007261005,4.28824080351627,8.53903835586621,1.29596871408229e-09,1.20110380421147e-06,11.9985115005242
"ADIRF",1.59173064762311,3.75819497210259,8.31108184362661,2.33277534749297e-09,1.58394084129929e-06,11.3966901296789
"AP1B1",0.964348397843655,6.75829548270029,8.21987882022346,2.95676936258064e-09,1.86840943993618e-06,11.2348394499371
"FBXO2",1.12754831206477,6.97223383683734,8.16946475282597,3.37224375265497e-09,1.9122453403653e-06,11.1071067865579
"EHD1",0.999863400373038,5.07776704397996,8.14996536154015,3.54848060259904e-09,1.9122453403653e-06,11.0548661644769
"RABAC1",1.2261560861478,4.01913623126799,8.09635556207801,4.08294994454858e-09,2.04162328854209e-06,10.8929047889541
"CHCHD10",1.48666430728054,3.30350799671411,7.98870260883731,5.41755160112705e-09,2.51049341196228e-06,10.5537914704709
"KCNH2",1.10754611152847,5.05972003938482,7.82281738667882,8.40034530997793e-09,3.43475295586215e-06,10.2230320386972
"S100A1",1.23365225917985,5.5328114672927,7.7927533804125,9.09867638175808e-09,3.57760849316879e-06,10.1469693499706
"NAA38",1.60114691103457,3.0076646088324,7.75641821301988,1.0022066908875e-08,3.57760849316879e-06,9.93132816170776
"LRP1",0.940808410617167,10.168683215003,7.75283120797674,1.01182461801593e-08,3.57760849316879e-06,10.01220747615
