"","01.CA2","02.CA2","03.CA2","04.CA2","05.CA2","06.CA2","07.CA2","08.CA2","09.CA2","10.CA2","11.CA2","12.CA2","13.CA2","14.CA2","15.CA2","16.CA2","17.CA2","18.CA2","19.CA2","20.CA2","21.CA2","22.CA2","23.CA2","24.CA2","25.CA2","26.CA2","27.CA2","28.CA2"
"TSPAN6",3.54291048267514,4.01166461204976,3.68135579852472,4.05195663426622,2.79027030283152,3.36997537012536,2.61844759329328,2.65830493393596,3.80407645933318,3.99131921542579,4.59225270919285,2.86106543124858,2.8463270769253,1.8818734422381,2.98152259013493,3.00765378231088,3.6196723534756,2.18990994765683,2.77389142617347,2.69927258831033,2.16407528420713,2.34417479515344,1.50088027698495,1.38538383287871,3.56458369135435,2.84908209581192,3.89972169311172,3.93502897123893
"DPM1",3.25543003839867,2.77604368627015,2.0318606787642,3.21539168438581,1.23573094690897,3.75204700134449,3.1731637994049,3.22924601318714,2.63778207850809,2.89834756654512,3.02919654229342,3.04690633844756,2.91835599569153,3.42210907586604,2.21577768110225,1.48960412346526,3.12478485431035,2.30490970030754,0.839139948103423,1.93942549055186,1.84806707678711,1.44749541296243,1.65314041054309,1.94619098399399,3.47744234052575,2.12610005291772,2.41730081768432,2.25986331939496
"SCYL3",4.01754484373607,3.63775858780495,3.71418330284899,3.81067144918703,2.47218037147632,2.62267568546837,3.97309738439007,3.40351760713717,3.48012929903247,3.30981477102017,4.21572513578382,4.14189692643986,3.32399112246277,3.48877224313024,2.96537377480732,2.96498569469717,3.32251968849797,3.98791575752081,3.21988344629745,3.42967367707366,2.31370360428879,3.3336648518759,3.37721773377902,3.98823749907548,3.47744234052575,3.31023141737869,3.40731211966681,3.54277288567897
"C1orf112",3.02991958092109,3.73672457425621,4.31582221337264,3.00196497233528,3.05074024838143,2.45490742333154,3.12295872184944,2.44287244990019,3.1630296656051,3.59083768922993,3.65493230843853,3.853728343448,3.07363269137652,3.0983959384439,2.26937733069554,2.76395114970002,3.0786419391405,3.0521788581883,2.02715793160469,3.2247403387817,3.30296848275018,2.9221391810386,2.33207948808988,3.36246088914163,2.49907621270269,2.20720818480401,2.60960005549232,3.2212786050731
"FGR",3.21510619394184,2.42671292103551,3.26907875646677,2.78996260655482,5.13773450329882,2.33700104524756,3.0884910068427,2.63307062499706,2.98077833655816,2.76543736733151,3.5359234819206,3.16407533116858,4.69184856913412,2.48194257089064,4.97945215297604,2.7132915992589,2.23133742294766,2.79545762839605,2.06049838203318,3.89979440815684,2.47490866846602,3.20909258928707,4.10788879837044,3.5754319268631,2.70140411922387,3.08196446024775,3.66723418588421,3.39506153546378
"CFH",4.05229348892199,3.33491287043939,4.80460843456509,6.00472305159461,6.00912757605575,4.07502879193882,4.34567403568443,4.0721940562455,3.43019399635122,5.66804861444677,5.38342480555565,5.59749002231165,5.26626725194861,4.89378264854826,6.05991045257668,3.9508896654358,4.63407286791839,3.51495149552139,3.01405338646897,3.80924732333919,3.12001250400599,3.31180081824325,3.69051223181073,4.48634685722286,4.66239964124552,4.73915469073877,4.73357634030939,5.37506262480828
"FUCA2",3.54291048267514,3.4942677266535,3.52732085609036,4.10646085512272,1.89676884233461,3.59945818868838,3.13988861525116,3.1778219033065,3.59336150899635,3.77498878980712,3.5359234819206,3.81329650868751,2.94158806244101,3.29747982817701,2.86449011043487,3.02160058543128,3.87947091648058,2.72639554522316,1.95807253509445,2.65539006520302,3.15216213290804,2.16064754234882,2.11320275172994,2.79834411911062,3.75850700949273,2.97021722007366,3.2429445961312,3.94624597580652
"GCLC",5.58235848817479,5.6053803998002,6.1945682908283,5.58955433470324,4.97982260019369,4.78394444440295,5.26418394131775,5.12892518186703,5.64481394747688,5.36628395455067,5.84772455088814,5.70637288431236,5.42716737781038,4.8437235117192,4.92203831358484,4.93276105506495,5.44452677702275,4.83128712576277,4.79226346473126,5.21114015222542,5.36512471677025,5.14896277811904,4.91824553091481,4.87822622313286,5.31556103219345,4.80251878228245,5.12592541088197,5.51723047387005
"NFYA",5.79392018441943,6.54634943416505,6.71601780577487,6.00677143859078,7.09270511548883,5.91287928915971,5.77289655428247,5.97757698444798,6.37610169553217,6.03943614074731,6.2178844093486,6.23434800286359,6.18925976403215,5.78497866049842,5.44307527475919,5.36344920511168,5.31783920128324,5.79188431931277,5.88177898367294,5.78160103174003,5.9920431557802,6.26732891829292,6.02689900362953,5.89568440133438,5.10309586066992,5.57663101809532,5.6771392118212,5.61007720468226
"STPG1",3.89527164113278,3.33491287043939,3.99629652606847,3.0973235810344,3.27129811746094,3.62124069566421,2.90259938209661,3.06912487107413,3.49962931620654,3.13226033213548,3.88876567073046,3.38706943458571,3.5372605985721,2.34470623932271,3.53488884275129,3.30998754050382,3.43667095062741,3.19534721114844,2.9796090116706,3.69106227878962,3.67899138505891,3.4780834540527,3.35518065550715,3.2299395213885,3.6648012339443,3.16552063776975,3.7980641372623,3.55014356133348
"NIPAL3",7.04954329101621,7.09718383920911,8.39774546987418,6.74143610926011,8.05814773319583,6.84183538360907,6.61579941679658,6.84694124294123,6.86379846868663,6.34766267976384,7.22038978032154,7.00929101951923,7.69680274379847,6.40695248250725,7.44415699212368,6.58397318321301,6.7521844409782,6.17546924689936,6.55800761649155,6.5089158401736,7.53837282675919,7.18103784627038,7.32570853236518,6.79351048707178,6.84793013794194,7.3984028831878,6.7789052458362,6.88661820162808
"LAS1L",5.58829046667997,5.62704286780526,6.3788651460007,5.48175744768295,6.91865194869575,5.32290326874091,6.19961019394423,5.38088022600048,5.75438971041425,5.5718170384282,5.48687085429663,5.34438460173194,5.59040127272411,5.44434547506064,5.45757955446338,5.84931127731025,5.87853718968644,6.86374888277807,5.29771796848295,6.27278208495742,5.40235740479221,6.11152974907287,6.32637129586872,6.82256428569696,5.2750279678762,5.71826219726193,5.28233737282703,5.89694148720335
"ENPP4",6.06033862056976,5.8423531851016,6.58459947155837,6.18738992777812,5.00053301553873,5.80281308921777,5.60015949209214,6.0977361986058,5.59355993941623,6.14687829572775,6.7022889726325,6.0617259646393,5.9891781491717,5.37113621847368,4.8179647150013,4.4249361303058,5.4076747479556,4.51371243632048,4.52602383364499,3.96715463395994,4.94637070711324,4.4484695547618,4.17861196936416,3.84266300220462,5.69055327685686,5.06709242038337,5.23692537547373,4.97874171618495
"SEMA3F",2.84409981484364,3.7682600062927,2.22646215849925,2.54134970370345,4.39654415683552,2.54882607258621,2.43857358196957,3.19516773766313,4.107106299892,3.7311074710157,3.16015978386898,2.69296888621889,5.41476948659907,3.34323606956737,4.95512545252452,2.32067075237867,1.44780023940077,1.82177326426602,2.85213349905179,3.719754088364,3.96799136730364,3.3336648518759,3.79243026584142,3.08400245685285,3.7752113040782,2.68886709688344,3.74441654397145,2.16703542237004
