"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"COX8A",1.77184044746878,4.6492459802231,11.6596355274828,8.49589351372782e-13,1.17464223720801e-08,19.0772987335529
"TATDN1",-1.15854852826355,2.97634403332606,-11.0469749758389,3.26365606396844e-12,2.25616543702138e-08,17.6227698198692
"PCSK1N",2.27997587696461,6.1462469559191,10.6912719165157,7.28261418515806e-12,2.40999392449316e-08,17.0619429931121
"ZNF891",-1.25034067753782,5.0578899074715,-10.6677011815524,7.68475816013997e-12,2.40999392449316e-08,17.0182465961893
"TBC1D23",-0.959510051204523,4.64762250135193,-10.5727616022495,9.54908142846819e-12,2.40999392449316e-08,16.7987579610857
"PMS1",-1.10905359971917,4.3450206438515,-10.4706327063863,1.20779094580231e-11,2.40999392449316e-08,16.5599795164005
"LONP1",1.0218039403357,6.00670631146697,10.3875572020648,1.46356975386264e-11,2.40999392449316e-08,16.40026606565
"UBXN4",-0.897623428231976,6.17596406685947,-10.3701013934682,1.52402029026078e-11,2.40999392449316e-08,16.3655904520257
"MZT2B",1.43359261227865,4.45750875347555,10.3576274667922,1.56877949663232e-11,2.40999392449316e-08,16.2976086593672
"AP1B1",1.0213795521494,6.75855582236517,10.2669111716666,1.93752066634296e-11,2.67881607328577e-08,16.1261152625206
"RPL27",1.56448523199035,3.91588364102856,10.1247701117968,2.70290197516248e-11,3.24586478258069e-08,15.7350855062103
"TRPM7",-0.863898355490228,6.14878372026033,-10.1071667370464,2.81718337848751e-11,3.24586478258069e-08,15.7702500502095
"UBE3A",-1.13088021961804,6.54515355600581,-10.0082054473901,3.55832364174608e-11,3.78441405159856e-08,15.5419595470316
"NDUFA11",1.19488192243526,4.14411542472341,9.9446448428364,4.13697731298534e-11,4.08556059495253e-08,15.3544631393063
"ZNF654",-1.11630756415306,4.19580808150583,-9.90148882367842,4.58399128692184e-11,4.09910474855406e-08,15.2713294738601
"HNRNPH1",-1.03521520603268,6.44344405668312,-9.8871115067723,4.74364790806199e-11,4.09910474855406e-08,15.2635197461113
"AC007325.2",1.90332252625258,4.09638740241662,9.84672198878898,5.2232992468777e-11,4.24807855219594e-08,15.1105771520821
"RAMP1",1.45175374125979,4.58064544683047,9.79905577281462,5.85373383312169e-11,4.36757536671237e-08,15.0360599525813
"GNPTG",0.9128536813906,5.55488549425108,9.77590156096437,6.18754924608536e-11,4.36757536671237e-08,15.0027824533801
"VPS51",1.07020331717019,5.68609211517654,9.76720413481697,6.31791605194904e-11,4.36757536671237e-08,14.9825249632491
