"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"PMS1",-1.1473509377003,4.47291131211208,-10.365497984223,1.57563455982872e-11,7.29853022995263e-08,16.2996830852949
"HNRNPH1",-0.946453773006007,6.30078634514984,-10.0410376436951,3.36402319522894e-11,7.29853022995263e-08,15.5884179545223
"TRPM7",-0.831887325888928,6.13743912944661,-9.83038791960785,5.54484128122225e-11,7.63524644424303e-08,15.1056735802037
"PUS7L",-1.28458211077049,5.35881246175516,-9.51110501106575,1.19575334878693e-10,1.0977015741864e-07,14.3589805367797
"MAP3K2",-0.916187888582884,6.382216730675,-9.47814709522133,1.29545900196788e-10,1.11490440356861e-07,14.2824806983025
"HERC4",-1.17042822072347,5.99215412686521,-9.01758254356473,4.02688153452381e-10,2.60971495017611e-07,13.1812107733578
"PRKRIR",-0.833568751767523,4.8008823505613,-8.9636690454932,4.60699642492263e-10,2.60971495017611e-07,13.0478029949705
"ICE2",-1.09900038378439,4.57344551173967,-8.95245223357724,4.73804457185205e-10,2.60971495017611e-07,13.018659260247
"INTS8",-0.836296518826326,4.9690295020636,-8.92816674931809,5.03497520541927e-10,2.66660032994705e-07,12.9624118434874
"METTL14",-1.10229514666627,4.36051860422383,-8.84473401746355,6.20789311725489e-10,2.94767890429655e-07,12.7546286398424
"SRSF10",-0.957314574056387,5.34007049127707,-8.81013131715198,6.77297615702491e-10,3.10879605607443e-07,12.6749430884745
"PIAS2",-0.885627196660976,6.38109213181625,-8.75729973428608,7.73887725283951e-10,3.14396489798822e-07,12.5452702272305
"ZNF891",-1.00787831307828,4.8602883195186,-8.69886769769375,8.97218924673463e-10,3.50895655115083e-07,12.4004589097414
"USP45",-0.867744907679139,4.73147648529829,-8.61536760886388,1.10918982432598e-09,4.0193536528865e-07,12.1939637358886
"HNRNPA3",-2.99245907488918,5.395623986375,-8.52423771910612,1.39951975041944e-09,4.9413812726348e-07,11.9674275640708
"UBA6",-1.00115834901926,5.9110655251727,-8.47169365649387,1.60107280259992e-09,5.50395078934091e-07,11.8367485010044
"EPC1",-0.732691784623802,5.1323606742049,-8.15670102390988,3.61354861501297e-09,9.10574162191532e-07,11.0433585158007
"TATDN1",-1.15539581155433,2.84300621059454,-8.10277847752445,4.15913253071027e-09,9.87435430135869e-07,10.8750596205053
"VPS13C",-0.791343647545929,8.37920545491173,-8.05617661864086,4.69795650243178e-09,1.02314308016631e-06,10.7903225697254
"INTS6",-0.849472033910423,5.68618465452577,-8.04272306704059,4.86636421147528e-09,1.02314308016631e-06,10.7515176828857
