"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"COX8A",1.86616519415299,4.83228970527198,11.1782592212457,2.49946603380895e-12,3.44176472855493e-08,18.0533114499019
"RABAC1",1.49179840304613,3.98386149666793,10.2655652216322,1.98738792016601e-11,7.29853022995263e-08,16.0323823275027
"KCNH2",1.19221891731999,4.93055963118654,9.96521275588363,4.02431255086287e-11,7.29853022995263e-08,15.4040245008147
"LONP1",0.956154509613498,5.96017171130794,9.93265579088895,4.34720750716142e-11,7.29853022995263e-08,15.339457290183
"C19orf53",1.51081676698989,2.99469554101824,9.93258763518066,4.34791057130936e-11,7.29853022995263e-08,15.1550193369933
"MZT2A",1.46266898943126,4.23774627424301,9.92701703832164,4.40576951225245e-11,7.29853022995263e-08,15.2914807006127
"PCSK1N",2.26194343598569,6.23712717561853,9.8935563397151,4.77028119604747e-11,7.29853022995263e-08,15.2431830410918
"SF3B5",1.32122301682085,3.83538976141545,9.78245555754703,6.21761883385723e-11,7.74983012479166e-08,14.9387701574176
"EDF1",1.25327186950091,4.43059572477324,9.73696977974918,6.93331681684373e-11,7.74983012479166e-08,14.8671790135487
"RPL27",1.77657034418147,4.00808595205561,9.71455483852299,7.31646997983236e-11,7.74983012479166e-08,14.7846448196374
"NDUFA11",1.29455383243151,4.18356452207864,9.52255500032682,1.16298036898018e-10,1.0977015741864e-07,14.3603678044106
"POLR2L",1.45948468991491,3.31279528326358,9.27979192297272,2.10410239173717e-10,1.70432293730711e-07,13.7276908589838
"NDUFS7",0.959686230192107,5.40184016793439,9.252241643331,2.25165375684756e-10,1.72251512398838e-07,13.7442523201094
"PNPLA2",1.50536776830981,5.22895121374111,9.14789006194849,2.91329240630342e-10,2.10829562405728e-07,13.4918859354628
"RTN4R",1.58347945935272,4.16713298800612,9.1277701276036,3.06215776914638e-10,2.10829562405728e-07,13.4253100895679
"WDR18",1.0987451567037,3.25202697630451,8.98209620804531,4.39968782815797e-10,2.60971495017611e-07,13.0329223515215
"ROMO1",1.85407625017083,2.22515525161536,8.97431471011013,4.48604369537411e-10,2.60971495017611e-07,12.793269836071
"ATP5I",1.26460720639127,2.9506500161676,8.89840345610018,5.42494962471897e-10,2.76672430860668e-07,12.7950945656576
"GRINA",1.12937846116484,5.91878546410019,8.87145078800705,5.80467820660731e-10,2.8546578180351e-07,12.8249317382525
"COX6B1",1.36532803132561,4.44956666025288,8.76336710073533,7.6211523387149e-10,3.14396489798822e-07,12.553925579642
