"","01.NX","02.NX","03.NX","04.NX","05.NX","06.NX","07.NX","08.NX","09.NX","10.NX","11.NX","12.NX","13.NX","14.NX","15.NX","16.NX","17.NX","18.NX","19.NX","20.NX","21.NX","22.NX","23.NX","24.NX","25.NX","26.NX","27.NX","28.NX"
"TSPAN6",2.90157419161636,2.49702069850019,3.37338441309087,3.34170029026759,3.35301544074241,2.35901155091557,2.81308440398625,2.05354810333697,2.22097054458702,2.93673173712811,3.36148078371721,2.37391126149142,2.26109747736602,2.90231316611149,3.0337865432833,2.92182287335635,3.13352773801083,1.36040996862373,2.12848132112293,2.11893247013141,2.52160495328016,2.02573811276916,1.27790273246786,1.24614503817235,2.7015109850311,3.32269453003569,3.17666376860312,3.30436499456864
"DPM1",3.46168424253186,2.13554882483092,1.86165793310418,2.72873010398874,1.43420677779262,4.07497421504348,2.81308440398625,3.23206559018998,2.88686794610059,2.85348027487659,2.69807334947737,2.65977396863249,2.60225221768786,2.26624213349454,2.19588934152582,1.55808459571701,2.78349613333395,2.20130035659115,1.71207826356667,2.58690039456503,2.02467616509244,1.67042961248071,1.70477393591488,1.24614503817235,2.74564810341348,2.2673297821488,1.49613236960681,1.7699823283345
"SCYL3",4.10214618892751,3.45824711550095,3.73679070275926,4.16893782433972,3.24279622928996,3.29739752498194,4.09246547628728,3.55178357245661,3.72861709514384,3.71879823730476,4.1074042643541,4.25536195070594,3.56998022589691,3.47625750388603,2.92895549725787,3.04031499847221,3.43892277694725,3.88320181870644,2.76935687832928,3.57823997869709,2.05726340444994,2.8798940753931,3.12510312930366,4.03492331272994,3.39407073505909,3.18715073400106,3.45881902607666,3.512123601154
"C1orf112",3.17426885813059,3.4280743000171,3.47958431372918,3.14487896506703,2.11459701171385,2.29046898863149,3.03551507592211,2.62042240455662,3.38186161350801,2.67101194056323,3.31740208963039,2.87981900689301,2.93474667376179,2.78322518358489,2.06064854035066,2.20559636770264,2.50394772093208,3.17150788793486,2.20962464848995,2.17317803182119,2.7777189509205,1.89392069626555,2.77128310203329,2.96233669701074,2.42215294901983,1.79431075139686,2.25521306681063,2.51242228188777
"FGR",2.28109668655991,3.71721419729697,4.05286714203301,2.51228395071108,4.41723057569793,1.60756460332098,2.63747818798432,1.69398255011479,2.80858641562878,2.654711057648,3.74932051774079,2.49996952114194,3.91859193347985,2.32427287678971,4.81745412645976,3.91496093868516,2.59193557993195,2.1644192186669,2.98445885872598,3.730714543834,2.7777189509205,3.16365892177935,3.37775098542693,2.83525040864026,2.19694020681738,2.95648207516207,3.89740663760881,4.50756951526835
"CFH",4.21272992712682,4.29537223856118,6.16816726068919,5.73511959854163,5.82498576779202,3.98023666021753,4.59025529236486,3.51022358581084,4.89062942339587,5.64022200882864,6.09637620763335,5.69363061409591,5.13301990145477,4.33711742105144,6.54383402701713,4.32160721236779,4.5396827382394,2.65123768203483,3.55989616118427,3.11620007408286,3.13909928979798,3.72549608249805,4.26865836472614,3.53946140595089,4.29077337840469,4.39864230600071,5.35813719640891,5.98879757090945
"FUCA2",3.26105545572205,3.3006466072808,3.22859823491534,3.62695046818503,2.07225409517777,3.3488639418824,2.47597895242332,2.88715063070433,2.7258123473919,3.41441409473774,3.7982494368952,2.96972471695462,2.6928308537023,2.1426705742514,2.98978827349343,2.20559636770264,3.67076421272598,2.30660321662664,1.42548011999938,2.06256731005131,2.49805932133074,2.54839157435627,2.18589944602063,1.67516108155706,3.47932003521936,2.94452156020773,2.9387878004352,3.50330158335266
"GCLC",5.73790119359931,5.66352370401531,5.83213850274734,5.42984046348178,4.82681483521756,5.10719245178169,5.37809150852872,5.09964974120883,5.84052217444302,5.2612994905391,5.5759197624178,5.1254047626035,5.31870679948573,5.12604806959605,4.89901235046937,5.18944780441662,5.31376782228195,4.69483281382811,4.79342880825632,5.0743170394985,5.48489674159805,4.80651088839381,4.50883810713676,4.86011214376836,5.35494438859365,4.97610103998585,5.21093066783704,5.70508496966623
"NFYA",5.74461019500041,6.4215307194354,6.34189732399837,5.82482028540623,6.19668345685424,5.83344929935923,6.07541907756452,5.72846723597935,6.53533685300056,5.82091477652984,5.85564378745633,5.75054294420763,5.86312463467052,5.46602980294626,5.46819216062017,5.36190424201249,5.16248567885412,5.4385858251009,5.8953541397957,5.29014593190451,5.77425435280555,5.84982784340482,5.7998049915147,5.39120167215172,5.25796207774735,5.40056498557085,5.32987304884558,5.41174075791569
"STPG1",4.02157468881856,3.58672077680571,2.35573708123941,3.20390596002335,2.07225409517777,3.51578176035494,3.72009994779841,4.0050649406518,3.25477718990435,3.6628433959238,3.10046390895882,3.75631282818813,3.71751788534031,3.84668838733953,2.92895549725787,3.54292975590336,3.55293324584949,3.92789870340963,3.47491524892727,3.19697088074215,2.63389226061448,3.07513043395741,3.04776112636383,3.32757797213157,4.15280685120507,3.75809718669202,3.4105619633132,3.82693836640593
