"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"COX8A",1.86616519415299,4.83228970527198,11.1782592212457,2.49946603380895e-12,3.44176472855493e-08,18.0533114499019
"PMS1",-1.1473509377003,4.47291131211208,-10.365497984223,1.57563455982872e-11,7.29853022995263e-08,16.2996830852949
"RABAC1",1.49179840304613,3.98386149666793,10.2655652216322,1.98738792016601e-11,7.29853022995263e-08,16.0323823275027
"HNRNPH1",-0.946453773006007,6.30078634514984,-10.0410376436951,3.36402319522894e-11,7.29853022995263e-08,15.5884179545223
"KCNH2",1.19221891731999,4.93055963118654,9.96521275588363,4.02431255086287e-11,7.29853022995263e-08,15.4040245008147
"LONP1",0.956154509613498,5.96017171130794,9.93265579088895,4.34720750716142e-11,7.29853022995263e-08,15.339457290183
"C19orf53",1.51081676698989,2.99469554101824,9.93258763518066,4.34791057130936e-11,7.29853022995263e-08,15.1550193369933
"MZT2A",1.46266898943126,4.23774627424301,9.92701703832164,4.40576951225245e-11,7.29853022995263e-08,15.2914807006127
"PCSK1N",2.26194343598569,6.23712717561853,9.8935563397151,4.77028119604747e-11,7.29853022995263e-08,15.2431830410918
"TRPM7",-0.831887325888928,6.13743912944661,-9.83038791960785,5.54484128122225e-11,7.63524644424303e-08,15.1056735802037
"SF3B5",1.32122301682085,3.83538976141545,9.78245555754703,6.21761883385723e-11,7.74983012479166e-08,14.9387701574176
"EDF1",1.25327186950091,4.43059572477324,9.73696977974918,6.93331681684373e-11,7.74983012479166e-08,14.8671790135487
"RPL27",1.77657034418147,4.00808595205561,9.71455483852299,7.31646997983236e-11,7.74983012479166e-08,14.7846448196374
"NDUFA11",1.29455383243151,4.18356452207864,9.52255500032682,1.16298036898018e-10,1.0977015741864e-07,14.3603678044106
"PUS7L",-1.28458211077049,5.35881246175516,-9.51110501106575,1.19575334878693e-10,1.0977015741864e-07,14.3589805367797
"MAP3K2",-0.916187888582884,6.382216730675,-9.47814709522133,1.29545900196788e-10,1.11490440356861e-07,14.2824806983025
"POLR2L",1.45948468991491,3.31279528326358,9.27979192297272,2.10410239173717e-10,1.70432293730711e-07,13.7276908589838
"NDUFS7",0.959686230192107,5.40184016793439,9.252241643331,2.25165375684756e-10,1.72251512398838e-07,13.7442523201094
"PNPLA2",1.50536776830981,5.22895121374111,9.14789006194849,2.91329240630342e-10,2.10829562405728e-07,13.4918859354628
"RTN4R",1.58347945935272,4.16713298800612,9.1277701276036,3.06215776914638e-10,2.10829562405728e-07,13.4253100895679
"HERC4",-1.17042822072347,5.99215412686521,-9.01758254356473,4.02688153452381e-10,2.60971495017611e-07,13.1812107733578
"WDR18",1.0987451567037,3.25202697630451,8.98209620804531,4.39968782815797e-10,2.60971495017611e-07,13.0329223515215
"ROMO1",1.85407625017083,2.22515525161536,8.97431471011013,4.48604369537411e-10,2.60971495017611e-07,12.793269836071
"PRKRIR",-0.833568751767523,4.8008823505613,-8.9636690454932,4.60699642492263e-10,2.60971495017611e-07,13.0478029949705
"ICE2",-1.09900038378439,4.57344551173967,-8.95245223357724,4.73804457185205e-10,2.60971495017611e-07,13.018659260247
"INTS8",-0.836296518826326,4.9690295020636,-8.92816674931809,5.03497520541927e-10,2.66660032994705e-07,12.9624118434874
"ATP5I",1.26460720639127,2.9506500161676,8.89840345610018,5.42494962471897e-10,2.76672430860668e-07,12.7950945656576
"GRINA",1.12937846116484,5.91878546410019,8.87145078800705,5.80467820660731e-10,2.8546578180351e-07,12.8249317382525
"METTL14",-1.10229514666627,4.36051860422383,-8.84473401746355,6.20789311725489e-10,2.94767890429655e-07,12.7546286398424
"SRSF10",-0.957314574056387,5.34007049127707,-8.81013131715198,6.77297615702491e-10,3.10879605607443e-07,12.6749430884745
"COX6B1",1.36532803132561,4.44956666025288,8.76336710073533,7.6211523387149e-10,3.14396489798822e-07,12.553925579642
"C4orf48",2.55228916440352,1.73659530748123,8.7606395283424,7.67384754809725e-10,3.14396489798822e-07,12.0837065327342
"PIAS2",-0.885627196660976,6.38109213181625,-8.75729973428608,7.73887725283951e-10,3.14396489798822e-07,12.5452702272305
"PRKCSH",0.869917881790061,6.24098624186271,8.75607442185105,7.76287629132895e-10,3.14396489798822e-07,12.5421849810772
"ZNF891",-1.00787831307828,4.8602883195186,-8.69886769769375,8.97218924673463e-10,3.50895655115083e-07,12.4004589097414
"MRPL12",0.997365113612873,2.98595802599008,8.69010437910682,9.17374261738778e-10,3.50895655115083e-07,12.3111478154776
"CHCHD10",1.44470798432215,3.3819622386804,8.66092014188503,9.87890465207869e-10,3.67655451511145e-07,12.2644176918976
"USP45",-0.867744907679139,4.73147648529829,-8.61536760886388,1.10918982432598e-09,4.0193536528865e-07,12.1939637358886
"HNRNPA3",-2.99245907488918,5.395623986375,-8.52423771910612,1.39951975041944e-09,4.9413812726348e-07,11.9674275640708
"UBA6",-1.00115834901926,5.9110655251727,-8.47169365649387,1.60107280259992e-09,5.50395078934091e-07,11.8367485010044
"PHPT1",1.14821780233362,4.37136610872778,8.46261349760174,1.63879435267231e-09,5.50395078934091e-07,11.8123731378738
"AP1B1",0.940629730671888,6.87383265201468,8.37842806488604,2.03474128264299e-09,6.67104463380808e-07,11.6036046296947
"CHPF",1.68117990774953,5.5650821877136,8.34313325612281,2.22859025480172e-09,7.13667158339993e-07,11.5151528008628
"ZYX",0.917131758071446,5.3184712925461,8.31041861183997,2.42506921017338e-09,7.58936432365623e-07,11.4325753362589
"CEND1",1.03919266090096,5.97580214663139,8.22223199442207,3.0474281699428e-09,9.02477289326422e-07,11.2092574063489
"TOM1",0.748538254517491,5.02831922753667,8.20917920292245,3.15249469562862e-09,9.02477289326422e-07,11.1772450525338
"EIF3G",0.83808084046925,4.83858362244618,8.19968564274228,3.23122406386689e-09,9.02477289326422e-07,11.1536470926048
"TMEM151A",1.14248842084197,5.12189137755338,8.19719386572668,3.25221812733162e-09,9.02477289326422e-07,11.1470460240855
"MDK",2.10250826959415,2.01625740059164,8.19585456062303,3.26355959375785e-09,9.02477289326422e-07,10.9112736715315
"CLUH",0.906412723995386,6.38402237301711,8.19427714684746,3.27696909704583e-09,9.02477289326422e-07,11.1384383553898
"DDX54",0.878445472369567,4.44393064419717,8.18106483646772,3.39151372800409e-09,9.10574162191532e-07,11.1070071135595
"GAMT",1.16379008913384,3.79442275422998,8.1745337488206,3.44963362327594e-09,9.10574162191532e-07,11.0854671598158
"NAA38",1.39488395575027,3.14160123857758,8.16258988683632,3.55855977689772e-09,9.10574162191532e-07,11.0265760746855
"EPC1",-0.732691784623802,5.1323606742049,-8.15670102390988,3.61354861501297e-09,9.10574162191532e-07,11.0433585158007
"RAB11B",0.968493078166077,6.42134058973683,8.15421660319678,3.63700645755514e-09,9.10574162191532e-07,11.0367923480567
"GNPTG",0.993530224259924,5.39387371713241,8.14377237203776,3.73732985413502e-09,9.17659721950844e-07,11.0108147770701
"MED16",1.0215773450395,5.30312908116362,8.13753421970566,3.79859144162659e-09,9.17659721950844e-07,10.9951798136239
"TATDN1",-1.15539581155433,2.84300621059454,-8.10277847752445,4.15913253071027e-09,9.87435430135869e-07,10.8750596205053
"TBCB",0.93056185459239,4.86814996469645,8.08641624750341,4.34075203597905e-09,1.01250426759385e-06,10.8661480950902
"C16orf13",0.905849997080757,3.51113240158446,8.08020589987243,4.41178330106254e-09,1.01250426759385e-06,10.8439954400727
"TICAM1",1.00173176736038,3.65428219377209,8.07036368283169,4.52678761156083e-09,1.02186664608513e-06,10.8216396526832
"SYVN1",0.747392151984769,5.29167250514474,8.05935747029857,4.65901445732123e-09,1.02314308016631e-06,10.7956593131247
"VPS13C",-0.791343647545929,8.37920545491173,-8.05617661864086,4.69795650243178e-09,1.02314308016631e-06,10.7903225697254
"INTS6",-0.849472033910423,5.68618465452577,-8.04272306704059,4.86636421147528e-09,1.02314308016631e-06,10.7515176828857
"UBL5",1.24657002909672,3.12344733422816,8.03320492362675,4.98921174250541e-09,1.02314308016631e-06,10.7061149853396
"MZT2B",1.39557444783314,4.61085108072657,8.03260482010807,4.99706209819241e-09,1.02314308016631e-06,10.730252179745
"CAPN7",-0.67942399359415,5.16926926809344,-8.03083983905824,5.02022397163273e-09,1.02314308016631e-06,10.7223296884324
"RNF145",-1.21544492470446,4.71848295816695,-8.02838970743442,5.05255842057439e-09,1.02314308016631e-06,10.7182225052273
"GIN1",-1.12322372616868,3.16416896410138,-7.98925710494615,5.59871622764458e-09,1.11730902108211e-06,10.6083605952017
"PRMT1",0.642587268557535,5.32381615858196,7.98097494376779,5.72181168956677e-09,1.12556209950478e-06,10.5948449017933
"TRA2B",-0.78129823598997,5.78829642722604,-7.97364479379642,5.83305504695282e-09,1.1312840562893e-06,10.5743482062609
"PPP4R3B",-0.721621435601279,6.05641932386996,-7.95172577662967,6.17901794204465e-09,1.1778920117757e-06,10.5181068289904
"THAP4",0.930336313281508,4.97656867439058,7.9458614906867,6.27507171244881e-09,1.1778920117757e-06,10.5065538246334
"MT3",1.64892856979633,7.2104643114855,7.94254932999222,6.32999338209166e-09,1.1778920117757e-06,10.4980091250738
"CRTC2",0.922945931736024,4.27206195000065,7.91568473678555,6.79393348901261e-09,1.24490300107735e-06,10.4322137034225
