"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"PCSK1N",2.37485674689173,6.23686285716337,12.5509976588719,1.37047333490664e-13,1.89755737951174e-09,20.8309179519844
"COX8A",1.88056490494347,4.83202538681682,11.2554911193249,2.15054121610984e-12,1.48881968391284e-08,18.1888248148559
"RABAC1",1.49665360608727,3.98359717821277,10.0180266530387,3.61219721221559e-11,1.03123850810735e-07,15.4552694061621
"KCNH2",1.19983326751194,4.93029531273137,10.013645673121,3.64972349736972e-11,1.03123850810735e-07,15.4963547215809
"NDUFS7",0.981718388407895,5.40157584947922,10.0051133683709,3.72395821214556e-11,1.03123850810735e-07,15.4855579919355
"MT3",1.75300142830735,7.21019999303034,9.87978649174704,5.01103074853043e-11,1.07657257209662e-07,15.1966030714351
"CHCHD10",1.51327944215338,3.38169792022523,9.82205823057999,5.74923865561742e-11,1.07657257209662e-07,14.9451213143173
"HNRNPH1",-0.94385261559493,6.30052202669467,-9.78906187627488,6.22026619729378e-11,1.07657257209662e-07,14.9936617887114
"ROMO1",1.92038995442913,2.22489093316019,9.54706965924257,1.11303588672932e-10,1.71234387640601e-07,14.0011461596421
"RTN4R",1.60996767627536,4.16686866955096,9.40239489567373,1.58190000016675e-10,2.19029874023088e-07,14.0547747519803
"POLR2L",1.47226222188728,3.31253096480841,9.15906598778368,2.8750827981432e-10,3.61894512937188e-07,13.4202955574334
"MZT2A",1.4397054154951,4.23748195578784,9.0259639911775,3.99957067515918e-10,4.61483796402116e-07,13.1696295460488
"MZT2B",1.45238429751746,4.6105867622714,8.95787125738426,4.7396521703859e-10,5.00979427281009e-07,13.0143935515954
"TMEM160",1.62770246487784,3.09743189809393,8.9312694780081,5.0655149371184e-10,5.00979427281009e-07,12.8475250406406
"CEND1",1.0648344869932,5.97553782817622,8.86134688452887,6.03558290551106e-10,5.57124539398041e-07,12.7877254193484
"GRINA",1.12507615863389,5.91852114564502,8.68156757862198,9.49831427018751e-10,7.49441595312411e-07,12.3463615569527
"TRPM7",-0.807409601388487,6.13717481099144,-8.67242371785771,9.72101423119754e-10,7.49441595312411e-07,12.3239272227849
"COX6B1",1.37138314314727,4.44930234179771,8.67153873306537,9.74284899293904e-10,7.49441595312411e-07,12.3154400055802
"KATNB1",0.819946765224399,5.313880398047,8.59945502191456,1.17004049921398e-09,8.5265161853246e-07,12.1431932960165
"SF3B5",1.28846798826845,3.83512544296028,8.56196812828497,1.28726628405888e-09,8.91174448453959e-07,12.0328408649431
"PMS1",-1.09210951413597,4.47264699365692,-8.52146025545845,1.4274691428787e-09,8.96849443821593e-07,11.9487375955968
"MIF",1.22302873950671,5.42757856307774,8.48932576187859,1.54970785418076e-09,8.96849443821593e-07,11.8695902673732
"PMVK",0.916569703233438,4.7524435219242,8.4716772501582,1.62133203935181e-09,8.96849443821593e-07,11.8251054261324
"C4orf48",2.59223545852088,1.73633098902606,8.4575472699069,1.68110444806939e-09,8.96849443821593e-07,11.3101989673142
"METTL14",-1.09060656358202,4.36025428576866,-8.45451143961185,1.69423712163293e-09,8.96849443821593e-07,11.7819346849341
