"","LOAD1","LOAD2","LOAD3","LOAD4","CTRL1","CTRL2","CTRL3","CTRL4"
"WASH7P",3.18074809851971,3.62377432794854,3.31448031396739,3.5426658483518,2.77915884292492,3.05579241697287,3.19817743284266,3.41279325963747
"LOC100996442",2.37545275867345,1.96935836175785,1.98742684932701,3.00822651289334,1.94253500675598,1.60377945287216,1.87308083968674,1.9560793014141
"WASH9P",3.53215736035653,4.31230514738829,3.95312788159519,4.17867609296404,3.39769409555489,3.40393818558384,3.55181456350659,3.98112656109067
"MIR12136",2.62058616052466,3.68738647210604,2.65917572576148,2.03137927920991,4.7688265976921,4.36006297765083,3.28811960710101,3.29009801064092
"LOC100288069",1.24818240049546,1.44155433343454,1.06625929148089,2.19481229028006,1.03785615964932,1.02199678888779,1.05644655936885,1.10904511625927
"LINC01409",1.44507700607124,1.73220452463957,2.11590742403498,2.20580712955815,1.65219883165969,1.84097002088941,1.66296643002001,1.35076692400698
"LINC01128",4.63647239048679,4.53298519290779,4.70124719817972,4.7793183110857,4.92782803646627,4.61770653222205,4.69246629662621,4.64956599800906
"SAMD11",1.32353306189727,1.50069968655705,2.26377038726386,0.938415671559855,1.05957385992332,1.91704245381243,1.52851600099336,1.66038106535544
"NOC2L",5.77526049380248,5.7916558009234,5.78187426224465,5.2221248605422,6.08173113613048,5.76562282663889,6.15210226760756,6.13583382157812
"KLHL17",1.34341813335157,1.89781977662316,2.79332947331884,1.91560979474672,0.516364642831928,1.63114005811759,1.91987511592156,2.15376731204266
"HES4",1.94331546577383,1.20123157303956,-0.364563007720241,0.679153590720668,0.607645771506304,0.664110306307789,0.97999430444428,2.13160488811259
"ISG15",2.24762520789586,2.00156661313519,1.87571077647943,1.67309830367256,1.18343197768364,1.62207738895764,2.85714029905384,3.85964506172644
"AGRN",5.5534859927708,6.03114183328589,5.41561840389303,5.89049367147422,5.28318681314018,4.97439022936739,4.77255572081909,5.80783803866778
"C1orf159",2.25113833610988,2.36558996964102,1.7280513142455,2.16507635703355,1.32465199089099,1.47882724447143,1.9249820132955,2.54106091661876
"SDF4",6.66761895902493,6.66701244547102,6.55037536424087,6.67530585594283,6.54569087510385,6.29950616383598,6.75240796740697,6.81706969479905
"B3GALT6",2.8808300157297,2.64149367915315,2.22250371834451,2.71692719898902,2.26111470185721,2.32708522870713,2.79434512668361,3.097735512085
"UBE2J2",3.92641298182661,4.15551099628417,4.46353601371403,4.08650569535497,3.3891430110527,4.17570495892222,4.31560073114165,4.44281378682489
"LINC01786",0.986776329752377,1.41446856112832,1.42488552602675,1.60274829001901,1.51745241459429,1.19086262330056,1.14664458492786,1.25560374293384
"SCNN1D",2.35600731969099,2.49404584180365,2.39787767228261,3.25577422398898,1.5561616486563,2.06482188739064,1.89926480798352,2.58413076288414
"ACAP3",6.86309240939453,7.26577127535916,7.26171466209511,7.28444702346982,6.01382485664008,6.68477759887981,7.24882244954299,7.55636029452571
"PUSL1",1.20536051420879,1.44155433343454,1.86111780517113,1.41338635846669,0.531984899455469,1.31976927505522,1.46682356602676,1.92032783773009
"INTS11",4.59836409714499,4.59988250576206,4.84907341420471,4.86965927036577,4.14073309045481,4.70505595503944,4.3885801949108,4.83449064380435
"CPTP",2.53382907552665,3.27426270826238,2.81620609011935,2.9934974680002,2.3650606914365,3.05579241697287,3.37651476826704,3.44190326557787
"TAS1R3",0.427537880310564,1.30073447629925,1.58737545137674,0.603573641632144,0.350089256745305,1.46875191856454,0.638301947721502,1.2880272914256
"DVL1",6.16730495700914,6.46836258431012,6.66770137987973,6.0992274815578,6.11225083856284,6.33043711858591,6.31414202380645,6.71680214163932
"MXRA8",3.77235254479484,4.36365645166539,3.16408102965967,3.938369420881,3.17950920092881,3.2477257643337,4.35397255181108,4.13275918364429
"AURKAIP1",5.81051122625972,5.58627035682535,5.16889369149409,5.51551115185052,5.27914299641274,4.97616947681957,5.97539017337184,5.73289906273022
"CCNL2",5.61953018993496,5.5183263019045,5.60669755990811,5.8194958773653,4.88437598081293,5.28977113974755,5.26866781251325,5.41693814155041
"MRPL20-AS1",3.20087075481044,3.33149349645547,3.11572405367193,2.8629877091065,3.0952755437082,2.89955455292573,3.03299025216576,2.95610797304438
"MRPL20",4.84205813235036,4.76645898145776,4.50401945354008,4.50447763364482,4.25690944246967,4.52350941660149,5.06746069221266,4.85154003618883
"ANKRD65",2.85797164722568,2.72102272800375,1.28611762194634,1.87025952114158,3.82289393991313,2.47031069736203,2.21495235449107,2.11362651050877
"VWA1",4.63781495799395,4.3196235564597,3.53735991744032,4.51114085483414,5.34915042555663,4.51374239658815,4.23153644395744,4.2381602219689
"ATAD3C",1.74828478696092,2.0151530317393,2.44103664032579,0.911804925353424,0.851233893833183,2.92188246906864,1.46682356602676,1.88366785436235
"ATAD3B",3.84273264946474,3.83640763888118,4.28645762614057,4.24413426395557,3.2800592031925,3.57336621898342,3.79852537243896,4.53772271444136
"ATAD3A",3.90315496493473,3.92183856584065,3.70199085211645,3.78308481211286,3.77446930327285,3.36644201572101,3.85980999966797,4.16148172310243
"TMEM240",3.48966426925483,3.37955443063797,3.46521715263699,3.42527813685959,2.84316661161673,3.26529513065022,3.74755143325128,3.83927704611345
"SSU72",5.82943535172936,5.40850497445238,5.62732547215078,5.34490244976724,5.13444014168646,5.48047521319623,5.68759183210139,5.79273478242621
"FNDC10",1.36303284549056,1.53882439604348,0.527576906194414,1.69407197430999,1.01580652749084,0.980051565488211,2.0139435642724,1.9560793014141
"MIB2",5.45448776462176,5.6565863242695,5.78992218130859,5.7905756317228,4.74221493310827,5.23732204101208,5.47294106212987,5.91649950099715
"CDK11B",5.01320187539895,5.05984777185566,5.50124209768176,5.15941214596646,4.85595682678433,5.01390195715411,5.14828622784419,5.19607119717839
"SLC35E2B",5.55170649500975,5.13643904587213,5.58466054023944,5.64266280865235,4.97072610827138,5.42553775647247,5.7010506046606,6.28661196292676
