"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0050804","modulation of chemical synaptic transmission","86/564","486/18842",0.176954732510288,5.91166856375682,19.2701614640387,5.99752812818923e-42,2.46768051246531e-38,2.46768051246531e-38,"CACNA1B/GABRG2/DLGAP2/PPP3R1/GRM8/MEF2C/SYN3/GABRA4/PPP3CB/GLRA3/SYN1/TAC1/PRKAR1B/PLCB1/NSG1/CUX2/CAMKV/SYT1/CALB2/SV2C/NRXN3/AKAP5/EPHA4/PLK2/IGF1/CLSTN3/SHANK2/GABRB3/SV2B/INA/HTR2A/GRIA3/NRXN1/NRN1/GRIN3A/NEFL/GRIN2A/CPLX2/SLITRK5/DLGAP1/NETO1/SYT5/SLC4A10/KMO/BDNF/YWHAG/GRM7/NRGN/CACNG8/CHRNA7/UNC13A/VGF/PFN2/PLPPR4/GRIN2B/RGS4/GABRB2/STXBP1/CPLX1/CACNB4/GLRA2/GRM1/CALB1/GPR158/CALM3/CHRM1/SYT4/LAMP5/C1QL3/NPY5R/PCDH8/SYT13/ELOVL4/CACNG3/PRKCG/STX1A/CBLN4/NEFH/NPTN/SYP/GRIA1/PTK2B/LRFN2/YWHAH/RAB3A/GRIK2",86
"GO:0099177","regulation of trans-synaptic signaling","86/564","488/18842",0.176229508196721,5.88744041390536,19.2155674158197,8.39347113083439e-42,2.46768051246531e-38,2.46768051246531e-38,"CACNA1B/GABRG2/DLGAP2/PPP3R1/GRM8/MEF2C/SYN3/GABRA4/PPP3CB/GLRA3/SYN1/TAC1/PRKAR1B/PLCB1/NSG1/CUX2/CAMKV/SYT1/CALB2/SV2C/NRXN3/AKAP5/EPHA4/PLK2/IGF1/CLSTN3/SHANK2/GABRB3/SV2B/INA/HTR2A/GRIA3/NRXN1/NRN1/GRIN3A/NEFL/GRIN2A/CPLX2/SLITRK5/DLGAP1/NETO1/SYT5/SLC4A10/KMO/BDNF/YWHAG/GRM7/NRGN/CACNG8/CHRNA7/UNC13A/VGF/PFN2/PLPPR4/GRIN2B/RGS4/GABRB2/STXBP1/CPLX1/CACNB4/GLRA2/GRM1/CALB1/GPR158/CALM3/CHRM1/SYT4/LAMP5/C1QL3/NPY5R/PCDH8/SYT13/ELOVL4/CACNG3/PRKCG/STX1A/CBLN4/NEFH/NPTN/SYP/GRIA1/PTK2B/LRFN2/YWHAH/RAB3A/GRIK2",86
"GO:0099003","vesicle-mediated transport in synapse","52/564","242/18842",0.214876033057851,7.17853584197878,16.992761874918,9.42998814499424e-30,1.84827767641887e-26,1.84827767641887e-26,"ATP6V1A/SYN2/PCLO/CACNA1B/PPP3R1/ATP6V1H/SYN3/PPP3CB/SYN1/PRKAR1B/RPH3A/SLC17A7/SYT1/DNM1/PACSIN1/SV2C/RAB3B/NECAP1/CALY/SV2B/NRXN1/HPCA/CADPS/CPLX2/RAB27B/ATP6V1B2/AMPH/NRG1/SNCG/SYT5/SLC32A1/NAPB/SNCB/UNC13A/STXBP1/SV2A/CPLX1/CACNB4/ATP6V1G2/ERC2/CALM3/SYT4/SNCA/SYT13/PRKCG/SUSD4/STX1A/SLC17A6/SYP/RAB3A/SNAP25/SH3GL2",52
"GO:0099504","synaptic vesicle cycle","47/564","210/18842",0.223809523809524,7.47698412698413,16.579824632032,8.29226112098537e-28,1.21896238478485e-24,1.21896238478485e-24,"ATP6V1A/SYN2/PCLO/CACNA1B/PPP3R1/ATP6V1H/SYN3/PPP3CB/SYN1/PRKAR1B/RPH3A/SLC17A7/SYT1/DNM1/PACSIN1/SV2C/RAB3B/SV2B/NRXN1/CADPS/CPLX2/RAB27B/ATP6V1B2/AMPH/SNCG/SYT5/SLC32A1/NAPB/SNCB/UNC13A/STXBP1/SV2A/CPLX1/CACNB4/ATP6V1G2/ERC2/CALM3/SYT4/SNCA/SYT13/PRKCG/STX1A/SLC17A6/SYP/RAB3A/SNAP25/SH3GL2",47
"GO:0042391","regulation of membrane potential","57/564","419/18842",0.136038186157518,4.54473670847509,12.8895575064619,5.88479235649783e-22,6.92051581124144e-19,6.92051581124144e-19,"KCNV1/GABRG2/MEF2C/GABRA4/FGF13/GLRA3/TAC1/PRKAR1B/GABRA3/SCN2A/SLC17A7/KCNB2/ATP1A3/CUX2/GABRA1/SYT1/NPY2R/RGS7/CACNB2/HTR3B/PTPN3/GABRB3/GLRB/GRIA3/NRXN1/UNC80/GRIN3A/GRIN2A/SCN2B/CNGB1/SCN3B/KCNJ3/KCNS2/CHRNA7/KCNC2/GRIN2B/RGS4/GABRB2/SCN8A/GLRA2/GRM1/CALM3/CHRM1/ELOVL4/HCN1/KCNH1/STX1A/MLLT11/MET/GOT1/GRIA1/PTK2B/YWHAH/FGF12/KCNS1/GABRD/GRIK2",57
"GO:0006836","neurotransmitter transport","40/564","206/18842",0.194174757281553,6.48695173173587,13.9096303697607,2.17805278359569e-21,2.13449172792377e-18,2.13449172792377e-18,"SYN2/PCLO/SLC1A6/CACNA1B/MEF2C/SYN3/SYN1/RPH3A/SLC17A7/SYT1/SV2C/RAB3B/SV2B/ICA1/NRXN1/CADPS/CPLX2/SYT5/KMO/SLC32A1/NAPB/UNC13A/STXBP1/SV2A/CPLX1/CACNB4/GPR158/ERC2/CALM3/SYT4/SNCA/SLC6A7/SYT13/PRKCG/STX1A/SLC17A6/SYP/SLC6A17/RAB3A/SNAP25",40
"GO:0060078","regulation of postsynaptic membrane potential","33/564","141/18842",0.234042553191489,7.81884714048589,14.276287534964,1.67173185101617e-20,1.38377109494733e-17,1.38377109494733e-17,"GABRG2/MEF2C/GABRA4/GLRA3/PRKAR1B/GABRA3/SLC17A7/CUX2/GABRA1/SYT1/RGS7/HTR3B/GABRB3/GLRB/GRIA3/NRXN1/GRIN3A/GRIN2A/CHRNA7/GRIN2B/RGS4/GABRB2/GLRA2/GRM1/CHRM1/ELOVL4/HCN1/STX1A/MET/GRIA1/PTK2B/GABRD/GRIK2",33
"GO:0007269","neurotransmitter secretion","33/564","142/18842",0.232394366197183,7.76378483667965,14.2115138605886,2.11801698206224e-20,1.38377109494733e-17,1.38377109494733e-17,"SYN2/PCLO/CACNA1B/MEF2C/SYN3/SYN1/RPH3A/SYT1/SV2C/SV2B/NRXN1/CADPS/CPLX2/SYT5/KMO/SLC32A1/NAPB/UNC13A/STXBP1/SV2A/CPLX1/CACNB4/GPR158/ERC2/CALM3/SYT4/SNCA/SYT13/PRKCG/STX1A/SYP/RAB3A/SNAP25",33
"GO:0099643","signal release from synapse","33/564","142/18842",0.232394366197183,7.76378483667965,14.2115138605886,2.11801698206224e-20,1.38377109494733e-17,1.38377109494733e-17,"SYN2/PCLO/CACNA1B/MEF2C/SYN3/SYN1/RPH3A/SYT1/SV2C/SV2B/NRXN1/CADPS/CPLX2/SYT5/KMO/SLC32A1/NAPB/UNC13A/STXBP1/SV2A/CPLX1/CACNB4/GPR158/ERC2/CALM3/SYT4/SNCA/SYT13/PRKCG/STX1A/SYP/RAB3A/SNAP25",33
"GO:0016079","synaptic vesicle exocytosis","26/564","98/18842",0.26530612244898,8.86329425387176,13.7092475341974,6.94589407548237e-18,4.08418571638364e-15,4.08418571638364e-15,"PCLO/CACNA1B/SYN1/RPH3A/SYT1/SV2C/SV2B/CADPS/CPLX2/SYT5/NAPB/UNC13A/STXBP1/SV2A/CPLX1/CACNB4/ERC2/CALM3/SYT4/SNCA/SYT13/PRKCG/STX1A/SYP/RAB3A/SNAP25",26
