"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0097060","synaptic membrane","81/612","451/19979",0.17960088691796,5.8631472544672,18.5693775780746,4.12280441987991e-39,3.15394538120813e-36,3.15394538120813e-36,"KCNJ4/GAD2/CHRM3/CACNA2D3/SLC1A6/SLC12A5/GABRG2/GABRA4/GLRA3/LRRTM4/GABRA3/ADAM23/MAGEE1/RPH3A/NSG1/GABRA1/SYT1/RGS7/NRXN3/AKAP5/EPHA4/HTR3B/CLSTN3/SHANK2/GABRB3/DGKB/GLRB/HTR2A/GRIA3/NRXN1/GRIN3A/GRIN2A/CDH8/CNR1/SLITRK5/CNKSR2/NETO1/GRM7/SNAP91/NRGN/KCNJ3/CACNG8/CHRM4/NSG2/CHRNA7/KCNC2/ENO2/NLGN4Y/UNC13A/PTPRO/PLPPR4/GRIN2B/GABRB2/CNTN5/STXBP1/GLRA2/GRM1/GPR158/ERC2/CHRM1/SLC6A7/PCDH8/HCN1/CACNG3/PRKCG/SUSD4/KCNH1/STX1A/HTR5A/NPTN/SYP/GRIA1/GABBR2/LRFN5/LRFN2/SNAP25/ATP2B2/GABRD/ICAM5/ATP2B3/GRIK2",81
"GO:0045211","postsynaptic membrane","59/612","319/19979",0.184952978056426,6.03786854344664,16.1239318893271,2.62944978830379e-29,1.0057645440262e-26,1.0057645440262e-26,"KCNJ4/CHRM3/SLC12A5/GABRG2/GABRA4/GLRA3/LRRTM4/GABRA3/MAGEE1/RPH3A/NSG1/GABRA1/SYT1/RGS7/AKAP5/EPHA4/HTR3B/CLSTN3/SHANK2/GABRB3/DGKB/GLRB/HTR2A/GRIA3/GRIN3A/GRIN2A/SLITRK5/CNKSR2/NETO1/GRM7/NRGN/CACNG8/CHRM4/NSG2/CHRNA7/KCNC2/NLGN4Y/PTPRO/PLPPR4/GRIN2B/GABRB2/GLRA2/GRM1/GPR158/CHRM1/PCDH8/HCN1/CACNG3/SUSD4/KCNH1/STX1A/HTR5A/GRIA1/GABBR2/LRFN5/LRFN2/ATP2B2/GABRD/GRIK2",59
"GO:0099572","postsynaptic specialization","64/612","387/19979",0.165374677002584,5.39872658796507,15.53329549238,8.11584170116847e-29,2.06953963379796e-26,2.06953963379796e-26,"SH2D5/PRICKLE1/SYN2/PCLO/SLC12A5/GABRG2/GAP43/DRP2/DLGAP2/SYN3/GABRA4/NEGR1/PAK3/SYN1/GABRA3/GABRA1/SYT1/AKAP5/EPHA4/CLSTN3/SHANK2/GABRB3/GLRB/GRIA3/GRIN3A/NSF/GRIN2A/SLITRK5/CNKSR2/DLGAP1/NETO1/ADD2/FAM81A/RTN3/CACNG8/NSG2/CAP2/NLGN4Y/PTPRO/PLPPR4/GRIN2B/GABRB2/CABP1/GLRA2/GRM1/GPR158/CHRM1/KALRN/RTN1/CACNG3/PRKCG/KCNH1/STX1A/NEFH/HTR5A/NPTN/GNG3/GRIA1/PTK2B/LRFN5/LRFN2/FRMPD2/ATP2B2/GRIK2",64
"GO:0098982","GABA-ergic synapse","36/612","118/19979",0.305084745762712,9.95962113659023,17.3520437006742,2.93104344163173e-26,5.60562058212068e-24,5.60562058212068e-24,"PCLO/CACNA2D3/GABRG2/GAP43/GABRA4/GABRA3/PLCB1/SST/CDH13/GABRA1/GAD1/CLSTN3/GABRB3/GLRB/NRXN1/NSF/CNR1/SLC4A10/SLC32A1/KCNC2/NLGN4Y/PTPRO/GABRB2/CNTN5/SV2A/GLRA2/CALB1/ERC2/LAMP5/NPY5R/CBLN4/SLC6A17/LRFN5/ATP2B2/GABRD/ATP2B3",36
"GO:0098984","neuron to neuron synapse","62/612","404/19979",0.153465346534653,5.00994143532,14.4743265457928,4.22756969097286e-26,6.46818162718848e-24,6.46818162718848e-24,"SH2D5/PRICKLE1/SYN2/PCLO/GAP43/DRP2/DLGAP2/PPP3R1/SYN3/NEGR1/PAK3/SYN1/PRKAR1B/SLC30A3/ATP1A3/SYT1/AKAP5/EPHA4/CLSTN3/YWHAZ/SHANK2/GRIA3/GRIN3A/GRIN2A/SLITRK5/CNKSR2/DLGAP1/NETO1/ADD2/FAM81A/GRM7/RTN3/CACNG8/NSG2/CAP2/NLGN4Y/PTPRO/PLPPR4/GRIN2B/CABP1/GRM1/CALB1/GPR158/CHRM1/C1QL3/KALRN/RTN1/CACNG3/PRKCG/KCNH1/STX1A/NEFH/NPTN/GNG3/GRIA1/PTK2B/LRFN5/LRFN2/YWHAH/FRMPD2/ATP2B2/GRIK2",62
"GO:0150034","distal axon","49/612","276/19979",0.177536231884058,5.79574571374443,14.2614948313001,1.15432414408964e-23,1.47176328371429e-21,1.47176328371429e-21,"GAP43/FGF13/THY1/GAD1/PACSIN1/CALB2/NRSN1/EPHA4/SHANK2/PRSS12/NRXN1/NEFL/CDH8/CNR1/CPLX2/STMN2/SNCG/CNGB1/BASP1/PTPRN/SLC4A10/SLC32A1/NAPB/SNCB/KCNC2/CDK5R2/ENO2/UNC13A/PTPRO/AP1S1/CPLX1/CALB1/ERC2/CALM3/CHRM1/SNCA/LAMP5/ELAVL4/HCN1/PRKCG/SLC2A13/SYP/GOT1/NGEF/PTK2B/TUBB3/RAB3A/SNAP25/GRIK2",49
"GO:0032279","asymmetric synapse","55/612","368/19979",0.14945652173913,4.87907164677465,13.3512638876018,1.12003502520533e-22,1.22403827754582e-20,1.22403827754582e-20,"SH2D5/PRICKLE1/SYN2/PCLO/GAP43/DRP2/DLGAP2/SYN3/NEGR1/PAK3/SYN1/SYT1/AKAP5/EPHA4/CLSTN3/SHANK2/GRIA3/GRIN3A/GRIN2A/SLITRK5/CNKSR2/DLGAP1/NETO1/ADD2/FAM81A/GRM7/RTN3/CACNG8/NSG2/CAP2/NLGN4Y/PTPRO/PLPPR4/GRIN2B/CABP1/GRM1/GPR158/CHRM1/KALRN/RTN1/CACNG3/PRKCG/KCNH1/STX1A/NEFH/NPTN/GNG3/GRIA1/PTK2B/LRFN5/LRFN2/YWHAH/FRMPD2/ATP2B2/GRIK2",55
"GO:0014069","postsynaptic density","53/612","351/19979",0.150997150997151,4.92936614341843,13.2025728209466,4.25764060662581e-22,4.07136883008593e-20,4.07136883008593e-20,"SH2D5/PRICKLE1/SYN2/PCLO/GAP43/DRP2/DLGAP2/SYN3/NEGR1/PAK3/SYN1/SYT1/AKAP5/EPHA4/CLSTN3/SHANK2/GRIA3/GRIN3A/GRIN2A/SLITRK5/CNKSR2/DLGAP1/NETO1/ADD2/FAM81A/RTN3/CACNG8/NSG2/CAP2/NLGN4Y/PTPRO/PLPPR4/GRIN2B/CABP1/GRM1/GPR158/CHRM1/KALRN/RTN1/CACNG3/PRKCG/KCNH1/STX1A/NEFH/NPTN/GNG3/GRIA1/PTK2B/LRFN5/LRFN2/FRMPD2/ATP2B2/GRIK2",53
"GO:0030672","synaptic vesicle membrane","35/612","145/19979",0.241379310344828,7.87993013297273,14.7803056026875,8.40307260053487e-22,6.42835053940917e-20,6.42835053940917e-20,"ATP6V1A/SYN2/ATP6V1H/SYN3/SYN1/RPH3A/SLC30A3/SLC17A7/SYT1/SV2C/RAB3B/PHF24/SV2B/ICA1/RAB27B/ATP6V1B2/AMPH/SYT5/SLC32A1/UNC13A/SV2A/ATP6V1G2/CALM3/SYT4/SNCA/LAMP5/SVOP/SYT13/STX1A/SLC17A6/SYP/GRIA1/SLC6A17/RAB3A/SNAP25",35
"GO:0099501","exocytic vesicle membrane","35/612","145/19979",0.241379310344828,7.87993013297273,14.7803056026875,8.40307260053487e-22,6.42835053940917e-20,6.42835053940917e-20,"ATP6V1A/SYN2/ATP6V1H/SYN3/SYN1/RPH3A/SLC30A3/SLC17A7/SYT1/SV2C/RAB3B/PHF24/SV2B/ICA1/RAB27B/ATP6V1B2/AMPH/SYT5/SLC32A1/UNC13A/SV2A/ATP6V1G2/CALM3/SYT4/SNCA/LAMP5/SVOP/SYT13/STX1A/SLC17A6/SYP/GRIA1/SLC6A17/RAB3A/SNAP25",35
"GO:0043025","neuronal cell body","60/612","483/19979",0.124223602484472,4.05533227783867,12.0831396443516,1.75453968783353e-20,1.22020260108423e-18,1.22020260108423e-18,"NEFM/SLC12A5/CACNA1B/GAP43/DRP2/NEGR1/GLRA3/TAC1/PDE1A/INHA/KCNB2/ATP1A3/SST/THY1/NRSN1/EPHA4/SHANK2/PDE1B/ENC1/HTR2A/OPRM1/NRXN1/GRIN3A/HPCA/CPLX2/SERPINI1/STMN2/CNKSR2/SNCG/SYT5/PTPRN/SLC4A10/CACNA1E/NRGN/UCHL1/SNCB/KCNC2/RTN4RL1/ENO2/SERPINF1/EPHA5/CPLX1/CALB1/SYT4/SNCA/ADCYAP1/CARTPT/RTN1/ELAVL4/HCN1/KCNH1/HTR5A/GRIA1/CD200/ATOH7/PTK2B/RGS8/TUBB3/GABRD/GRIK2",60
"GO:0099634","postsynaptic specialization membrane","34/612","153/19979",0.222222222222222,7.25453885257807,13.8052411830396,5.55708210916432e-20,3.54263984459225e-18,3.54263984459225e-18,"SLC12A5/GABRG2/GABRA4/GABRA3/GABRA1/EPHA4/CLSTN3/GABRB3/GRIA3/GRIN3A/GRIN2A/SLITRK5/CNKSR2/NETO1/CACNG8/NSG2/NLGN4Y/PTPRO/PLPPR4/GRIN2B/GABRB2/GLRA2/GRM1/GPR158/CHRM1/CACNG3/KCNH1/STX1A/HTR5A/GRIA1/LRFN5/LRFN2/ATP2B2/GRIK2",34
