"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030594","neurotransmitter receptor activity","25/597","94/18706",0.265957446808511,8.33333333333333,12.9415894497058,1.26562309949056e-16,1.61746632114894e-13,1.61746632114894e-13,"CHRM3/GABRG2/GABRA4/GLRA3/GABRA3/GABRA1/HTR3B/GABRB3/GLRB/HTR2A/GRIA3/GRIN3A/GRIN2A/CHRM4/CHRNA7/GRIN2B/GABRB2/GLRA2/GPR158/CHRM1/HTR5A/GRIA1/HTR2C/GABRD/GRIK2",25
"GO:0005216","monoatomic ion channel activity","50/597","445/18706",0.112359550561798,3.52059925093633,9.77102934481084,9.13943430740628e-15,5.84009852243262e-12,5.84009852243262e-12,"KCNQ5/KCNJ4/CACNA2D3/KCNV1/CACNA1B/GABRG2/GABRA4/GLRA3/GABRA3/SCN2A/SLC17A7/KCNB2/ANO3/GABRA1/OCA2/CACNB2/HTR3B/GABRB3/KCNQ3/GLRB/OPRM1/GRIA3/UNC80/GRIN3A/GRIN2A/SCN2B/CNGB1/SLC26A8/CACNA1E/KCNIP4/SCN3B/KCNJ3/KCNS2/CACNG8/CHRNA7/KCNC2/GRIN2B/GABRB2/SCN8A/CACNB4/GLRA2/HCN1/CACNG3/KCNH1/SLC17A6/GRIA1/SNAP25/KCNS1/GABRD/GRIK2",50
"GO:0022836","gated channel activity","41/597","317/18706",0.129337539432177,4.05257623554154,9.95258467246685,2.30811090641324e-14,9.83255246132039e-12,9.83255246132039e-12,"KCNQ5/KCNJ4/CACNA2D3/KCNV1/CACNA1B/GABRG2/GABRA4/GLRA3/GABRA3/SLC17A7/KCNB2/GABRA1/CACNB2/HTR3B/GABRB3/KCNQ3/GLRB/OPRM1/GRIA3/GRIN3A/GRIN2A/SCN2B/CNGB1/CACNA1E/KCNJ3/KCNS2/CACNG8/CHRNA7/KCNC2/GRIN2B/GABRB2/CACNB4/GLRA2/HCN1/CACNG3/KCNH1/GRIA1/SNAP25/KCNS1/GABRD/GRIK2",41
"GO:0022824","transmitter-gated monoatomic ion channel activity","18/597","62/18706",0.290322580645161,9.09677419354839,11.5946358320706,4.58315715254627e-13,1.17145496819083e-10,1.17145496819083e-10,"GABRG2/GABRA4/GLRA3/GABRA3/GABRA1/HTR3B/GABRB3/GLRB/GRIA3/GRIN3A/GRIN2A/CHRNA7/GRIN2B/GABRB2/GLRA2/GRIA1/GABRD/GRIK2",18
"GO:0022835","transmitter-gated channel activity","18/597","62/18706",0.290322580645161,9.09677419354839,11.5946358320706,4.58315715254627e-13,1.17145496819083e-10,1.17145496819083e-10,"GABRG2/GABRA4/GLRA3/GABRA3/GABRA1/HTR3B/GABRB3/GLRB/GRIA3/GRIN3A/GRIN2A/CHRNA7/GRIN2B/GABRB2/GLRA2/GRIA1/GABRD/GRIK2",18
"GO:0005230","extracellular ligand-gated monoatomic ion channel activity","19/597","74/18706",0.256756756756757,8.04504504504505,11.0252560386077,1.18329696578287e-12,2.52042253711752e-10,2.52042253711752e-10,"GABRG2/GABRA4/GLRA3/GABRA3/SLC17A7/GABRA1/HTR3B/GABRB3/GLRB/GRIA3/GRIN3A/GRIN2A/CHRNA7/GRIN2B/GABRB2/GLRA2/GRIA1/GABRD/GRIK2",19
"GO:1904315","transmitter-gated monoatomic ion channel activity involved in regulation of postsynaptic membrane potential","16/597","50/18706",0.32,10.0266666666667,11.6043796394542,1.70951586298963e-12,3.12108753271535e-10,3.12108753271535e-10,"GABRG2/GABRA4/GABRA3/GABRA1/GABRB3/GLRB/GRIA3/GRIN3A/GRIN2A/CHRNA7/GRIN2B/GABRB2/GLRA2/GRIA1/GABRD/GRIK2",16
"GO:0046873","metal ion transmembrane transporter activity","45/597","448/18706",0.100446428571429,3.14732142857143,8.35272630665028,1.05650725089633e-11,1.68777033330689e-09,1.68777033330689e-09,"KCNQ5/KCNJ4/CACNA2D3/SLC1A6/KCNV1/SLC12A5/CACNA1B/SCN2A/SLC30A3/SLC17A7/KCNB2/ATP1A3/CACNB2/KCNQ3/NIPAL2/SLC39A10/OPRM1/GRIA3/GRIN3A/GRIN2A/SCN2B/CNGB1/SLC4A10/CACNA1E/KCNIP4/SCN3B/KCNJ3/KCNS2/CACNG8/CHRNA7/KCNC2/GRIN2B/SCN8A/CACNB4/SLC6A7/HCN1/CACNG3/KCNH1/SLC17A6/GRIA1/SNAP25/KCNS1/ATP2B2/ATP2B3/GRIK2",45
"GO:0005516","calmodulin binding","27/597","206/18706",0.131067961165049,4.10679611650485,8.14102872394611,4.97604262877158e-10,7.06598053285564e-08,7.06598053285564e-08,"FBXL2/GAP43/PPP3R1/PPP3CB/PDE1A/SCN2A/PLCB1/SPA17/CAMKV/SYT1/NOS2/AKAP5/PDE1B/KCNQ3/PCP4/BASP1/ADD2/CAMK1G/CFAP221/NRGN/UNC13A/RGS4/CAMKK1/KCNH1/RIT2/ATP2B2/ATP2B3",27
"GO:0005261","monoatomic cation channel activity","35/597","338/18706",0.103550295857988,3.24457593688363,7.56102205673622,9.89206470860575e-10,1.26420586975981e-07,1.26420586975981e-07,"KCNQ5/KCNJ4/CACNA2D3/KCNV1/CACNA1B/SCN2A/KCNB2/CACNB2/HTR3B/KCNQ3/OPRM1/GRIA3/UNC80/GRIN3A/GRIN2A/SCN2B/CNGB1/CACNA1E/KCNIP4/SCN3B/KCNJ3/KCNS2/CACNG8/CHRNA7/KCNC2/GRIN2B/SCN8A/CACNB4/HCN1/CACNG3/KCNH1/GRIA1/SNAP25/KCNS1/GRIK2",35
"GO:0005244","voltage-gated monoatomic ion channel activity","24/597","173/18706",0.138728323699422,4.34682080924855,8.02973914112344,1.44274434582781e-09,1.67620661269813e-07,1.67620661269813e-07,"KCNQ5/KCNJ4/CACNA2D3/KCNV1/CACNA1B/KCNB2/CACNB2/KCNQ3/OPRM1/GRIN3A/GRIN2A/SCN2B/CACNA1E/KCNJ3/KCNS2/CACNG8/KCNC2/GRIN2B/CACNB4/HCN1/CACNG3/KCNH1/SNAP25/KCNS1",24
"GO:0022832","voltage-gated channel activity","24/597","175/18706",0.137142857142857,4.29714285714286,7.95657476887864,1.82716567814428e-09,1.94593144722366e-07,1.94593144722366e-07,"KCNQ5/KCNJ4/CACNA2D3/KCNV1/CACNA1B/KCNB2/CACNB2/KCNQ3/OPRM1/GRIN3A/GRIN2A/SCN2B/CACNA1E/KCNJ3/KCNS2/CACNG8/KCNC2/GRIN2B/CACNB4/HCN1/CACNG3/KCNH1/SNAP25/KCNS1",24
"GO:0022843","voltage-gated monoatomic cation channel activity","21/597","143/18706",0.146853146853147,4.6013986013986,7.84935399200537,5.45285604321902e-09,5.36057694094916e-07,5.36057694094916e-07,"KCNQ5/KCNJ4/CACNA2D3/KCNV1/CACNA1B/KCNB2/CACNB2/KCNQ3/OPRM1/SCN2B/CACNA1E/KCNJ3/KCNS2/CACNG8/KCNC2/CACNB4/HCN1/CACNG3/KCNH1/SNAP25/KCNS1",21
"GO:0015276","ligand-gated monoatomic ion channel activity","23/597","186/18706",0.123655913978495,3.87455197132616,7.15360462674136,2.93480287478782e-08,2.67905576712773e-06,2.67905576712773e-06,"KCNJ4/GABRG2/GABRA4/GLRA3/GABRA3/SLC17A7/GABRA1/HTR3B/GABRB3/GLRB/GRIA3/GRIN3A/GRIN2A/CNGB1/KCNJ3/CHRNA7/GRIN2B/GABRB2/GLRA2/HCN1/GRIA1/GABRD/GRIK2",23
"GO:0022834","ligand-gated channel activity","23/597","188/18706",0.122340425531915,3.83333333333333,7.08921819096048,3.59214134194961e-08,3.06050442334107e-06,3.06050442334106e-06,"KCNJ4/GABRG2/GABRA4/GLRA3/GABRA3/SLC17A7/GABRA1/HTR3B/GABRB3/GLRB/GRIA3/GRIN3A/GRIN2A/CNGB1/KCNJ3/CHRNA7/GRIN2B/GABRB2/GLRA2/HCN1/GRIA1/GABRD/GRIK2",23
"GO:0005254","chloride channel activity","15/597","82/18706",0.182926829268293,5.73170731707317,7.79663324448927,4.20790456049381e-08,3.16744097418357e-06,3.16744097418357e-06,"GABRG2/GABRA4/GLRA3/GABRA3/SLC17A7/ANO3/GABRA1/OCA2/GABRB3/GLRB/SLC26A8/GABRB2/GLRA2/SLC17A6/GABRD",15
"GO:0015108","chloride transmembrane transporter activity","18/597","119/18706",0.151260504201681,4.73949579831933,7.43020281237032,4.21334088897658e-08,3.16744097418357e-06,3.16744097418357e-06,"SLC12A5/GABRG2/GABRA4/GLRA3/GABRA3/SLC17A7/ANO3/GABRA1/OCA2/GABRB3/GLRB/SLC26A8/SLC4A10/GABRB2/GLRA2/SLC26A4/SLC17A6/GABRD",18
