"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signal transduction","hsa04151","PI3K-Akt signaling pathway","26/204","362/9423",0.0718232044198895,3.31759831004225,6.6888138818783,6.54153867151588e-08,2.30262161237359e-05,2.30262161237359e-05,"COL6A2/PDGFRB/IGF2/PIK3R5/ITGA10/NGFR/ANGPT2/CSF1/LAMA2/PCK1/PGF/EPHA2/SGK1/PIK3R6/ITGA5/NR4A1/COL1A2/LPAR1/SPP1/DDIT4/ITGA11/COL1A1/RELA/ANGPT1/CDKN1A/PKN3",26
"Environmental Information Processing","Signaling molecules and interaction","hsa04518","Integrin signaling","16/204","154/9423",0.103896103896104,4.7990832696715,7.07078217133225,1.99348931522907e-07,3.50854119480316e-05,3.50854119480316e-05,"ITGAX/ITGAL/COL6A2/TGFB1/PDGFRB/ITGA10/LAMA2/PGF/ITGA5/NPNT/COL1A2/SPP1/ITGA11/COL1A1/FERMT1/TLN1",16
"Environmental Information Processing","Signal transduction","hsa04010","MAPK signaling pathway","22/204","301/9423",0.0730897009966777,3.37609927692007,6.23228811305418,5.40245448353508e-07,5.69177929172661e-05,5.69177929172661e-05,"RASGRP3/DUSP1/TGFB3/NFKB2/TGFB1/HSPA1A/PDGFRB/MKNK2/IGF2/HSPA6/NGFR/ANGPT2/CSF1/PGF/HSPB1/EPHA2/FOS/MAP4K4/NR4A1/HSPA1B/RELA/ANGPT1",22
"Cellular Processes","Cell motility","hsa04820","Cytoskeleton in muscle cells","19/204","233/9423",0.0815450643776824,3.76666245897501,6.36093720353201,6.46793101332569e-07,5.69177929172661e-05,5.69177929172661e-05,"COL27A1/SUN2/COL6A2/MYL9/MYH11/SYNE3/ITGA10/DCN/LAMA2/MYOT/VCAN/ITGA5/FLNC/COL1A2/ITGA11/COL1A1/TLN1/DAAM2/HSPG2",19
"Environmental Information Processing","Signaling molecules and interaction","hsa04512","ECM-receptor interaction","10/204","89/9423",0.112359550561798,5.19001982815598,5.90774728641883,2.0818825307594e-05,0.00143663203415756,0.00143663203415756,"COL6A2/ITGA10/LAMA2/ITGA5/NPNT/COL1A2/SPP1/ITGA11/COL1A1/HSPG2",10
"Human Diseases","Infectious disease: bacterial","hsa05134","Legionellosis","8/204","56/9423",0.142857142857143,6.59873949579832,6.25070121768374,2.44880460367766e-05,0.00143663203415756,0.00143663203415756,"NFKB2/HSPA1A/HSPA6/CXCL1/HSPA1B/CR1/RELA/TLR5",8
"Human Diseases","Infectious disease: parasitic","hsa05145","Toxoplasmosis","11/204","112/9423",0.0982142857142857,4.53663340336134,5.60074266388828,2.90378586070443e-05,0.0014601894613828,0.0014601894613828,"TGFB3/TGFB1/HSPA1A/IL10RA/HSPA6/PIK3R5/LAMA2/BIRC3/PIK3R6/HSPA1B/RELA",11
"Organismal Systems","Development and regeneration","hsa04380","Osteoclast differentiation","12/204","142/9423",0.0845070422535211,3.90347970173985,5.18573483820877,5.66842649892381e-05,0.00249410765952648,0.00249410765952648,"NFKB2/LILRA2/TGFB1/SOCS3/FCGR2C/CSF1/FOS/FCGR3B/GAB2/FCGR2A/RELA/LILRA4",12
"Human Diseases","Infectious disease: bacterial","hsa05152","Tuberculosis","13/204","181/9423",0.0718232044198895,3.31759831004225,4.68316217115272,0.000148682565579605,0.00581514034266899,0.00581514034266899,"ITGAX/TGFB3/TGFB1/FCGR2C/LSP1/IL10RA/CLEC4E/SPHK1/FCGR3B/CTSS/FCGR2A/CR1/RELA",13
"Human Diseases","Infectious disease: parasitic","hsa05140","Leishmaniasis","8/204","78/9423",0.102564102564103,4.73755656108597,4.93049074923569,0.000269082959682665,0.00947172018082979,0.00947172018082979,"TGFB3/TGFB1/FCGR2C/FOS/FCGR3B/FCGR2A/CR1/RELA",8
