"Gene","statistic","p_value","FDR"
"KANK2",41.7699130356944,8.10845626634613e-10,1.51892267609912e-08
"NEUROD6",40.7789090905241,1.23155892656686e-09,1.51892267609912e-08
"NRN1",41.4987561572808,9.08906778593761e-10,1.51892267609912e-08
"RPH3A",40.0162890384809,1.70109363526379e-09,1.57351161261901e-08
"KLF15",29.6096589967453,1.58202794858034e-07,1.17070068194945e-06
"RGS4",28.7901781041047,2.28466553254486e-07,1.40887707840267e-06
"COL25A1",27.9458967066231,3.34209089177896e-07,1.76653375708316e-06
"SCG2",27.4925384437221,4.10247617141409e-07,1.89739522927902e-06
"MAS1",26.900381690805,5.36628598396132e-07,2.20613979340632e-06
"NAP1L5",26.4628933009797,6.54774547725052e-07,2.42266582658269e-06
"PRX",25.7476752607684,9.07484947502741e-07,3.05244936887285e-06
"NCALD",24.8480113023232,1.37082795802514e-06,4.22671953724419e-06
"ITFG1",23.6543792637745,2.37762900145449e-06,6.65909530689195e-06
"HPRT1",23.5291199422669,2.51965768368885e-06,6.65909530689195e-06
"ADAM33",23.244742315853,2.8748763074195e-06,7.09136155830144e-06
"CHML",22.0587176346941,4.99562174531193e-06,1.15523752860338e-05
"GFAP",21.7664225467441,5.72802247717907e-06,1.24668724503309e-05
"AEBP1",20.2725790873539,1.15720789066642e-05,2.3787051085921e-05
"MRGPRF",19.3999939655361,1.7506689324302e-05,3.4091973947325e-05
"RAB3C",19.15739934056,1.96507374167042e-05,3.46227278294312e-05
"GAD2",19.1981943397119,1.92723891358233e-05,3.46227278294312e-05
"STAT4",18.7223989362355,2.41856927558996e-05,4.06759378167402e-05
"SERPINI1",18.269557530053,3.00419608492957e-05,4.83283718010409e-05
"GAD1",17.8996914902725,3.58812541850849e-05,5.53169335353392e-05
"PIK3R5",17.3575419010691,4.65919436782133e-05,6.89560766437557e-05
"TRIM36",16.8503554513264,5.95453491982855e-05,8.4737612320637e-05
"PRELP",15.7127351970819,0.00010358676039768,0.000141952227211635
"HSPB7",15.5158963892366,0.000114058117442548,0.000150719655191938
"ELOVL4",15.2642826271652,0.000129027370976991,0.000164621128487885
"OPN3",14.7409694142187,0.000166885721542719,0.000205825723236021
"NUPR1",14.2360058852586,0.000214140874252377,0.000255587495075418
"CCDC102A",13.6943696923116,0.000280133044513757,0.000317106829252053
"CLDN9",13.675133605681,0.000282825009873453,0.000317106829252053
"TCEA3",12.5724432116462,0.000490707179960356,0.0005340048723098
"HSPB1",10.4145688505072,0.00146776909683825,0.00155164161665758
"TMPRSS5",9.06728512928333,0.00294853345113813,0.00303043715811419
"RAB3B",8.85433196142408,0.00329581728527865,0.00329581728527865
