"Gene","Low(<=3)","High(>3)","log2FC","signed_FC","p_value","FDR"
"ADAM33",3.3146716092319,3.92406131770831,0.609389708476415,1.52561370450896,2.8748763074195e-06,7.09136155830144e-06
"AEBP1",5.07921857836476,5.74007516554718,0.66085658718242,1.58102106211578,1.15720789066642e-05,2.3787051085921e-05
"CCDC102A",0.680825838157895,1.21732951334028,0.536503675182383,1.45045312818837,0.000280133044513757,0.000317106829252053
"CHML",3.06740107779642,2.49501588402562,-0.572385193770791,-1.48697994909776,4.99562174531193e-06,1.15523752860338e-05
"CLDN9",1.04115766310526,1.56015545418056,0.518997791075293,1.43295945635296,0.000282825009873453,0.000317106829252053
"COL25A1",1.85835983913496,1.13266355135754,-0.72569628777742,-1.65369856813079,3.34209089177896e-07,1.76653375708316e-06
"ELOVL4",4.16982134557826,3.6861419556341,-0.483679389944162,-1.39830530288114,0.000129027370976991,0.000164621128487885
"GAD1",5.56304820707352,4.93152317661414,-0.63152503045938,-1.54920174386957,3.58812541850849e-05,5.53169335353392e-05
"GAD2",4.31251516322914,3.5089687745237,-0.803546388705441,-1.74538631268486,1.92723891358233e-05,3.46227278294312e-05
"GFAP",11.4635315702147,12.0697114776894,0.606179907474736,1.52222319382705,5.72802247717907e-06,1.24668724503309e-05
"HPRT1",5.05730953890005,4.43996406422544,-0.617345474674614,-1.53404996665613,2.51965768368885e-06,6.65909530689195e-06
"HSPB1",6.37453212055388,6.97863377461671,0.604101654062825,1.52003195594504,0.00146776909683825,0.00155164161665758
"HSPB7",0.266932269561403,0.731553932506944,0.464621662945541,1.37995542192957,0.000114058117442548,0.000150719655191938
"ITFG1",5.6349704255053,5.14279609712405,-0.492174328381252,-1.40656315202111,2.37762900145449e-06,6.65909530689195e-06
"KANK2",4.24595682041601,4.91350447211446,0.667547651698452,1.58837069808534,8.10845626634613e-10,1.51892267609912e-08
"KLF15",4.83836658923842,5.40215690911539,0.563790319876975,1.47814758289465,1.58202794858034e-07,1.17070068194945e-06
"MAS1",2.02908342776779,0.73017601093802,-1.29890741682977,-2.46042478971748,5.36628598396132e-07,2.20613979340632e-06
"MRGPRF",0.708625769421053,1.32060873217361,0.611982962752558,1.52835847178428,1.7506689324302e-05,3.4091973947325e-05
"NAP1L5",5.43859397367173,4.73347562035002,-0.705118353321709,-1.6302784012807,6.54774547725052e-07,2.42266582658269e-06
"NCALD",6.49558284899545,5.85812450198527,-0.637458347010188,-1.55558620601937,1.37082795802514e-06,4.22671953724419e-06
"NEUROD6",3.50410168305969,2.29158388457417,-1.21251779848552,-2.31741720865491,1.23155892656686e-09,1.51892267609912e-08
"NRN1",5.77853817213646,5.00643442026307,-0.77210375187339,-1.70775823834415,9.08906778593761e-10,1.51892267609912e-08
"NUPR1",3.63191975424098,4.1934377912102,0.561518036969223,1.47582129375848,0.000214140874252377,0.000255587495075418
"OPN3",3.27722944545503,2.84085611601035,-0.436373329444685,-1.35319835593299,0.000166885721542719,0.000205825723236021
"PIK3R5",1.71147381940353,2.28545580907615,0.573981989672619,1.48862667132152,4.65919436782133e-05,6.89560766437557e-05
"PRELP",4.75722252955431,5.2626405580395,0.505418028485189,1.41953461424502,0.00010358676039768,0.000141952227211635
"PRX",2.96009235371076,3.60916512271699,0.649072769006229,1.5681600035694,9.07484947502741e-07,3.05244936887285e-06
"RAB3B",4.46037959805096,3.99924799871201,-0.461131599338952,-1.3766211680952,0.00329581728527865,0.00329581728527865
"RAB3C",6.03301247551974,5.31783649225506,-0.715175983264687,-1.64168346173831,1.96507374167042e-05,3.46227278294312e-05
"RGS4",6.76825338803441,5.76004811606966,-1.00820527196475,-2.01140733088208,2.28466553254486e-07,1.40887707840267e-06
"RPH3A",6.75350088170935,5.81433301726047,-0.939167864448875,-1.91742196519772,1.70109363526379e-09,1.57351161261901e-08
"SCG2",5.42311456424265,4.72642523637771,-0.696689327864939,-1.62078118071439,4.10247617141409e-07,1.89739522927902e-06
"SERPINI1",6.09398296936498,5.5364765329517,-0.557506436413278,-1.47172328153031,3.00419608492957e-05,4.83283718010409e-05
"STAT4",3.40681746774933,2.66764859027381,-0.739168877475519,-1.66921394396173,2.41856927558996e-05,4.06759378167402e-05
"TCEA3",2.02434426672078,2.32768413108748,0.303339864366701,1.23399783587936,0.000490707179960356,0.0005340048723098
"TMPRSS5",3.73001280648578,4.19274574917042,0.462732942684645,1.37815001997761,0.00294853345113813,0.00303043715811419
"TRIM36",4.0314652703104,3.52759516456922,-0.503870105741181,-1.41801235799901,5.95453491982855e-05,8.4737612320637e-05
