"Gene","Region","statistic","p_value","FDR"
"CHML","FUSIFORM GYRUS",-2.78952209673175,0.00619678668307123,0.0152854071515757
"KANK2","FUSIFORM GYRUS",3.55001918153893,0.000562601030607544,0.00341419765402133
"PRELP","FUSIFORM GYRUS",1.39631257424466,0.165357278767882,0.197361913368117
"HSPB1","FUSIFORM GYRUS",1.19041269147962,0.236379046515289,0.265031052153506
"PIK3R5","FUSIFORM GYRUS",2.73892429802614,0.00716431436049839,0.0165674769586525
"AEBP1","FUSIFORM GYRUS",2.86435094451068,0.00498307979354244,0.0131695680257907
"GFAP","FUSIFORM GYRUS",2.60049480557461,0.010552939374075,0.0222808938713824
"ITFG1","FUSIFORM GYRUS",-2.54762017532206,0.0121895614389348,0.0222808938713824
"TCEA3","FUSIFORM GYRUS",0.135690895871334,0.892307072093357,0.892307072093357
"CCDC102A","FUSIFORM GYRUS",1.72362600932489,0.0875103523603031,0.111651139218318
"ELOVL4","FUSIFORM GYRUS",-2.50637474543412,0.0136207415552191,0.0224408221095205
"KLF15","FUSIFORM GYRUS",2.90776659982432,0.00438291795388328,0.0124744587918216
"NAP1L5","FUSIFORM GYRUS",-3.28163802610553,0.00137326639192834,0.0050642728898126
"NEUROD6","FUSIFORM GYRUS",-4.31206213259277,3.47495335353861e-05,0.000642866370404644
"HPRT1","FUSIFORM GYRUS",-3.54913021570986,0.000564311158794533,0.00341419765402133
"NRN1","FUSIFORM GYRUS",-4.34674215534811,3.03620479672034e-05,0.000642866370404644
"MAS1","FUSIFORM GYRUS",-3.28706803984483,0.00134934514575281,0.0050642728898126
"RPH3A","FUSIFORM GYRUS",-3.50940881688401,0.000645929285895927,0.00341419765402133
"HSPB7","FUSIFORM GYRUS",3.61345138088213,0.000452445685510867,0.00341419765402133
"NUPR1","FUSIFORM GYRUS",0.901372568586182,0.36930742066128,0.401893369543158
"ADAM33","FUSIFORM GYRUS",1.68959155843582,0.0938633734871197,0.115764827300781
"COL25A1","FUSIFORM GYRUS",-2.56927341391872,0.0114935901071567,0.0222808938713824
"RAB3C","FUSIFORM GYRUS",-2.55801169532909,0.0118509710182248,0.0222808938713824
"SERPINI1","FUSIFORM GYRUS",-1.91305706696279,0.058271433399545,0.0770015369922559
"STAT4","FUSIFORM GYRUS",-3.11022174273444,0.00236663612381368,0.00729712804842551
"SCG2","FUSIFORM GYRUS",-2.21009232064832,0.0291141750695648,0.0422588663366788
"TMPRSS5","FUSIFORM GYRUS",0.800551765930702,0.425071110102288,0.449360887822418
"RGS4","FUSIFORM GYRUS",-3.69954069294163,0.000335209310761155,0.00341419765402133
"PRX","FUSIFORM GYRUS",2.34551510993537,0.0207449411203944,0.0319817842272748
"RAB3B","FUSIFORM GYRUS",-0.773338236515975,0.440936985787497,0.453185235392705
"NCALD","FUSIFORM GYRUS",-3.30398052585379,0.00127731167221995,0.0050642728898126
"OPN3","FUSIFORM GYRUS",-3.25310848457159,0.00150559464291726,0.0050642728898126
"CLDN9","FUSIFORM GYRUS",1.37397389470213,0.172169097894475,0.199070519440487
"TRIM36","FUSIFORM GYRUS",-2.53401712627713,0.0126459127378116,0.0222808938713824
"GAD2","FUSIFORM GYRUS",-2.20201638162899,0.0296954195879364,0.0422588663366788
"MRGPRF","FUSIFORM GYRUS",2.49744589859941,0.0139497002302425,0.0224408221095205
"GAD1","FUSIFORM GYRUS",-2.10002463859404,0.037951769625583,0.0520079805980212
"CHML","HIPPOCAMPUS",0.498877956409187,0.644053385465012,0.794332508740182
"KANK2","HIPPOCAMPUS",1.20649199775457,0.294102146413536,0.616010486421672
"PRELP","HIPPOCAMPUS",1.27484889248434,0.27138071532939,0.616010486421672
"HSPB1","HIPPOCAMPUS",1.19047490152975,0.299680777178111,0.616010486421672
"PIK3R5","HIPPOCAMPUS",1.3218602907258,0.256742515704337,0.616010486421672
"AEBP1","HIPPOCAMPUS",0.615287134352132,0.571646768098406,0.755390372130037
"GFAP","HIPPOCAMPUS",1.41651548820939,0.229573985412912,0.616010486421672
"ITFG1","HIPPOCAMPUS",-0.920408205935477,0.409444736325256,0.688611602001567
"TCEA3","HIPPOCAMPUS",2.25790927539811,0.0868811685349527,0.616010486421672
"CCDC102A","HIPPOCAMPUS",0.701420464266336,0.521702565571073,0.714925738004803
"ELOVL4","HIPPOCAMPUS",-1.26791558353829,0.273606612153848,0.616010486421672
"KLF15","HIPPOCAMPUS",0.31111016289383,0.771255889336232,0.875930631907415
"NAP1L5","HIPPOCAMPUS",1.29278848448834,0.265701924752325,0.616010486421672
"NEUROD6","HIPPOCAMPUS",-1.05703707131035,0.350106251338469,0.616853871405874
"HPRT1","HIPPOCAMPUS",0.103529949385133,0.922525439113926,0.975241178491864
"NRN1","HIPPOCAMPUS",-0.506526270562025,0.639131721463257,0.794332508740182
"MAS1","HIPPOCAMPUS",-1.08604046629216,0.338530989251766,0.616853871405874
"RPH3A","HIPPOCAMPUS",0.00532215872240422,0.996008404513043,0.996008404513043
"HSPB7","HIPPOCAMPUS",-0.701420464266336,0.521702565571073,0.714925738004803
"NUPR1","HIPPOCAMPUS",1.80392040643304,0.145572896579014,0.616010486421672
"ADAM33","HIPPOCAMPUS",2.44888504641005,0.0705299071368966,0.616010486421672
"COL25A1","HIPPOCAMPUS",-1.86180834152026,0.136115209967396,0.616010486421672
"RAB3C","HIPPOCAMPUS",-1.86569902990647,0.135503681465321,0.616010486421672
"SERPINI1","HIPPOCAMPUS",-0.00907482499285631,0.99319399802378,0.996008404513043
"STAT4","HIPPOCAMPUS",2.1187998639592,0.101479134626848,0.616010486421672
"SCG2","HIPPOCAMPUS",-1.37330109067115,0.241606496624069,0.616010486421672
"TMPRSS5","HIPPOCAMPUS",1.35068250944294,0.248150823194406,0.616010486421672
"RGS4","HIPPOCAMPUS",1.13187084293561,0.320944504497766,0.616853871405874
"PRX","HIPPOCAMPUS",1.67978902021374,0.168296541213147,0.616010486421672
"RAB3B","HIPPOCAMPUS",-2.44373532092995,0.0709222696563641,0.616010486421672
"NCALD","HIPPOCAMPUS",0.297021719539625,0.781235428457964,0.875930631907415
"OPN3","HIPPOCAMPUS",0.343200837034009,0.748726384023404,0.875930631907415
"CLDN9","HIPPOCAMPUS",-0.701420464266336,0.521702565571072,0.714925738004803
"TRIM36","HIPPOCAMPUS",-1.46592237018057,0.216548131935797,0.616010486421672
"GAD2","HIPPOCAMPUS",-0.814039495982596,0.461305571501155,0.714925738004803
"MRGPRF","HIPPOCAMPUS",0.701420464266336,0.521702565571073,0.714925738004803
"GAD1","HIPPOCAMPUS",-0.169760903551651,0.873438005633759,0.950506064954385
"CHML","LATERAL TEMPORAL CORTEX",-2.79751115419844,0.00956526509346386,0.028929625812544
"KANK2","LATERAL TEMPORAL CORTEX",3.64482460489399,0.00117200664828825,0.0101468719599305
"PRELP","LATERAL TEMPORAL CORTEX",2.47824980606221,0.0200171436704287,0.0435667244591684
"HSPB1","LATERAL TEMPORAL CORTEX",2.28274489518009,0.030865824408465,0.0543826430053908
"PIK3R5","LATERAL TEMPORAL CORTEX",1.94945066205603,0.062105306889441,0.082067726961047
"AEBP1","LATERAL TEMPORAL CORTEX",1.82532313635858,0.0794615631199468,0.0890932677405464
"GFAP","LATERAL TEMPORAL CORTEX",2.17795337474114,0.038669775423818,0.0571131657994551
"ITFG1","LATERAL TEMPORAL CORTEX",-2.38697603687929,0.0245502935799302,0.0472052266898267
"TCEA3","LATERAL TEMPORAL CORTEX",2.38426712287091,0.0246982148498533,0.0472052266898267
"CCDC102A","LATERAL TEMPORAL CORTEX",3.00095075678919,0.00587188389300741,0.0197508821855704
"ELOVL4","LATERAL TEMPORAL CORTEX",-0.972953499276622,0.339541972868771,0.348973694337348
"KLF15","LATERAL TEMPORAL CORTEX",4.38587032158212,0.000169952209095687,0.0031441158682702
"NAP1L5","LATERAL TEMPORAL CORTEX",-2.18519428899794,0.0380781777877575,0.0571131657994551
"NEUROD6","LATERAL TEMPORAL CORTEX",-3.16728052904847,0.00390662229258878,0.0170545903432348
"HPRT1","LATERAL TEMPORAL CORTEX",-1.98956469583181,0.0572542047229496,0.0784594657314495
"NRN1","LATERAL TEMPORAL CORTEX",-3.14294794418252,0.00414841386727333,0.0170545903432348
"MAS1","LATERAL TEMPORAL CORTEX",-2.77180383531524,0.0101644631233263,0.028929625812544
"RPH3A","LATERAL TEMPORAL CORTEX",-4.12161859292013,0.000340227161178622,0.00419613498786967
"HSPB7","LATERAL TEMPORAL CORTEX",4.38900153604227,0.000168556415774632,0.0031441158682702
"NUPR1","LATERAL TEMPORAL CORTEX",2.48891288382772,0.0195412182661004,0.0435667244591684
"ADAM33","LATERAL TEMPORAL CORTEX",3.16652723940516,0.0039139003758433,0.0170545903432348
"COL25A1","LATERAL TEMPORAL CORTEX",-1.83422947599837,0.0780897923604916,0.0890932677405464
"RAB3C","LATERAL TEMPORAL CORTEX",-0.990971069588673,0.330833155581465,0.348973694337348
"SERPINI1","LATERAL TEMPORAL CORTEX",-2.55140544613127,0.01695604462897,0.0427580514436919
"STAT4","LATERAL TEMPORAL CORTEX",-2.36954781840182,0.0255163387512577,0.0472052266898267
