"Gene","Region","Low(<=3)","High(>3)","log2FC","signed_FC","p_value","FDR"
"ADAM33","FUSIFORM GYRUS",3.50906119738582,3.81334012642339,0.30427892903757,1.23480131891568,0.0938633734871197,0.115764827300781
"ADAM33","HIPPOCAMPUS",3.11707765518134,3.91946077907019,0.802383123888852,1.74397955096238,0.0705299071368966,0.616010486421672
"ADAM33","LATERAL TEMPORAL CORTEX",3.13043143754144,4.27169024532924,1.1412588077878,2.20573398143237,0.0039139003758433,0.0170545903432348
"ADAM33","OCCIPITAL LOBE",3.17194411254121,4.07700242925421,0.905058316712999,1.87262018851447,0.034805173969237,0.0585359744028077
"AEBP1","FUSIFORM GYRUS",5.04341906912982,5.61004766900311,0.566628599873295,1.48105847272431,0.00498307979354244,0.0131695680257907
"AEBP1","HIPPOCAMPUS",5.27762481863572,5.33999444698938,0.0623696283536557,1.0441794190747,0.571646768098406,0.755390372130037
"AEBP1","LATERAL TEMPORAL CORTEX",5.24771074500499,6.03647041148143,0.788759666476438,1.72758855788937,0.0794615631199468,0.0890932677405464
"AEBP1","OCCIPITAL LOBE",4.7217314269567,5.99655028691525,1.27481885995855,2.41968435176117,0.0212399402399603,0.0585359744028077
"CCDC102A","FUSIFORM GYRUS",0.426956715777778,0.816571043066667,0.389614327288889,1.31004314589193,0.0875103523603031,0.111651139218318
"CCDC102A","HIPPOCAMPUS",0,0,0,1,0.521702565571073,0.714925738004803
"CCDC102A","LATERAL TEMPORAL CORTEX",1.38877355011111,2.39174124833333,1.00296769822222,2.00411833767542,0.00587188389300741,0.0197508821855704
"CCDC102A","OCCIPITAL LOBE",0.285164693375,1.92376739644737,1.63860270307237,3.11364119532701,0.00352235929667499,0.0431282497987076
"CHML","FUSIFORM GYRUS",3.07169937619271,2.57501659286856,-0.496682783324151,-1.41096556923072,0.00619678668307123,0.0152854071515757
"CHML","HIPPOCAMPUS",2.64749384687684,3.03158074817247,0.384086901295632,1.30503355452406,0.644053385465012,0.794332508740182
"CHML","LATERAL TEMPORAL CORTEX",3.0858119716997,2.37517984096293,-0.710632130736778,-1.6365210175022,0.00956526509346386,0.028929625812544
"CHML","OCCIPITAL LOBE",3.2214234248863,2.28690296992827,-0.934520454958029,-1.91125523734558,0.0261172129299304,0.0585359744028077
"CLDN9","FUSIFORM GYRUS",0.95301066,1.27100650986667,0.317995849866667,1.24659760824092,0.172169097894475,0.199070519440487
"CLDN9","HIPPOCAMPUS",0,0,0,1,0.521702565571072,0.714925738004803
"CLDN9","LATERAL TEMPORAL CORTEX",1.26942315805556,2.59227053141667,1.32284737336111,2.50159349583567,0.00137119891350413,0.0101468719599305
"CLDN9","OCCIPITAL LOBE",1.3456352665,2.08327771413158,0.737642447631579,1.66744878190584,0.0569752145328323,0.0714659269702897
"COL25A1","FUSIFORM GYRUS",1.76661232243917,1.16963672492162,-0.59697559751755,-1.51254241315093,0.0114935901071567,0.0222808938713824
"COL25A1","HIPPOCAMPUS",2.3679615181152,0.83221511493683,-1.53574640317837,-2.89938396747425,0.136115209967396,0.616010486421672
"COL25A1","LATERAL TEMPORAL CORTEX",1.85580723766803,1.1760490433906,-0.679758194277439,-1.60187124791613,0.0780897923604916,0.0890932677405464
"COL25A1","OCCIPITAL LOBE",1.91895022179371,1.0630209782133,-0.855929243580409,-1.80992415655964,0.0333406621275849,0.0585359744028077
"ELOVL4","FUSIFORM GYRUS",4.21448289042867,3.71099787963816,-0.503485010790512,-1.41763390204706,0.0136207415552191,0.0224408221095205
"ELOVL4","HIPPOCAMPUS",4.18845492505335,3.657013503309,-0.53144142174435,-1.44537257126309,0.273606612153848,0.616010486421672
"ELOVL4","LATERAL TEMPORAL CORTEX",4.06588278224515,3.76059438198836,-0.305288400256791,-1.23566562672406,0.339541972868771,0.348973694337348
"ELOVL4","OCCIPITAL LOBE",4.24363360947009,3.60682752228368,-0.636806087186411,-1.5548830656997,0.0449090147347435,0.0664653418074204
"GAD1","FUSIFORM GYRUS",5.51604252796442,4.94860889068898,-0.567433637275437,-1.48188514790706,0.037951769625583,0.0520079805980212
"GAD1","HIPPOCAMPUS",5.20345345123302,5.26152580120987,0.0580723499768574,1.04107380537525,0.873438005633759,0.950506064954385
"GAD1","LATERAL TEMPORAL CORTEX",5.66109845920878,4.89007869421781,-0.771019764990974,-1.70647557486088,0.0699915782734017,0.0890932677405464
"GAD1","OCCIPITAL LOBE",5.68087668468263,4.86940762460459,-0.811469060078042,-1.75499760299964,0.0207242845255531,0.0585359744028077
"GAD2","FUSIFORM GYRUS",4.23325348384745,3.47600897748111,-0.757244506366336,-1.6902592078203,0.0296954195879364,0.0422588663366788
"GAD2","HIPPOCAMPUS",4.04113226623119,3.65170621392501,-0.389426052306179,-1.30987219343817,0.461305571501155,0.714925738004803
"GAD2","LATERAL TEMPORAL CORTEX",4.53358230890171,3.59382668829321,-0.939755620608495,-1.91820328497484,0.0762512373854795,0.0890932677405464
"GAD2","OCCIPITAL LOBE",4.21831370187805,3.54520922218143,-0.673104479696625,-1.59450042231296,0.0646043495148774,0.0771084171629182
"GFAP","FUSIFORM GYRUS",11.5230518729298,12.0051530783313,0.482101205401438,1.39677651323643,0.010552939374075,0.0222808938713824
"GFAP","HIPPOCAMPUS",11.4309483494173,11.9790427250198,0.548094375602542,1.46215309374571,0.229573985412912,0.616010486421672
"GFAP","LATERAL TEMPORAL CORTEX",11.457452903496,12.34546186773,0.888008964234013,1.85062035493161,0.038669775423818,0.0571131657994551
"GFAP","OCCIPITAL LOBE",11.2926191590668,12.1450779585427,0.852458799475928,1.80557556476218,0.0579453461921267,0.0714659269702897
"HPRT1","FUSIFORM GYRUS",5.21158290555209,4.50547807539974,-0.706104830152353,-1.63139352386959,0.000564311158794533,0.00341419765402133
