"BATCH","REGION","Braak_bin","n"
"GSE159699","FUSIFORM GYRUS","Low(<=3)",0
"GSE159699","FUSIFORM GYRUS","High(>3)",0
"GSE159699","HIPPOCAMPUS","Low(<=3)",0
"GSE159699","HIPPOCAMPUS","High(>3)",0
"GSE159699","LATERAL TEMPORAL CORTEX","Low(<=3)",18
"GSE159699","LATERAL TEMPORAL CORTEX","High(>3)",12
"GSE159699","OCCIPITAL LOBE","Low(<=3)",0
"GSE159699","OCCIPITAL LOBE","High(>3)",0
"GSE203206","FUSIFORM GYRUS","Low(<=3)",0
"GSE203206","FUSIFORM GYRUS","High(>3)",0
"GSE203206","HIPPOCAMPUS","Low(<=3)",0
"GSE203206","HIPPOCAMPUS","High(>3)",0
"GSE203206","LATERAL TEMPORAL CORTEX","Low(<=3)",0
"GSE203206","LATERAL TEMPORAL CORTEX","High(>3)",0
"GSE203206","OCCIPITAL LOBE","Low(<=3)",8
"GSE203206","OCCIPITAL LOBE","High(>3)",38
"GSE67333","FUSIFORM GYRUS","Low(<=3)",0
"GSE67333","FUSIFORM GYRUS","High(>3)",0
"GSE67333","HIPPOCAMPUS","Low(<=3)",4
"GSE67333","HIPPOCAMPUS","High(>3)",4
"GSE67333","LATERAL TEMPORAL CORTEX","Low(<=3)",0
"GSE67333","LATERAL TEMPORAL CORTEX","High(>3)",0
"GSE67333","OCCIPITAL LOBE","Low(<=3)",0
"GSE67333","OCCIPITAL LOBE","High(>3)",0
"GSE95587","FUSIFORM GYRUS","Low(<=3)",27
"GSE95587","FUSIFORM GYRUS","High(>3)",90
"GSE95587","HIPPOCAMPUS","Low(<=3)",0
"GSE95587","HIPPOCAMPUS","High(>3)",0
"GSE95587","LATERAL TEMPORAL CORTEX","Low(<=3)",0
"GSE95587","LATERAL TEMPORAL CORTEX","High(>3)",0
"GSE95587","OCCIPITAL LOBE","Low(<=3)",0
"GSE95587","OCCIPITAL LOBE","High(>3)",0
