"SYMBOL","k","meta_logFC","meta_se","meta_z","meta_p","ci_lb","ci_ub","tau2","I2","meta_FDR"
"CHML",4,-0.757872518306007,0.0675487580831244,-11.2196365975135,3.26609799871833e-29,-0.89026565134934,-0.625479385262675,0,0,1.07781233957705e-26
"KANK2",4,0.768864352450867,0.0751222571751005,10.234840929483,1.38422469128263e-24,0.621627433950315,0.91610127095142,0,0,5.70992685154085e-23
"PRELP",4,0.796664106363644,0.0806545159683899,9.87748914984342,5.21225266864971e-23,0.638584159875089,0.954744052852199,0,0,1.72004338065441e-21
"HSPB1",4,0.938661486905853,0.100244415908764,9.36372842712916,7.69714968680777e-21,0.742186042073421,1.13513693173828,0,0,1.81432814046183e-19
"PIK3R5",4,0.801964046990031,0.0912210767959168,8.79143368132142,1.47663380138842e-18,0.623174021839072,0.98075407214099,0,0,2.172017641452e-17
"AEBP1",4,0.897478632882597,0.102024900528256,8.79666266015164,1.40945204842781e-18,0.697513502320933,1.09744376344426,0,0,2.172017641452e-17
"GFAP",4,0.803216158357099,0.0932330884048658,8.61514052681729,6.98558615739994e-18,0.620482662916123,0.985949653798075,0,0,8.23301225693564e-17
"ITFG1",4,-0.653503867668903,0.0759578618331711,-8.60350531067102,7.73176742261192e-18,-0.802378541204588,-0.504629194133218,0,0,8.79821810159287e-17
"TCEA3",4,0.687704654888246,0.0802553534570914,8.56895677689499,1.04426718997379e-17,0.530407052545815,0.845002257230677,0,0,1.14869390897116e-16
"CCDC102A",4,0.868458975433633,0.102079776287424,8.50764967380348,1.77494529878558e-17,0.668386290360376,1.06853166050689,0,0,1.72274102529189e-16
"ELOVL4",4,-0.761486003246948,0.0894418810555831,-8.51375210650732,1.68393808842655e-17,-0.936788868825407,-0.58618313766849,0.00112188852554286,3.36602915613442,1.68393808842655e-16
"KLF15",4,0.689732641484811,0.0809630895831732,8.5190998149379,1.60798217950351e-17,0.531047901824702,0.84841738114492,0,0,1.658231622613e-16
"NAP1L5",4,-0.90128069242818,0.107327684387168,-8.39746704286422,4.56212531215847e-17,-1.11163908837111,-0.690922296485248,0,0,3.67195451954219e-16
"NEUROD6",5,-1.23053539983654,0.151440019583789,-8.12556286785014,4.4529111314147e-16,-1.5273523840388,-0.933718415634268,0,0,3.06137640284761e-15
"HPRT1",4,-0.811311960778653,0.100316844301337,-8.08749484126109,6.09044096590796e-16,-1.00792936265198,-0.61469455890532,0,0,4.10172554846862e-15
"NRN1",4,-0.85034508842422,0.107102731294155,-7.9395275745935,2.02952768843629e-15,-1.06026258440663,-0.640427592441806,0,0,1.24934477675546e-14
"MAS1",4,-1.48118566258246,0.188811393928688,-7.84478961657307,4.33679920767245e-15,-1.85124919455349,-1.11112213061143,0,0,2.46748920436536e-14
"RPH3A",4,-1.04824383782612,0.134993492281521,-7.7651434903252,8.15528438009314e-15,-1.31282622084518,-0.783661454807051,0.00266326398177324,3.42372692864024,4.41187515644383e-14
"HSPB7",4,0.851903907307786,0.114106834939729,7.46584468632187,8.27669269442087e-14,0.62825862043606,1.07554919417951,0,0,3.90186941308413e-13
"NUPR1",4,0.742638087270215,0.100771939171517,7.36949287049266,1.7127832487262e-13,0.54512871584178,0.940147458698649,0,0,7.74271879561161e-13
"ADAM33",4,0.841953179129096,0.114368516607567,7.36175657517789,1.81505738348918e-13,0.617795005612994,1.0661113526452,0,0,8.09417481826254e-13
