"SYMBOL","meta_effects","stouffer","metavolcano"
"CHML",TRUE,TRUE,TRUE
"KANK2",TRUE,TRUE,TRUE
"PRELP",TRUE,TRUE,TRUE
"HSPB1",TRUE,TRUE,TRUE
"PIK3R5",TRUE,TRUE,TRUE
"AEBP1",TRUE,TRUE,TRUE
"GFAP",TRUE,TRUE,TRUE
"ITFG1",TRUE,TRUE,TRUE
"TCEA3",TRUE,TRUE,TRUE
"CCDC102A",TRUE,TRUE,TRUE
"ELOVL4",TRUE,TRUE,TRUE
"KLF15",TRUE,TRUE,TRUE
"NAP1L5",TRUE,TRUE,TRUE
"NEUROD6",TRUE,TRUE,TRUE
"HPRT1",TRUE,TRUE,TRUE
"NRN1",TRUE,TRUE,TRUE
"MAS1",TRUE,TRUE,TRUE
"RPH3A",TRUE,TRUE,TRUE
"HSPB7",TRUE,TRUE,TRUE
"NUPR1",TRUE,TRUE,TRUE
"ADAM33",TRUE,TRUE,TRUE
"COL25A1",TRUE,TRUE,TRUE
"RAB3C",TRUE,TRUE,TRUE
"SERPINI1",TRUE,TRUE,TRUE
"STAT4",TRUE,TRUE,TRUE
"SCG2",TRUE,TRUE,TRUE
"TMPRSS5",TRUE,TRUE,TRUE
"RGS4",TRUE,TRUE,TRUE
"PRX",TRUE,TRUE,TRUE
"RAB3B",TRUE,TRUE,TRUE
"NCALD",TRUE,TRUE,TRUE
"OPN3",TRUE,TRUE,TRUE
"CLDN9",TRUE,TRUE,TRUE
"TRIM36",TRUE,TRUE,TRUE
"GAD2",TRUE,TRUE,TRUE
"MRGPRF",TRUE,TRUE,TRUE
"GAD1",TRUE,TRUE,TRUE
