"SYMBOL","K","K_used","Z","P","Dir","FDR"
"CHML",4,4,-9.55849938274792,1.19476436032703e-21,"down",2.19526003566488e-18
"KANK2",4,4,9.98493776442298,1.7741237961341e-23,"up",1.6298875315084e-19
"PRELP",4,4,9.26920340865248,1.87541289437563e-20,"up",1.23067273290207e-17
"HSPB1",4,4,8.42229001917383,3.69195763431242e-17,"up",1.03654663894628e-15
"PIK3R5",4,4,8.21567430230576,2.10975359786189e-16,"up",1.03654663894628e-15
"AEBP1",4,4,8.38528319029859,5.06037826247765e-17,"up",1.03654663894628e-15
"GFAP",4,4,8.12857261903775,4.34374869147125e-16,"up",1.98143094481363e-15
"ITFG1",4,4,-8.21843246771467,2.06180287836896e-16,"down",1.03654663894628e-15
"TCEA3",4,4,7.74187631779017,9.79602609070513e-15,"up",3.94201014872133e-14
"CCDC102A",4,4,8.4415658585843,3.13114420855029e-17,"up",1.03654663894628e-15
"ELOVL4",4,4,-8.27295817729297,1.3067554720988e-16,"down",1.03654663894628e-15
"KLF15",4,4,8.27833290776209,1.24911613797274e-16,"up",1.03654663894628e-15
"NAP1L5",4,4,-8.20374921485749,2.33003907521773e-16,"down",1.08660248649875e-15
"NEUROD6",5,5,-7.60333738774084,2.8858981516463e-14,"down",1.11164554797378e-13
"HPRT1",4,4,-7.66132247869744,1.84028122588006e-14,"down",7.19738766375485e-14
"NRN1",4,4,-7.46472829883104,8.34716709989651e-14,"down",3.08097324816188e-13
"MAS1",4,4,-7.2893539046885,3.11444951998455e-13,"down",1.09041340472935e-12
"RPH3A",4,4,-7.86865416029713,3.58476631047515e-15,"down",1.50655297778295e-14
"HSPB7",4,4,6.98174441417208,2.91537159585913e-12,"up",9.35178730836517e-12
"NUPR1",4,4,7.2822668177425,3.2825701790716e-13,"up",1.14534645784773e-12
"ADAM33",4,4,7.27255913052053,3.52740092735071e-13,"up",1.2251883674696e-12
"COL25A1",4,4,-7.07576041317527,1.48631461586634e-12,"down",4.89418364729895e-12
"RAB3C",4,4,-8.34151533540763,7.33445138326783e-17,"down",1.03654663894628e-15
"SERPINI1",4,4,-7.20188259380068,5.93868194312353e-13,"down",2.02444048280059e-12
"STAT4",4,4,-6.58321885416742,4.60370700833646e-11,"down",1.33588933308866e-10
"SCG2",4,4,-7.00336114437136,2.49893572415021e-12,"down",8.05534122728701e-12
"TMPRSS5",4,4,6.57603895215518,4.83146030086344e-11,"up",1.39932615964793e-10
"RGS4",4,4,-6.35032622496695,2.14858798500412e-10,"down",5.8712307609259e-10
"PRX",4,4,6.67438738709326,2.48267029530368e-11,"up",7.35988770666502e-11
"RAB3B",4,4,-6.53569515504723,6.33147622234077e-11,"down",1.81262923199267e-10
"NCALD",4,4,-6.38989767780992,1.65996793428307e-10,"down",4.59341126875257e-10
"OPN3",4,4,-6.23410370245693,4.54372022966564e-10,"down",1.20401377992322e-09
"CLDN9",4,4,7.10445231638554,1.20800618710953e-12,"up",4.01517830715458e-12
"TRIM36",4,4,-5.90317820125218,3.56564762268259e-09,"down",8.73536125588933e-09
"GAD2",4,4,-5.90172230872757,3.59726279361202e-09,"down",8.80811654715182e-09
"MRGPRF",4,4,7.49107929586502,6.83095292258696e-14,"up",2.5386717030666e-13
"GAD1",4,4,-5.87226638644308,4.29877244558595e-09,"down",1.04202697777304e-08
