"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0060198","clathrin-sculpted vesicle","2/21","15/19979",0.133333333333333,126.850793650794,15.8163020482872,0.000109580376916261,0.08382898834094,0.08382898834094,"GAD2/GAD1",2
"GO:0030665","clathrin-coated vesicle membrane","3/21","140/19979",0.0214285714285714,20.3867346938775,7.46682441395597,0.000408328469163113,0.156185639454891,0.156185639454891,"GAD2/NCALD/GAD1",3
"GO:0030662","coated vesicle membrane","3/21","207/19979",0.0144927536231884,13.7881297446515,5.99920977605574,0.00127036480624481,0.2500325951407,0.2500325951407,"GAD2/NCALD/GAD1",3
"GO:0030133","transport vesicle","4/21","482/19979",0.00829875518672199,7.89527761311994,4.97071109493672,0.00144500211520059,0.2500325951407,0.2500325951407,"RAB3C/RAB3B/NCALD/RPH3A",4
"GO:0030136","clathrin-coated vesicle","3/21","226/19979",0.0132743362831858,12.6289506953224,5.70302610486675,0.00163419996823987,0.2500325951407,0.2500325951407,"GAD2/NCALD/GAD1",3
"GO:0030658","transport vesicle membrane","3/21","258/19979",0.0116279069767442,11.062569213732,5.27693092938851,0.00238329892086064,0.284011428066777,0.284011428066777,"RAB3B/NCALD/RPH3A",3
"GO:0008021","synaptic vesicle","3/21","266/19979",0.0112781954887218,10.7298603651987,5.18200953381387,0.00259879738100319,0.284011428066777,0.284011428066777,"RAB3C/RAB3B/RPH3A",3
"GO:0070382","exocytic vesicle","3/21","284/19979",0.0105633802816901,10.0497987927565,4.98249926796626,0.00312694172427367,0.299013802383669,0.299013802383669,"RAB3C/RAB3B/RPH3A",3
"GO:0030135","coated vesicle","3/21","326/19979",0.00920245398773006,8.75503943908852,4.57936780345402,0.004603695684531,0.391314133185135,0.391314133185135,"GAD2/NCALD/GAD1",3
"GO:0030672","synaptic vesicle membrane","2/21","145/19979",0.0137931034482759,13.1224958949097,4.75223638378773,0.0100358310737926,0.697946433768301,0.697946433768301,"RAB3B/RPH3A",2
"GO:0099501","exocytic vesicle membrane","2/21","145/19979",0.0137931034482759,13.1224958949097,4.75223638378773,0.0100358310737926,0.697946433768301,0.697946433768301,"RAB3B/RPH3A",2
"GO:0098691","dopaminergic synapse","1/21","15/19979",0.0666666666666667,63.4253968253968,7.84531351001485,0.0156565215971778,0.921326078603154,0.921326078603154,"RAB3B",1
