"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Metabolism","Metabolism of other amino acids","hsa00430","Taurine and hypotaurine metabolism","2/8","17/9522",0.117647058823529,140.029411764706,16.6364166263858,8.34791399238986e-05,0.00192002021824967,0.0011423461252744,"GAD1/GAD2",2
"Metabolism","Carbohydrate metabolism","hsa00650","Butanoate metabolism","2/8","27/9522",0.0740740740740741,88.1666666666667,13.1519315096741,0.000214545837905777,0.00217541413783103,0.00129429674104364,"GAD1/GAD2",2
"Metabolism","Metabolism of other amino acids","hsa00410","beta-Alanine metabolism","2/8","31/9522",0.0645161290322581,76.7903225806452,12.2558466504982,0.000283749670151874,0.00217541413783103,0.00129429674104364,"GAD1/GAD2",2
"Metabolism","Amino acid metabolism","hsa00250","Alanine, aspartate and glutamate metabolism","2/8","37/9522",0.0540540540540541,64.3378378378378,11.1930934780091,0.000405378444944877,0.00233092605843304,0.00138682099586405,"GAD1/GAD2",2
"Human Diseases","Endocrine and metabolic disease","hsa04940","Type I diabetes mellitus","2/8","44/9522",0.0454545454545455,54.1022727272727,10.2373086549796,0.000574114731482116,0.00264092776481773,0.00157126137037211,"GAD1/GAD2",2
"Organismal Systems","Nervous system","hsa04727","GABAergic synapse","2/8","89/9522",0.0224719101123595,26.747191011236,7.0762740442616,0.00233197271184115,0.0089392287287244,0.0053185342550763,"GAD1/GAD2",2
"Organismal Systems","Endocrine system","hsa04614","Renin-angiotensin system","1/8","23/9522",0.0434782608695652,51.75,7.06587130805089,0.0191680811653614,0.0595246399337952,0.0354151175807477,"MAS1",1
"Metabolism","Lipid metabolism","hsa01040","Biosynthesis of unsaturated fatty acids","1/8","27/9522",0.037037037037037,44.0833333333333,6.50052446510659,0.0224686326164519,0.0595246399337952,0.0354151175807477,"ELOVL4",1
"Metabolism","Lipid metabolism","hsa00062","Fatty acid elongation","1/8","28/9522",0.0357142857142857,42.5089285714286,6.37823663983765,0.0232922504088764,0.0595246399337952,0.0354151175807477,"ELOVL4",1
"Metabolism","Global and overview maps","hsa01212","Fatty acid metabolism","1/8","57/9522",0.0175438596491228,20.8815789473684,4.36548693975274,0.0469145611375322,0.107903490616324,0.0641988731355704,"ELOVL4",1
"Human Diseases","Immune disease","hsa05321","Inflammatory bowel disease","1/8","66/9522",0.0151515151515152,18.0340909090909,4.02663161654924,0.0541432381165322,0.113208588789113,0.0673552244511884,"STAT4",1
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00983","Drug metabolism - other enzymes","1/8","81/9522",0.0123456790123457,14.6944444444444,3.58907580901427,0.0660844611174968,0.122512900007246,0.0728909702560272,"HPRT1",1
"Metabolism","Global and overview maps","hsa01232","Nucleotide metabolism","1/8","85/9522",0.0117647058823529,14.0029411764706,3.49171497699237,0.0692464217432258,0.122512900007246,0.0728909702560272,"HPRT1",1
"Organismal Systems","Immune system","hsa04658","Th1 and Th2 cell differentiation","1/8","93/9522",0.010752688172043,12.7983870967742,3.31540050969935,0.0755422530781548,0.124105130056969,0.0738382924824069,"STAT4",1
"Organismal Systems","Digestive system","hsa04974","Protein digestion and absorption","1/8","105/9522",0.00952380952380952,11.3357142857143,3.08804458693494,0.0849161317781042,0.130204735393093,0.0774673482887968,"COL25A1",1
"Metabolism","Nucleotide metabolism","hsa00230","Purine metabolism","1/8","128/9522",0.0078125,9.298828125,2.7409504182463,0.102650511717109,0.147560110593344,0.0877932008106855,"HPRT1",1
"Human Diseases","Infectious disease: viral","hsa05161","Hepatitis B","1/8","163/9522",0.00613496932515337,7.3021472392638,2.35327307919595,0.12906066104281,0.160730605193813,0.0956291930214903,"STAT4",1
"Cellular Processes","Cell growth and death","hsa04217","Necroptosis","1/8","168/9522",0.00595238095238095,7.08482142857143,2.30732354643477,0.132777456464454,0.160730605193813,0.0956291930214903,"STAT4",1
"Environmental Information Processing","Signal transduction","hsa04630","JAK-STAT signaling pathway","1/8","168/9522",0.00595238095238095,7.08482142857143,2.30732354643477,0.132777456464454,0.160730605193813,0.0956291930214903,"STAT4",1
"Organismal Systems","Development and regeneration","hsa04382","Cornified envelope formation","1/8","217/9522",0.00460829493087558,5.48502304147465,1.93794326820644,0.168474054877973,0.193745163109668,0.115271721758613,"ELOVL4",1
"Human Diseases","Infectious disease: viral","hsa05171","Coronavirus disease - COVID-19","1/8","238/9522",0.00420168067226891,5.00105042016807,1.81259024945977,0.183374604649682,0.200838852711556,0.119492223581246,"MAS1",1
"Environmental Information Processing","Signaling molecules and interaction","hsa04080","Neuroactive ligand-receptor interaction","1/8","370/9522",0.0027027027027027,3.21689189189189,1.26122355692642,0.271799425753271,0.284153945105692,0.169061843769977,"MAS1",1
"Organismal Systems","Sensory system","hsa04740","Olfactory transduction","1/8","454/9522",0.00220264317180617,2.62169603524229,1.02670653937629,0.32360139666355,0.32360139666355,0.192531723415384,"NCALD",1
