"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0010506","regulation of autophagy","3/15","358/18842",0.00837988826815642,10.5262569832402,5.13656596032156,0.0026115654965036,1,1,"GFAP/HSPB1/NUPR1",3
"GO:0072073","kidney epithelium development","2/15","110/18842",0.0181818181818182,22.8387878787879,6.48395274464942,0.00337456001144536,1,1,"KLF15/KANK2",2
"GO:0006986","response to unfolded protein","2/15","145/18842",0.0137931034482759,17.3259770114943,5.57037279003073,0.00578296697329176,1,1,"HSPB1/HSPB7",2
"GO:0035966","response to topologically incorrect protein","2/15","161/18842",0.0124223602484472,15.6041407867495,5.25286127856782,0.00708235734378281,1,1,"HSPB1/HSPB7",2
"GO:2001242","regulation of intrinsic apoptotic signaling pathway","2/15","167/18842",0.0119760479041916,15.0435129740519,5.14530037323274,0.00760083327236302,1,1,"HSPB1/NUPR1",2
"GO:0070561","vitamin D receptor signaling pathway","1/15","10/18842",0.1,125.613333333333,11.1255972310225,0.0079343676970064,1,1,"KANK2",1
"GO:1990859","cellular response to endothelin","1/15","10/18842",0.1,125.613333333333,11.1255972310225,0.0079343676970064,1,1,"KLF15",1
"GO:0048484","enteric nervous system development","1/15","11/18842",0.0909090909090909,114.193939393939,10.5996095670993,0.0087245644092272,1,1,"GFAP",1
"GO:1902902","negative regulation of autophagosome assembly","1/15","11/18842",0.0909090909090909,114.193939393939,10.5996095670993,0.0087245644092272,1,1,"NUPR1",1
"GO:1990839","response to endothelin","1/15","11/18842",0.0909090909090909,114.193939393939,10.5996095670993,0.0087245644092272,1,1,"KLF15",1
"GO:0099640","axo-dendritic protein transport","1/15","12/18842",0.0833333333333333,104.677777777778,10.1404723690801,0.00951417364579799,1,1,"HSPB1",1
"GO:1905383","protein localization to presynapse","1/15","12/18842",0.0833333333333333,104.677777777778,10.1404723690801,0.00951417364579799,1,1,"HSPB1",1
"GO:0018394","peptidyl-lysine acetylation","1/15","13/18842",0.0769230769230769,96.625641025641,9.7350783441538,0.0103031958123041,1,1,"KLF15",1
"GO:0033147","negative regulation of intracellular estrogen receptor signaling pathway","1/15","13/18842",0.0769230769230769,96.625641025641,9.7350783441538,0.0103031958123041,1,1,"KANK2",1
"GO:0071635","negative regulation of transforming growth factor beta production","1/15","13/18842",0.0769230769230769,96.625641025641,9.7350783441538,0.0103031958123041,1,1,"KLF15",1
"GO:0001667","ameboidal-type cell migration","2/15","200/18842",0.01,12.5613333333333,4.63963388781986,0.0107485028598289,1,1,"GFAP/KANK2",2
