"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0010698","acetyltransferase activator activity","1/16","11/18706",0.0909090909090909,106.284090909091,10.2195213722808,0.00937110492760374,1,1,"NUPR1",1
"GO:0005201","extracellular matrix structural constituent","2/16","181/18706",0.0110497237569061,12.9185082872928,4.71428982772998,0.0102205049372033,1,1,"AEBP1/PRELP",2
"GO:0003711","transcription elongation factor activity","1/16","13/18706",0.0769230769230769,89.9326923076923,9.38486025637477,0.0110660718496646,1,1,"TCEA3",1
"GO:0031005","filamin binding","1/16","14/18706",0.0714285714285714,83.5089285714286,9.03589709112599,0.0119125353841645,1,1,"HSPB7",1
"GO:0030021","extracellular matrix structural constituent conferring compression resistance","1/16","22/18706",0.0454545454545455,53.1420454545455,7.15976341576151,0.0186598325604986,1,1,"PRELP",1
"GO:0031683","G-protein beta/gamma-subunit complex binding","1/16","23/18706",0.0434782608695652,50.8315217391304,6.99646970135959,0.0195002009333864,1,1,"PIK3R5",1
"GO:0019207","kinase regulator activity","2/16","308/18706",0.00649350649350649,7.59172077922078,3.41289596999671,0.0278510695262873,1,1,"PIK3R5/HSPB1",2
"GO:0004180","carboxypeptidase activity","1/16","48/18706",0.0208333333333333,24.3567708333333,4.74061919726626,0.0402914402712554,1,1,"AEBP1",1
"GO:0005080","protein kinase C binding","1/16","50/18706",0.02,23.3825,4.63680172863238,0.0419367574761037,1,1,"HSPB1",1
"GO:0004175","endopeptidase activity","2/16","403/18706",0.00496277915632754,5.80210918114144,2.85139648636448,0.0455273754414776,1,1,"TMPRSS5/ADAM33",2
"GO:0030291","protein serine/threonine kinase inhibitor activity","1/16","56/18706",0.0178571428571429,20.8772321428571,4.35857679290097,0.0468568567097746,1,1,"HSPB1",1
"GO:0005518","collagen binding","1/16","65/18706",0.0153846153846154,17.9865384615385,4.01385018664779,0.054192609971631,1,1,"AEBP1",1
"GO:0098632","cell-cell adhesion mediator activity","1/16","66/18706",0.0151515151515152,17.7140151515152,3.97982524195136,0.0550044182566186,1,1,"CLDN9",1
"GO:0044183","protein folding chaperone","1/16","80/18706",0.0125,14.6140625,3.57031990478343,0.0663013627264376,1,1,"HSPB1",1
"GO:0001618","virus receptor activity","1/16","83/18706",0.0120481927710843,14.085843373494,3.49582866624623,0.0687056067388256,1,1,"CLDN9",1
"GO:0140272","exogenous protein binding","1/16","84/18706",0.0119047619047619,13.9181547619048,3.47185166736479,0.0695057307946803,1,1,"CLDN9",1
"GO:0004860","protein kinase inhibitor activity","1/16","97/18706",0.0103092783505155,12.0528350515464,3.19324495653301,0.0798488701510669,1,1,"HSPB1",1
"GO:0019210","kinase inhibitor activity","1/16","101/18706",0.0099009900990099,11.575495049505,3.1180333275743,0.0830096257607982,1,1,"HSPB1",1
"GO:0043130","ubiquitin binding","1/16","102/18706",0.00980392156862745,11.4620098039216,3.09988969252808,0.0837982226964517,1,1,"HSPB1",1
"GO:0098631","cell adhesion mediator activity","1/16","103/18706",0.00970873786407767,11.3507281553398,3.08199705177176,0.0845861838035712,1,1,"CLDN9",1
"GO:0008238","exopeptidase activity","1/16","106/18706",0.00943396226415094,11.0294811320755,3.02976624757238,0.0869462569370928,1,1,"AEBP1",1
"GO:0004222","metalloendopeptidase activity","1/16","108/18706",0.00925925925925926,10.8252314814815,2.99609613302041,0.0885164686470904,1,1,"ADAM33",1
"GO:0032182","ubiquitin-like protein binding","1/16","122/18706",0.00819672131147541,9.58299180327869,2.78280779769782,0.099437271830068,1,1,"HSPB1",1
"GO:0051082","unfolded protein binding","1/16","123/18706",0.00813008130081301,9.50508130081301,2.76890023784891,0.100212616408777,1,1,"HSPB1",1
"GO:0005200","structural constituent of cytoskeleton","1/16","126/18706",0.00793650793650794,9.27876984126984,2.72811343003775,0.10253489693128,1,1,"GFAP",1
"GO:0005178","integrin binding","1/16","151/18706",0.00662251655629139,7.74254966887417,2.43397630250242,0.121669884699774,1,1,"GFAP",1
"GO:0008201","heparin binding","1/16","168/18706",0.00595238095238095,6.95907738095238,2.270055230946,0.134462472027901,1,1,"PRELP",1
"GO:0004252","serine-type endopeptidase activity","1/16","178/18706",0.00561797752808989,6.56811797752809,2.18392819707789,0.141905709738511,1,1,"TMPRSS5",1
"GO:0008237","metallopeptidase activity","1/16","184/18706",0.00543478260869565,6.3539402173913,2.1353677824561,0.146342804007482,1,1,"ADAM33",1
"GO:0008236","serine-type peptidase activity","1/16","197/18706",0.0050761421319797,5.93464467005076,2.03719085559128,0.155882824241731,1,1,"TMPRSS5",1
"GO:0017171","serine hydrolase activity","1/16","203/18706",0.00492610837438424,5.75923645320197,1.99479570213155,0.16025211619446,1,1,"TMPRSS5",1
"GO:0005516","calmodulin binding","1/16","206/18706",0.00485436893203883,5.6753640776699,1.97422832490136,0.162428802576045,1,1,"AEBP1",1
"GO:0005539","glycosaminoglycan binding","1/16","233/18706",0.00429184549356223,5.01770386266094,1.80559924665397,0.181782349261813,1,1,"PRELP",1
"GO:1901681","sulfur compound binding","1/16","266/18706",0.0037593984962406,4.39520676691729,1.63177691448216,0.2048673698458,1,1,"PRELP",1
"GO:0019887","protein kinase regulator activity","1/16","274/18706",0.00364963503649635,4.2668795620438,1.59388275334394,0.210371037648564,1,1,"HSPB1",1
"GO:0003713","transcription coactivator activity","1/16","298/18706",0.00335570469798658,3.92323825503356,1.48834372085607,0.226668530535393,1,1,"NUPR1",1
"GO:0001227","DNA-binding transcription repressor activity, RNA polymerase II-specific","1/16","302/18706",0.0033112582781457,3.87127483443709,1.47182549202666,0.229353925262713,1,1,"AEBP1",1
"GO:0001217","DNA-binding transcription repressor activity","1/16","312/18706",0.0032051282051282,3.74719551282051,1.43173608626791,0.2360292146757,1,1,"AEBP1",1
"GO:0061629","RNA polymerase II-specific DNA-binding transcription factor binding","1/16","351/18706",0.00284900284900285,3.33084045584046,1.28980218448172,0.261548401630798,1,1,"HSPB1",1
"GO:0001228","DNA-binding transcription activator activity, RNA polymerase II-specific","1/16","452/18706",0.00221238938053097,2.58655973451327,0.999035266408682,0.323971767116611,1,1,"KLF15",1
"GO:0001216","DNA-binding transcription activator activity","1/16","460/18706",0.00217391304347826,2.54157608695652,0.97947699998035,0.328698572728085,1,1,"KLF15",1
"GO:0004857","enzyme inhibitor activity","1/16","470/18706",0.00212765957446809,2.4875,0.955598168058958,0.334563511253095,1,1,"HSPB1",1
"GO:0140297","DNA-binding transcription factor binding","1/16","489/18706",0.00204498977505112,2.39084867075665,0.911864014292723,0.345574782771389,1,1,"HSPB1",1
"GO:0000014","single-stranded DNA endodeoxyribonuclease activity","0/16","10/18706",0,0,-0.0925464676779197,1,1,1,"",0
"GO:0000030","mannosyltransferase activity","0/16","25/18706",0,0,-0.146387549561533,1,1,1,"",0
"GO:0000049","tRNA binding","0/16","80/18706",0,0,-0.262252351550717,1,1,1,"",0
"GO:0000062","fatty-acyl-CoA binding","0/16","15/18706",0,0,-0.11336097112005,1,1,1,"",0
"GO:0000099","sulfur amino acid transmembrane transporter activity","0/16","11/18706",0,0,-0.0970661501090895,1,1,1,"",0
"GO:0000146","microfilament motor activity","0/16","40/18706",0,0,-0.185241616346443,1,1,1,"",0
"GO:0000149","SNARE binding","0/16","107/18706",0,0,-0.303515789267423,1,1,1,"",0
"GO:0000175","3'-5'-RNA exonuclease activity","0/16","36/18706",0,0,-0.17571680106777,1,1,1,"",0
"GO:0000182","rDNA binding","0/16","10/18706",0,0,-0.0925464676779197,1,1,1,"",0
"GO:0000217","DNA secondary structure binding","0/16","37/18706",0,0,-0.178145366542645,1,1,1,"",0
"GO:0000287","magnesium ion binding","0/16","235/18706",0,0,-0.451359849379875,1,1,1,"",0
