"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Genetic Information Processing","Information processing in viruses","hsa03272","Virion - Hepatitis viruses","1/5","48/9522",0.0208333333333333,39.675,6.15687733263809,0.0249571437954377,0.117491644545719,0.112921031371171,"CLDN9",1
"Environmental Information Processing","Signal transduction","hsa04370","VEGF signaling pathway","1/5","60/9522",0.0166666666666667,31.74,5.47474967638817,0.0311178836054108,0.117491644545719,0.112921031371171,"HSPB1",1
"Human Diseases","Infectious disease: parasitic","hsa05146","Amoebiasis","1/5","103/9522",0.00970873786407767,18.4893203883495,4.09039640193639,0.0529386577873898,0.117491644545719,0.112921031371171,"HSPB1",1
"Human Diseases","Infectious disease: parasitic","hsa05145","Toxoplasmosis","1/5","112/9522",0.00892857142857143,17.0035714285714,3.90487703351268,0.0574556353832532,0.117491644545719,0.112921031371171,"PIK3R5",1
"Organismal Systems","Immune system","hsa04670","Leukocyte transendothelial migration","1/5","116/9522",0.00862068965517241,16.4172413793103,3.82921216074599,0.0594576405772882,0.117491644545719,0.112921031371171,"CLDN9",1
"Organismal Systems","Nervous system","hsa04725","Cholinergic synapse","1/5","116/9522",0.00862068965517241,16.4172413793103,3.82921216074599,0.0594576405772882,0.117491644545719,0.112921031371171,"PIK3R5",1
"Organismal Systems","Immune system","hsa04611","Platelet activation","1/5","126/9522",0.00793650793650794,15.1142857142857,3.65551796996066,0.0644477735196356,0.117491644545719,0.112921031371171,"PIK3R5",1
"Environmental Information Processing","Signal transduction","hsa04371","Apelin signaling pathway","1/5","140/9522",0.00714285714285714,13.6028571428571,3.4431945881904,0.0713983537657977,0.117491644545719,0.112921031371171,"PIK3R5",1
"Environmental Information Processing","Signal transduction","hsa04072","Phospholipase D signaling pathway","1/5","149/9522",0.00671140939597315,12.7812080536913,3.32215507771774,0.0758447251426725,0.117491644545719,0.112921031371171,"PIK3R5",1
"Organismal Systems","Circulatory system","hsa04261","Adrenergic signaling in cardiomyocytes","1/5","154/9522",0.00649350649350649,12.3662337662338,3.25934065125363,0.0783075616476252,0.117491644545719,0.112921031371171,"PIK3R5",1
"Organismal Systems","Endocrine system","hsa04921","Oxytocin signaling pathway","1/5","155/9522",0.00645161290322581,12.2864516129032,3.24712691187968,0.0787994982607512,0.117491644545719,0.112921031371171,"PIK3R5",1
"Human Diseases","Infectious disease: viral","hsa05160","Hepatitis C","1/5","156/9522",0.00641025641025641,12.2076923076923,3.23502522942183,0.0792912248016603,0.117491644545719,0.112921031371171,"CLDN9",1
"Environmental Information Processing","Signaling molecules and interaction","hsa04514","Cell adhesion molecule (CAM) interaction","1/5","160/9522",0.00625,11.9025,3.1877042273113,0.0812560315886699,0.117491644545719,0.112921031371171,"CLDN9",1
"Environmental Information Processing","Signal transduction","hsa04022","cGMP-PKG signaling pathway","1/5","166/9522",0.00602409638554217,11.4722891566265,3.1198004243958,0.0841969510350246,0.117491644545719,0.112921031371171,"PIK3R5",1
"Environmental Information Processing","Signal transduction","hsa04630","JAK-STAT signaling pathway","1/5","168/9522",0.00595238095238095,11.3357142857143,3.09793786995401,0.0851755821380222,0.117491644545719,0.112921031371171,"GFAP",1
"Cellular Processes","Cellular community - eukaryotes","hsa04530","Tight junction","1/5","170/9522",0.00588235294117647,11.2023529411765,3.07644252004027,0.0861533764466186,0.117491644545719,0.112921031371171,"CLDN9",1
"Organismal Systems","Immune system","hsa04062","Chemokine signaling pathway","1/5","193/9522",0.00518134715025907,9.86735751295337,2.85253890728328,0.0973380398083332,0.117491644545719,0.112921031371171,"PIK3R5",1
"Human Diseases","Infectious disease: viral","hsa05167","Kaposi sarcoma-associated herpesvirus infection","1/5","196/9522",0.00510204081632653,9.71632653061224,2.82611657131322,0.0987887980761755,0.117491644545719,0.112921031371171,"PIK3R5",1
"Human Diseases","Cancer: overview","hsa05202","Transcriptional misregulation in cancer","1/5","201/9522",0.00497512437810945,9.47462686567164,2.78332301212882,0.101202582907822,0.117491644545719,0.112921031371171,"NUPR1",1
"Human Diseases","Infectious disease: bacterial","hsa05130","Pathogenic Escherichia coli infection","1/5","203/9522",0.00492610837438424,9.38128078817734,2.76662313162051,0.10216664743106,0.117491644545719,0.112921031371171,"CLDN9",1
"Organismal Systems","Development and regeneration","hsa04382","Cornified envelope formation","1/5","217/9522",0.00460829493087558,8.77603686635945,2.65586648924408,0.108891960748739,0.11926262367719,0.11462311657762,"CLDN9",1
"Environmental Information Processing","Signal transduction","hsa04010","MAPK signaling pathway","1/5","300/9522",0.00333333333333333,6.348,2.1573256994505,0.147940620065383,0.154665193704718,0.148648469922155,"HSPB1",1
"Environmental Information Processing","Signal transduction","hsa04151","PI3K-Akt signaling pathway","1/5","362/9522",0.00276243093922652,5.26077348066298,1.89439807855933,0.176206327014568,0.176206327014568,0.169351618641004,"PIK3R5",1
