"SYMBOL","Direction"
"KANK2","Up"
"PRELP","Up"
"HSPB1","Up"
"PIK3R5","Up"
"AEBP1","Up"
"GFAP","Up"
"TCEA3","Up"
"CCDC102A","Up"
"KLF15","Up"
"HSPB7","Up"
"NUPR1","Up"
"ADAM33","Up"
"TMPRSS5","Up"
"PRX","Up"
"CLDN9","Up"
"MRGPRF","Up"
"CHML","Down"
"ITFG1","Down"
"ELOVL4","Down"
"NAP1L5","Down"
"NEUROD6","Down"
"HPRT1","Down"
"NRN1","Down"
"MAS1","Down"
"RPH3A","Down"
"COL25A1","Down"
"RAB3C","Down"
"SERPINI1","Down"
"STAT4","Down"
"SCG2","Down"
"RGS4","Down"
"RAB3B","Down"
"NCALD","Down"
"OPN3","Down"
"TRIM36","Down"
"GAD2","Down"
"GAD1","Down"
