"Gene","OR","CI_low","CI_high","p_value","FDR","Direction"
"KANK2",4.689976966111,2.74388681884438,8.60010309891966,9.67214244786054e-08,3.05166493401477e-06,"Higher odds"
"NRN1",0.243125345659953,0.138217601551586,0.40074634538882,1.64954861298096e-07,3.05166493401477e-06,"Lower odds"
"NEUROD6",0.221713958882966,0.119710021526558,0.382339949712898,3.21795918707447e-07,3.24955082926563e-06,"Lower odds"
"RPH3A",0.244415131548261,0.136922665861354,0.407377464320728,3.51302792353041e-07,3.24955082926563e-06,"Lower odds"
"HSPB7",3.58301622008788,2.2242495412575,6.14273745453379,7.41284807305618e-07,5.48550757406157e-06,"Higher odds"
"KLF15",3.09867315900645,1.97481010869243,5.06106102001355,2.20729414221741e-06,1.36116472103407e-05,"Higher odds"
"NAP1L5",0.331806264180757,0.200170271665703,0.525954310132567,6.73312738973069e-06,2.79020022970584e-05,"Lower odds"
"RGS4",0.336028833530921,0.203158957078634,0.527821125924736,6.78697353171691e-06,2.79020022970584e-05,"Lower odds"
"PRX",3.15946610244574,1.96370114066168,5.34847479261015,6.1032939810406e-06,2.79020022970584e-05,"Higher odds"
"MRGPRF",2.796798546733,1.81449524225388,4.5350414103447,9.6190259025099e-06,3.55903958392866e-05,"Higher odds"
"HPRT1",0.242958892054597,0.123898491128696,0.44679916542222,1.38169101163277e-05,3.93783255568646e-05,"Lower odds"
"MAS1",0.291776503606067,0.160348873170944,0.490123735365515,1.38356278983578e-05,3.93783255568646e-05,"Lower odds"
"SCG2",0.295187567963972,0.166119758936724,0.500483898707509,1.29214295044057e-05,3.93783255568646e-05,"Lower odds"
"AEBP1",2.43284201795284,1.64239018297445,3.73342489760189,1.99307407890425e-05,4.87308983799667e-05,"Higher odds"
"GFAP",3.17915947923283,1.90785665183122,5.57977394460554,2.17396944153409e-05,4.87308983799667e-05,"Higher odds"
"ITFG1",0.326399265900461,0.189972584697555,0.534647322179184,2.01038563963606e-05,4.87308983799667e-05,"Lower odds"
"COL25A1",0.266551873473946,0.139916711669915,0.477810671602903,2.23898722286333e-05,4.87308983799667e-05,"Lower odds"
"NCALD",0.407237268239774,0.262197876588999,0.6078811230634,2.54791281964711e-05,5.23737635149683e-05,"Lower odds"
"CCDC102A",2.62541937655917,1.70607874946474,4.23466327306689,2.82261600760015e-05,5.49667327795819e-05,"Higher odds"
"ADAM33",2.42837499776279,1.61519941077701,3.8037497078167,4.4397307593685e-05,8.21350190483172e-05,"Higher odds"
"CHML",0.169643953931697,0.0688739814173277,0.385227456419459,4.92870947690714e-05,8.68391669740781e-05,"Lower odds"
"STAT4",0.431420592334456,0.280278314974943,0.638330154259654,5.71525994504574e-05,9.61202808939511e-05,"Lower odds"
"SERPINI1",0.213389221500126,0.0930614128457941,0.45399208557564,0.000122549962407189,0.000197145591698522,"Lower odds"
"PIK3R5",2.07612168653668,1.43499851786717,3.08846066307924,0.000170612908025306,0.000263028233205679,"Higher odds"
"CLDN9",2.11138527908633,1.43041130777238,3.20322709637922,0.000262084346125606,0.000387884832265898,"Higher odds"
"TRIM36",0.27430729763123,0.1308413292617,0.534575166764801,0.000297082207738083,0.000422770834088811,"Lower odds"
"PRELP",2.07977793604959,1.41184605572826,3.16322978101934,0.00034575340803758,0.00045688843204966,"Higher odds"
"GAD1",0.491496381809193,0.328470017995668,0.716846561290558,0.00034168344636218,0.00045688843204966,"Lower odds"
"RAB3C",0.422466995018732,0.255873903801082,0.666840347273492,0.000394835494307486,0.000497382429264655,"Lower odds"
"OPN3",0.469451140079619,0.302878678216278,0.704305455178905,0.00041672581911363,0.000497382429264655,"Lower odds"
"GAD2",0.476814560712302,0.310111700267813,0.708099424606287,0.000415158631836743,0.000497382429264655,"Lower odds"
"NUPR1",3.02959441519635,1.64627007229658,5.85602007702007,0.000577631899551895,0.000667886883856878,"Higher odds"
"ELOVL4",0.498667366239301,0.329069676692174,0.732515451603169,0.000610651606991062,0.000684669983596039,"Lower odds"
"HSPB1",2.01113392960523,1.34524541129968,3.11960403620038,0.00106435745127062,0.00115827134402979,"Higher odds"
"TCEA3",1.93137869893276,1.2884826019704,2.98522660974277,0.00203275858060132,0.00214891621377854,"Higher odds"
"TMPRSS5",1.58267513987191,1.09748032134417,2.34775123635705,0.0173757602404552,0.0173757602404552,"Higher odds"
"RAB3B",0.55869428341199,0.341384812461519,0.893747237562248,0.0170315652413142,0.0173757602404552,"Lower odds"
