SYMBOL,m_regions,beta_pooled,se_pooled,Q,Q_df,Q_p,I2,se_rho0.0,se_rho0.3,se_rho0.5,se_rho0.7,Q_FDR
1-SEP,3,1.42938902245052,0.1815234291093113,4.4660552841829055,2,0.10720336487363542,55.21775095164516,0.1815234291093113,0.22961099386781345,0.25671289533485914,0.28121488715473014,0.9999854128923323
15-SEP,2,-0.6510442190391682,0.16682447028457928,0.13320560874813087,1,0.7151312357347976,0,0.16682447028457928,0.1902091613236587,0.204317414403657,0.2175124975851774,0.9999854128923323
2-MAR,5,0.9576447684971642,0.10401558685430279,0.44193334626283665,4,0.9789019711216131,0,0.10401558685430279,0.15428004757264957,0.18016028121074584,0.2027637067447008,0.9999854128923323
5-SEP,2,0.6019019696006206,0.12336240004681984,1.7415394809425455e-4,1,0.9894708304736939,0,0.12336240004681984,0.14065477691463274,0.15108746677990012,0.16084489101935984,0.9999854128923323
6-MAR,4,-0.6779903617675551,0.08914498879999004,0.21304340269194633,3,0.9754566778292074,0,0.08914498879999004,0.12287788716235995,0.14095060329908446,0.1569559491936068,0.9999854128923323
7-SEP,5,-1.1003671340158727,0.08308484184537539,3.0328685694090995,4,0.5523400710927534,0,0.08308484184537539,0.12323473567885108,0.14390716741501489,0.16196217332757037,0.9999854128923323
9-SEP,2,0.8525102691275042,0.16662399670977288,0.41726133497694984,1,0.5183067577872076,0,0.16662399670977288,0.18998058628028267,0.20407188542106333,0.2172511120229659,0.9999854128923323
A1BG,3,0.6320397463723134,0.10930771339703312,0.0787849910503908,2,0.9613733003671469,0,0.10930771339703312,0.13826453606381028,0.1545844507580755,0.16933878143948905,0.9999854128923323
AAED1,5,-0.8998499521136826,0.08252000907385657,0.6093290942081362,4,0.9620213921509908,0,0.08252000907385657,0.12239695328973109,0.14292884835696434,0.1608611115549299,0.9999854128923323
AASDHPPT,5,-0.6934835025599544,0.09098247505463063,0.48022844816247967,4,0.9753969793801073,0,0.09098247505463063,0.13494881877047413,0.1575862693929882,0.17735749466783926,0.9999854128923323
AATK,2,0.7556323247602413,0.15822833751919563,0.3247375211434736,1,0.5687743817062347,0,0.15822833751919563,0.18040806199367876,0.19378934488545219,0.20630451170527134,0.9999854128923323
ABCA10,5,-0.7554642347552039,0.09037031623889819,0.36561846237436246,4,0.985193788368148,0,0.09037031623889819,0.13404084051385468,0.15652597922183842,0.1761641774511781,0.9999854128923323
ABCA2,5,0.8804331564386471,0.09665971435997774,1.1550159205950417,4,0.8854479545222863,0,0.09665971435997774,0.14336952547991316,0.16741953631657644,0.18842447145893615,0.9999854128923323
ABCA3,5,0.6770214154149501,0.05281625404677305,0.9516217098271892,4,0.9170408282259858,0,0.05281625404677305,0.0783391646711477,0.09148043547447623,0.10295783325141622,0.9999854128923323
ABCA5,5,-1.134370144502993,0.09849718987080361,0.28986379280056307,4,0.9904590660106983,0,0.09849718987080361,0.1460949421006056,0.17060213725899043,0.19200637064246467,0.9999854128923323
ABCA6,5,-1.1241735487071476,0.1261628229142698,2.4926198323360964,4,0.6459578121872958,0,0.1261628229142698,0.18712970728490516,0.21852041931383026,0.24593661778118792,0.9999854128923323
ABCA7,2,0.7353602500962056,0.16895527298607463,0.02784577663292414,1,0.867471914920119,0,0.16895527298607463,0.19263865019963855,0.20692710408426077,0.22029072440449757,0.9999854128923323
ABCA9,4,-0.6942915043054313,0.1015687911700811,1.7341814989128188,3,0.6293613945341862,0,0.1015687911700811,0.14000291691792685,0.1605943596437274,0.17883031049917061,0.9999854128923323
ABCC8,2,0.7585617085504244,0.15865350521476249,0.22547143647332535,1,0.6349022127590691,0,0.15865350521476249,0.18089282775171014,0.19431006684007907,0.2068588625579821,0.9999854128923323
ABCC9,3,-0.7881345980540809,0.1254355389410157,0.1557012386286144,2,0.9251026086844323,0,0.1254355389410157,0.1586648010337419,0.1773926403739629,0.19432390133644228,0.9999854128923323
ABCD1,5,0.8236781986198175,0.09942483592404582,2.656202774960407,4,0.61690002191865,0,0.09942483592404582,0.14747086355192862,0.17220886735464666,0.19381468570360977,0.9999854128923323
ABCE1,5,-1.0657299948060979,0.08987964934129607,1.4173229079041783,4,0.8411786924389754,0,0.08987964934129607,0.13331306389312172,0.15567611922559935,0.17520769158263144,0.9999854128923323
ABCF1,2,0.6121860358094201,0.09418151131155984,0.010633460689761301,1,0.9178687852363604,0,0.09418151131155984,0.10738344469613702,0.11534832295874184,0.12279766701358828,0.9999854128923323
ABCG4,3,0.6921237287045516,0.12997639982743997,0.6728594054208692,2,0.7143160962966842,0,0.12997639982743997,0.16440858620937066,0.18381438742439363,0.20135857277266864,0.9999854128923323
ABHD12,4,0.7638442940767104,0.07607068920452156,1.8155241829530995,3,0.6115625406360166,0,0.07607068920452156,0.10485620886002285,0.12027832053253523,0.1339362693364192,0.9999854128923323
ABHD13,5,-1.0798931553199256,0.07911374094186258,0.5330193196977924,4,0.9702079565969417,0,0.07911374094186258,0.11734464117630389,0.13702901888814803,0.1542210725617655,0.9999854128923323
