SYMBOL,k,meta_logFC,meta_se,meta_z,meta_p,ci_lb,ci_ub,tau2,I2,meta_FDR
CD37,3,0.8183069918393246,0.07987839607422309,10.244409402999942,1.2538830611157288e-24,0.6617482123910218,0.9748657712876275,0,0,3.887037489458759e-23
PRELP,3,0.749016939299215,0.08435647444970715,8.879187331919313,6.735059906933257e-19,0.5836812875150157,0.9143525910834143,0,0,1.0439342855746548e-17
DDIT4,3,0.6870979693708348,0.08754134674967078,7.848839375702417,4.199049962104539e-15,0.5155200825833476,0.858675856158322,0,0,4.3390182941746904e-14
PIK3R5,3,0.8135479091396774,0.1103496018987004,7.372458940871437,1.675091942021313e-13,0.5972666637098919,1.029829154569463,0,0,1.2981962550665175e-12
MAP10,3,-0.7353787963378754,0.10149925600159482,-7.245164401267342,4.3191497492911285e-13,-0.9343136825586121,-0.5364439101171387,0,0,2.3171841351063768e-12
RTN3,3,-0.6279461164815718,0.08673217373585414,-7.240059708338496,4.484872519560729e-13,-0.7979380533047167,-0.457954179658427,0,0,2.3171841351063768e-12
SNX33,3,0.6020751112766085,0.08379751513038357,7.184880247819022,6.726611895787895e-13,0.4378349996271065,0.7663152229261105,0,0,2.9789281252774963e-12
CCDC102A,3,0.8149176307338035,0.11724594336228976,6.950497453167395,3.640003718638518e-12,0.5851198044102925,1.0447154570573145,0,0,1.2648502106826532e-11
GFAP,3,0.8207201794898752,0.11810185721539904,6.949257182238988,3.672145772949638e-12,0.5892447928404012,1.0521955661393492,0,0,1.2648502106826532e-11
ITFG1,3,-0.6284251938428572,0.09074983421958639,-6.924808174550089,4.365666788118198e-12,-0.8062916005162271,-0.4505587871694874,0,0,1.3533567043166414e-11
KLF15,3,0.7247564429648661,0.10708905065050255,6.767792211831182,1.3076236756143277e-11,0.5148657605512954,0.9346471253784367,0.006441579510771146,16.54467949023585,3.685121267640378e-11
ALOX15B,3,1.3259442861674449,0.20385595148492347,6.504319724339799,7.804574711404824e-11,0.9263939632228504,1.7254946091120393,0,0,2.0161818004462462e-10
ZWILCH,3,-0.7703091815577265,0.11970913235572919,-6.434840570631369,1.2360299805407686e-10,-1.0049347695954942,-0.5356835935199589,0.021240991503321448,49.9919037054444,2.947456107443371e-10
NUPR1,3,0.7694155674654781,0.12814483670003524,6.004265074421578,1.922004791569759e-9,0.5182563027286425,1.0205748322023136,0,0,4.25586775276161e-9
GYPC,3,0.7921081749280933,0.1577868037047606,5.020116741893255,5.16400858492254e-7,0.4828517224310714,1.1013646274251152,0.05368630679829781,74.12973011281558,1.0672284408839917e-6
ADAMTS2,3,0.9385915783556003,0.18930646077204816,4.958053594831069,7.120292331811824e-7,0.5675577332016414,1.309625423509559,0.06963441555320034,65.8417271700853,1.379556639288541e-6
CAPS,3,0.8680227861019358,0.18821996365972038,4.611746645914879,3.992994937028212e-6,0.49911843615744617,1.2369271360464256,0.06047671476557594,56.99931668363277,7.281343708698503e-6
CLDN9,3,1.00702053694877,0.22714950619843732,4.433293973657327,9.280418873055796e-6,0.561815685693775,1.4522253882037648,0.0808782767345985,52.082162414286834,1.5982943614707206e-5
FOXJ1,3,1.70106751669122,0.4158671369203399,4.090411012729439,4.3060940668433044e-5,0.8859829059735664,2.5161521274088736,0.3280948332340824,64.13682801193704,7.025732424849602e-5
FZD9,3,0.807982191672141,0.20159243590401918,4.007998554354649,6.123549509499863e-5,0.4128682777445642,1.2030961055997178,0.09686829187645973,79.49454207976424,9.491501739724788e-5
TNFRSF10D,3,0.3607685309927542,0.5089686587602668,0.7088226844291459,0.4784345188324883,-0.6367917094370252,1.3583287714225336,0.7210326255378957,92.89375666059964,0.6755221875024275
VGF,3,-0.6195759197263888,0.9155296518831281,-0.6767404184583208,0.4985706670897406,-2.413981064195813,1.1748292247430352,2.3931582097357444,96.38391666834725,0.6755221875024275
ARL4D,3,-0.29013509242746066,0.44114469076565094,-0.6576869188290627,0.5107393296832343,-1.1547627982991957,0.5744926134442745,0.5226113131758346,90.51144639221633,0.6755221875024275
ITGA10,3,0.4139790744649026,0.6630208709770252,0.6243831719126195,0.5323759739229588,-0.8855179536484448,1.71347610257825,1.2809512265638456,97.29308903097146,0.6755221875024275
FKBP5,3,0.3308764347732879,0.5463553148860273,0.605606691759392,0.544775957663248,-0.7399603051653659,1.4017131747119418,0.8546872707297072,95.93885562183952,0.6755221875024275
ANGPT1,3,0.2987683617135114,0.5255177256609956,0.5685219491649323,0.5696806060863505,-0.7312274538194404,1.3287641772464633,0.7808609171354599,94.74281761816961,0.6792345687952641
NUDT18,3,-0.22389067893254122,0.43146912282828853,-0.5189031313873249,0.6038282940048806,-1.0695546201170756,0.621773262251993,0.534029035943981,95.80088705528266,0.6932843375611591
ARHGAP42,3,0.21612091743009912,0.4471776700917375,0.4832998870130577,0.6288828202704042,-0.6603312106402404,1.0925730455004385,0.5766526861482186,96.18697474710011,0.6940759569957342
C21ORF62,3,0.22762345449463353,0.515455722556612,0.44159652232716046,0.6587812010040732,-0.7826511973413962,1.2378981063306633,0.6894263532624557,89.12349288590833,0.6940759569957342
ZBED6,3,0.26983061028354266,0.6366412317521032,0.4238346447353726,0.6716864099958717,-0.9779632750237974,1.5176244955908826,1.1531743252667517,97.12361060199305,0.6940759569957342
SLC38A2,3,0.21495525062972537,0.6538362922115732,0.3287600477218058,0.7423370632081528,-1.0665403338901647,1.4964508351496155,1.2487430106449529,98.07807769129577,0.7423370632081528
