SYMBOL,max_loo_p,min_loo_p
ADAMTS2,0.007712323640125547,1.0112125741533144e-11
ALOX15B,5.179586443324253e-5,5.577782142582045e-9
ANGPT1,0.9484546858613485,8.165183758035628e-5
ARHGAP42,0.9913137579383665,7.080774982528426e-9
ARL4D,0.9890999302698255,2.038652096338509e-9
C21ORF62,0.9391495336617508,4.138438488117531e-5
CAPS,0.0033202430153689197,3.2555031525929145e-8
CCDC102A,9.192247995131199e-8,4.00251089286177e-9
CD37,7.490855034402307e-9,3.5669533463861204e-20
CLDN9,0.002588189486914264,2.0011687100471316e-8
DDIT4,2.683936169133195e-8,1.116743265575553e-12
FKBP5,0.9307880536523707,4.94319650099269e-9
FOXJ1,0.005170347754593098,2.033427251488884e-9
FZD9,0.002685592055489364,1.1776648223949741e-7
GFAP,2.6421915000362208e-6,4.0996265520428346e-9
GYPC,8.250777298988006e-5,2.662193137456174e-11
ITFG1,5.394321874064649e-7,7.541737584944742e-10
ITGA10,0.9226459658657303,2.12834732105227e-11
KLF15,6.610240886539665e-6,8.382104433707376e-10
MAP10,8.176915245510365e-8,2.5677859329822405e-11
NUDT18,0.9949970633249718,8.706965002220139e-10
NUPR1,1.689302864735766e-6,2.4949947887595464e-7
PIK3R5,8.956241170768778e-8,1.852722059889006e-11
PRELP,2.6838183529377166e-10,1.9483794117590047e-16
RTN3,1.3864848248705171e-7,5.404309621340849e-11
SLC38A2,0.9577722669188751,1.3148668358472698e-9
SNX33,1.9503421961536366e-7,4.4658338050752497e-10
TNFRSF10D,0.9333490805596858,7.811058691644505e-9
VGF,0.9117956995927576,1.0191016333242679e-10
ZBED6,0.9715679501406038,9.04320667472302e-8
ZWILCH,2.5498878256614892e-6,1.201705081574627e-12
