SYMBOL,metap,metafc,idx,k_valid,FDR
GYPC,1.7212742767111482e-26,0.7792324353938255,20.07626128913384,3,5.335950257804559e-25
FOXJ1,9.702862104513655e-12,1.75876163534252,19.36941801364396,3,1.769345442587784e-11
CD37,5.022639583611036e-23,0.7934343944907809,17.692847504373713,3,5.190060903064737e-22
ADAMTS2,1.137771597283158e-16,0.9874785079973035,15.744302933220151,3,5.038702787968272e-16
ZWILCH,4.4549168180946235e-21,-0.7651581278301863,-15.571855791347394,3,3.4525605340233335e-20
FZD9,6.887169843525006e-20,0.8039211882997117,15.404705015687366,3,4.270045302985504e-19
ALOX15B,1.0303863466602695e-9,1.4674092832312933,13.187607088484741,3,1.2285375671718599e-9
PRELP,2.7832912961783927e-17,0.7638351339219589,12.645627751936958,3,1.4380338363588362e-16
CLDN9,4.887099943413077e-10,1.0676181311023434,9.940537734611723,3,6.060003929832216e-10
CAPS,7.645774181030072e-12,0.8750132887569628,9.727153941949759,3,1.4813687475745767e-11
KLF15,1.7813522067674985e-13,0.758046728114479,9.664527402961,3,5.020174400890224e-13
PIK3R5,5.318573234531235e-12,0.814624122905674,9.184239242545106,3,1.099171801803122e-11
DDIT4,1.3174410618540193e-13,0.7099846632607401,9.144793309971751,3,4.08406729174746e-13
GFAP,4.40733755699043e-11,0.8522742856192621,8.826002233728762,3,6.210339284850152e-11
CCDC102A,6.418240070916312e-11,0.8445091330013135,8.607730312672109,3,8.650671399930681e-11
MAP10,1.2920255687049374e-11,-0.740104121439437,-8.058793130005897,3,2.1080417173606872e-11
VGF,3.353251093452283e-13,-0.644739859873357,-8.042829254868836,3,8.662565324751732e-13
RTN3,1.166607540133565e-11,-0.6409896090417175,-7.00798761148233,3,2.009157430230029e-11
ITGA10,2.5548863475368453e-16,0.4221168833312907,6.581911709232875,3,9.900184596705275e-16
SNX33,1.9968317330862746e-11,0.6057723699604215,6.481557505641331,3,2.9477039869368815e-11
ITFG1,1.1345353933956519e-10,-0.6446293276050378,-6.41095595408128,3,1.465441549802717e-10
NUPR1,2.4287456831686643e-8,0.8362460865959267,6.3676944685536885,3,2.50970387260762e-8
SLC38A2,4.841291325113711e-24,0.22588130046287094,5.266431280615978,3,7.504001553926252e-23
ZBED6,1.4522006701546787e-15,0.2962287162782929,4.395433802726082,3,5.0020245305327824e-15
FKBP5,1.7939026198921655e-11,0.34028846855991,3.6568083273616403,3,2.7805490608328565e-11
TNFRSF10D,3.6426973027801654e-9,0.3497605464032027,2.951481272945297,3,4.032986299506612e-9
NUDT18,4.152473951026514e-12,-0.22527682551977934,-2.5640316868350035,3,9.194763748701567e-12
ANGPT1,6.648298482491193e-9,0.31120928096593753,2.544848382641622,3,7.106801826111275e-9
ARHGAP42,3.680530356324223e-12,0.2192758873706669,2.5072201424250413,3,8.776649311234685e-12
ARL4D,2.051064520762155e-9,-0.2629601465472254,-2.284603190619925,3,2.354925931245437e-9
C21ORF62,1.8039391495330512e-7,0.128159644643763,0.8642802069242755,3,1.8039391495330512e-7
