SYMBOL,logFC,SE,P.Value,acc,region,study_id
1-SEP,1.93900494514519,0.32168355617452876,1.51635883881634e-6,GSE278723_CA1,hippocampus_CA1,GSE278723
2-MAR,0.95522770381874,0.24598378463086004,5.5344477289539e-4,GSE278723_CA1,hippocampus_CA1,GSE278723
7-MAR,-0.687044808142458,0.2059003934113056,0.00234696289236895,GSE278723_CA1,hippocampus_CA1,GSE278723
7-SEP,-1.20708987081828,0.1902697942091194,6.41476962828245e-7,GSE278723_CA1,hippocampus_CA1,GSE278723
9-SEP,0.957155238246378,0.23239506839433743,2.9254929906493e-4,GSE278723_CA1,hippocampus_CA1,GSE278723
A1BG,0.672385326664815,0.18124384518505085,8.8081392917925e-4,GSE278723_CA1,hippocampus_CA1,GSE278723
A2ML1,0.582228332437675,0.23248908249725977,0.0181852534804626,GSE278723_CA1,hippocampus_CA1,GSE278723
AAED1,-0.866826417258724,0.1965897168499988,1.3201528116797e-4,GSE278723_CA1,hippocampus_CA1,GSE278723
AASDHPPT,-0.685286375375741,0.18947742700150588,0.00112795179706221,GSE278723_CA1,hippocampus_CA1,GSE278723
AATK,0.85028383806923,0.22940000326645388,8.8855064446828e-4,GSE278723_CA1,hippocampus_CA1,GSE278723
ABCA10,-0.75857908161679,0.23742582571280288,0.00337732806193336,GSE278723_CA1,hippocampus_CA1,GSE278723
ABCA2,1.07035035447341,0.21102749876120666,2.11283069779261e-5,GSE278723_CA1,hippocampus_CA1,GSE278723
ABCA3,0.700332506166554,0.10509873778926686,2.71553141524649e-7,GSE278723_CA1,hippocampus_CA1,GSE278723
ABCA5,-1.0751258833819,0.2424553603809971,1.2323915851407e-4,GSE278723_CA1,hippocampus_CA1,GSE278723
ABCA6,-0.884134857716959,0.3121075402017236,0.0083364002304546,GSE278723_CA1,hippocampus_CA1,GSE278723
ABCA9,-0.668398934703487,0.22368785854408013,0.00568754700127744,GSE278723_CA1,hippocampus_CA1,GSE278723
ABCC6,1.17609354651088,0.3670399361247237,0.00329859602514791,GSE278723_CA1,hippocampus_CA1,GSE278723
ABCD1,1.0361328051789,0.2112097098918566,3.35033626933044e-5,GSE278723_CA1,hippocampus_CA1,GSE278723
ABCE1,-1.10091104966371,0.18922667638704596,2.69304565576037e-6,GSE278723_CA1,hippocampus_CA1,GSE278723
ABHD1,0.826139206111004,0.3128652115615152,0.0132257029105169,GSE278723_CA1,hippocampus_CA1,GSE278723
ABHD12,0.855779351811075,0.1704372712489297,2.43361766985705e-5,GSE278723_CA1,hippocampus_CA1,GSE278723
ABHD13,-1.11528828486312,0.17123314653688382,4.0640491064716e-7,GSE278723_CA1,hippocampus_CA1,GSE278723
ABHD14A,0.830664286230325,0.22066476979574098,7.6149809073519e-4,GSE278723_CA1,hippocampus_CA1,GSE278723
ABHD14A-ACY1,1.06692590310323,0.33688508347568263,0.003626588333616,GSE278723_CA1,hippocampus_CA1,GSE278723
ABHD15,0.601447713444758,0.20285198105391916,0.00602385109013856,GSE278723_CA1,hippocampus_CA1,GSE278723
ABHD17A,1.03191641996348,0.24565084568327294,2.338577642491e-4,GSE278723_CA1,hippocampus_CA1,GSE278723
ABHD4,1.07895075060462,0.2549514919614174,2.1471588280645e-4,GSE278723_CA1,hippocampus_CA1,GSE278723
ABHD8,0.78818716296566,0.23924453667709922,0.00261760764849971,GSE278723_CA1,hippocampus_CA1,GSE278723
ABI3,0.718568021455417,0.22832640710617744,0.0038146847444252,GSE278723_CA1,hippocampus_CA1,GSE278723
ABLIM3,0.861547546405479,0.2326867293814346,8.979440619426e-4,GSE278723_CA1,hippocampus_CA1,GSE278723
ABTB1,0.683023727168113,0.1344625759725213,2.06898745916914e-5,GSE278723_CA1,hippocampus_CA1,GSE278723
AC007325.2,2.05918890766675,0.24824423824278913,4.0239911053026204e-9,GSE278723_CA1,hippocampus_CA1,GSE278723
AC011043.1,-1.17038618890914,0.41681107788755356,0.00885531183484384,GSE278723_CA1,hippocampus_CA1,GSE278723
AC024592.12,1.77945929653528,0.3012494387296144,2.10987763882952e-6,GSE278723_CA1,hippocampus_CA1,GSE278723
AC069368.3,1.45728568404911,0.5105905240673086,0.00791373157855844,GSE278723_CA1,hippocampus_CA1,GSE278723
ACAA1,0.656377313183972,0.11510240709550189,3.69832780913721e-6,GSE278723_CA1,hippocampus_CA1,GSE278723
ACACB,0.828525908708731,0.25499314205101137,0.0029404792540856,GSE278723_CA1,hippocampus_CA1,GSE278723
ACADS,1.01591645439148,0.17137537029775154,1.99145559732912e-6,GSE278723_CA1,hippocampus_CA1,GSE278723
ACADSB,-0.695726478349313,0.26237141362720195,0.0128819576714446,GSE278723_CA1,hippocampus_CA1,GSE278723
ACD,0.647128118295027,0.15615122468371684,2.7285003704574e-4,GSE278723_CA1,hippocampus_CA1,GSE278723
ACER3,-0.622929359804273,0.2938893644125619,0.0427804064990227,GSE278723_CA1,hippocampus_CA1,GSE278723
ACKR3,1.18547630371239,0.22207987865609574,1.01147082989089e-5,GSE278723_CA1,hippocampus_CA1,GSE278723
ACO2,0.740272111922266,0.11428257883491551,4.47413539523235e-7,GSE278723_CA1,hippocampus_CA1,GSE278723
ACOT11,0.812453943791731,0.19273641886750686,2.2469954515261e-4,GSE278723_CA1,hippocampus_CA1,GSE278723
ACOX2,0.864395174775529,0.26190521406062217,0.00257793979210849,GSE278723_CA1,hippocampus_CA1,GSE278723
ACP2,0.695268548332069,0.13063196598168197,1.05643035686513e-5,GSE278723_CA1,hippocampus_CA1,GSE278723
ACRC,-0.929683811371975,0.23699297062233105,4.9749478475761e-4,GSE278723_CA1,hippocampus_CA1,GSE278723
ACSBG1,0.733433992459647,0.19389129974753852,7.2504575297041e-4,GSE278723_CA1,hippocampus_CA1,GSE278723
ACSF2,0.910335574269149,0.1495777614246098,1.29310588558409e-6,GSE278723_CA1,hippocampus_CA1,GSE278723
ACSL3,-1.0259196519093,0.1858752016551144,6.12731974007436e-6,GSE278723_CA1,hippocampus_CA1,GSE278723
ACSL4,-0.780176303843003,0.2136893872396309,0.00103003132322633,GSE278723_CA1,hippocampus_CA1,GSE278723
ACSL5,-0.688461800860476,0.2827186385248029,0.0213140685005368,GSE278723_CA1,hippocampus_CA1,GSE278723
ACSM5,1.18619112596762,0.3256973705195662,0.00105485998893665,GSE278723_CA1,hippocampus_CA1,GSE278723
ACSS1,0.89597414309879,0.23208425319606238,5.8836928420807e-4,GSE278723_CA1,hippocampus_CA1,GSE278723
ACTG1,0.66258170906485,0.178882518550828,8.9460787981889e-4,GSE278723_CA1,hippocampus_CA1,GSE278723
ACTR1B,0.740951456446789,0.1144471898621424,4.51506568366551e-7,GSE278723_CA1,hippocampus_CA1,GSE278723
ACTR2,-0.704044710076909,0.23662059045468156,0.00586952468850634,GSE278723_CA1,hippocampus_CA1,GSE278723
ACTR3,-0.60918533216329,0.1496549619702307,3.3341081234686e-4,GSE278723_CA1,hippocampus_CA1,GSE278723
ACTR6,-0.87289795089608,0.19924338415595863,1.4267690824953e-4,GSE278723_CA1,hippocampus_CA1,GSE278723
ACVR1C,-0.897761694242013,0.2951385044627191,0.00497358578845946,GSE278723_CA1,hippocampus_CA1,GSE278723
ACY1,1.15482557320079,0.29074709508975394,4.3569590454278e-4,GSE278723_CA1,hippocampus_CA1,GSE278723
ADAM10,-0.606701257813335,0.11740741974327136,1.62207409941515e-5,GSE278723_CA1,hippocampus_CA1,GSE278723
ADAM15,0.633397250944462,0.16869767448294962,7.8158950097353e-4,GSE278723_CA1,hippocampus_CA1,GSE278723
ADAM20,-0.771823723392888,0.21343761804941022,0.00112963027318876,GSE278723_CA1,hippocampus_CA1,GSE278723
