study_id,SYMBOL,logFC,SE,P.Value
GSE278723,1-SEP,1.4312449359146242,0.22218869682743222,1.1824076160681007e-10
GSE278723,15-SEP,-0.6994661294338,0.1624236952344143,1.6591106520340174e-5
GSE278723,2-MAR,1.020945646964412,0.0986439038294245,4.193178027189919e-25
GSE278723,5-MAR,-0.609053195860802,0.14895299250889135,4.334323588166391e-5
GSE278723,5-SEP,0.584093762413881,0.14962344881571743,9.471041433042001e-5
GSE278723,6-MAR,-0.7526253958807732,0.08368105483677586,2.3844463659880523e-19
GSE278723,7-MAR,-0.687044808142458,0.2059003934113056,8.475427753094032e-4
GSE278723,7-SEP,-1.048637104893955,0.08679988356391424,1.329474320797429e-33
GSE278723,9-SEP,0.7696006420171977,0.11204988866444945,6.493738603552811e-12
GSE278723,A1BG,0.672385326664815,0.18124384518505085,2.0739180834384221e-4
GSE278723,A2ML1,0.5987926552782928,0.15286800866812497,8.963667736884132e-5
GSE278723,AAED1,-0.8977375467261357,0.08211133587146714,8.000002301420238e-28
GSE278723,AASDHPPT,-0.7741674534990026,0.08635343762460834,3.0999130437628786e-19
GSE278723,AATK,0.7036478708562073,0.11753941293126699,2.1442504371150573e-9
GSE278723,ABCA10,-0.7432861117112874,0.09090964064212427,2.931840830492388e-16
GSE278723,ABCA2,0.9647634410327233,0.09213932541671423,1.177660974802545e-25
GSE278723,ABCA3,0.6757910174071493,0.052292510210764545,3.3263053779059024e-38
GSE278723,ABCA5,-1.2128704681632692,0.0904706737333645,5.55954637713146e-41
GSE278723,ABCA6,-1.0710066385230734,0.1294801394009959,1.3218408501398026e-16
GSE278723,ABCA7,0.6720214481902158,0.1710681129616221,8.551814613030796e-5
GSE278723,ABCA8,-0.665942473453889,0.2454550167619445,0.006665824395568242
GSE278723,ABCA9,-0.6604310018594666,0.09611143783868593,6.352446748045331e-12
GSE278723,ABCB1,-0.6301230584883755,0.18717233202865796,7.611766627471409e-4
GSE278723,ABCC6,1.0535869273521792,0.24868447761983672,2.2688816513472046e-5
GSE278723,ABCC8,0.74034195557728,0.20662136775846493,3.39559850277425e-4
GSE278723,ABCC9,-0.669266101722638,0.13270830520293386,4.5796224152489746e-7
GSE278723,ABCD1,0.8901493398843419,0.09294266129744763,9.951553757864916e-22
GSE278723,ABCD2,-0.614320698956729,0.183718405974033,8.263427554037095e-4
GSE278723,ABCD3,-0.581723332647482,0.1988814817908409,0.0034448406126615363
GSE278723,ABCE1,-1.1241343801377284,0.08499283731581236,6.192020202109356e-40
GSE278723,ABCF1,0.6667432170880963,0.08597303146857815,8.816262036778066e-15
GSE278723,ABCG4,0.649430546133688,0.1683644830491433,1.1465135966442945e-4
GSE278723,ABHD1,0.7367239903158196,0.1821102415197659,5.221522753590715e-5
GSE278723,ABHD10,-0.649651187931303,0.14903297325248402,1.3059220630838672e-5
GSE278723,ABHD12,0.7118731459400467,0.07980227520009905,4.643479616509259e-19
GSE278723,ABHD13,-1.1305765626883897,0.07405824360533805,1.2874640206964072e-52
GSE278723,ABHD14A,0.6874637429958728,0.09725718519915427,1.5660192817236605e-12
GSE278723,ABHD14A-ACY1,1.1342338032864345,0.26090160152659353,1.3778447872461874e-5
GSE278723,ABHD15,0.7130646848491059,0.12298733947860319,6.7162224831355634e-9
GSE278723,ABHD17A,1.0056342602719832,0.10860909928659435,2.0595383193746578e-20
GSE278723,ABHD3,-0.8608841682953786,0.10330465476898913,7.852006629524781e-17
GSE278723,ABHD4,0.8152862603848435,0.09385296526507428,3.726405845091599e-18
GSE278723,ABHD8,0.7668977765027372,0.09331491429744031,2.0626402191395818e-16
GSE278723,ABI3,0.7027038859066188,0.13059483027577112,7.415799658070291e-8
GSE278723,ABI3BP,0.79991018282828,0.3214433604567213,0.012828505499429774
GSE278723,ABLIM3,0.8109045973424701,0.09882741983623403,2.3009389721072865e-16
GSE278723,ABTB1,0.6609274865106743,0.07025659720555454,5.088657164908726e-21
GSE278723,ABTB2,0.627248604194583,0.26407168329872255,0.017534847782670736
GSE278723,AC007325.2,1.91708540124456,0.11203301729413104,1.2121756410100542e-65
GSE278723,AC011043.1,-1.1751715092445512,0.15827149476397953,1.1274944450556603e-13
GSE278723,AC013461.1,-0.6781853783400695,0.14052537968585702,1.3925328665824027e-6
GSE278723,AC024592.12,1.538226918866611,0.12401039045705564,2.485460372888309e-35
GSE278723,AC069368.3,1.4176887460124645,0.24353325214465646,5.837927567899377e-9
GSE278723,ACAA1,0.6372139917226627,0.06131592630351218,2.6876927552925755e-25
GSE278723,ACACB,0.7897191344361717,0.11329422267708361,3.157817426875076e-12
GSE278723,ACADL,-0.639669498837315,0.2957279361758898,0.03053858594754716
GSE278723,ACADS,0.9410201959496495,0.08015181547826275,7.904348072482681e-32
GSE278723,ACADSB,-0.6729129654153977,0.1329488123597565,4.160930124115002e-7
