SYMBOL,m_regions,beta_pooled,se_pooled,Q,Q_df,Q_p,I2,se_rho0.0,se_rho0.3,se_rho0.5,se_rho0.7,Q_FDR
1-SEP,2,1.4312449359146242,0.22218869682743222,4.764523147583646,1,0.029052106020666633,79.01154073504385,0.22218869682743222,0.25333409185744105,0.27212446692057823,0.28969861735324764,0.9999215838732118
15-SEP,2,-0.6994661294338,0.1624236952344143,0.15100095311092263,1,0.6975806410659917,0,0.1624236952344143,0.18519150576007118,0.19892758773081937,0.21177458892681914,0.9999215838732118
2-MAR,5,1.020945646964412,0.0986439038294245,0.2863010167923058,4,0.9906812374467617,0,0.0986439038294245,0.14631255406819763,0.17085625328950138,0.1922923687989028,0.9999215838732118
6-MAR,4,-0.7526253958807732,0.08368105483677586,0.38294522253445823,3,0.9437426365058118,0,0.08368105483677586,0.11534637394964536,0.13231136514483072,0.14733570073015573,0.9999215838732118
7-SEP,5,-1.048637104893955,0.08679988356391424,3.0103842885577388,4,0.5560891207928489,0,0.08679988356391424,0.1287450330333561,0.15034180842376219,0.16920412285016717,0.9999215838732118
9-SEP,5,0.7696006420171977,0.11204988866444945,1.4771809963171618,4,0.8306757342788942,0,0.11204988866444945,0.1661968429585055,0.19407610014926246,0.21842544423422597,0.9999215838732118
A2ML1,2,0.5987926552782928,0.15286800866812497,0.008942439016556888,1,0.924660772030471,0,0.15286800866812497,0.1742963467672381,0.187224309616131,0.19931549795755593,0.9999215838732118
AAED1,5,-0.8977375467261357,0.08211133587146714,0.8783674229709506,4,0.927643642704471,0,0.08211133587146714,0.1217907929726757,0.14222100560673398,0.16006446082334505,0.9999215838732118
AASDHPPT,5,-0.7741674534990026,0.08635343762460834,1.2431479796732823,4,0.8709447703393239,0,0.08635343762460834,0.128082846693426,0.14956854137405154,0.16833383949886924,0.9999215838732118
AATK,4,0.7036478708562073,0.11753941293126699,0.7131433275974614,3,0.8701082379693099,0,0.11753941293126699,0.1620168998136648,0.18584612985092597,0.20694949175077323,0.9999215838732118
ABCA10,5,-0.7432861117112874,0.09090964064212427,0.6705541564486436,4,0.9549099284813314,0,0.09090964064212427,0.13484078787850648,0.15746011648998776,0.17721551425985438,0.9999215838732118
ABCA2,5,0.9647634410327233,0.09213932541671423,0.4812002058280982,4,0.9753051462835632,0,0.09213932541671423,0.1366647051514902,0.15958999299687146,0.1796126111812286,0.9999215838732118
ABCA3,5,0.6757910174071493,0.052292510210764545,0.24485685440479094,4,0.9930901331179135,0,0.052292510210764545,0.07756232702230131,0.09057328454035848,0.10193686855962897,0.9999215838732118
ABCA5,5,-1.2128704681632692,0.0904706737333645,0.6707359520206344,4,0.95488813195373,0,0.0904706737333645,0.13418969473358064,0.15669980350117438,0.17635981022308278,0.9999215838732118
ABCA6,5,-1.0710066385230734,0.1294801394009959,1.895867960067259,4,0.7549040178117808,0,0.1294801394009959,0.19205008278692026,0.22426618001362575,0.2524032580957406,0.9999215838732118
ABCA7,2,0.6720214481902158,0.1710681129616221,0.025576435317862148,1,0.8729390965564522,0,0.1710681129616221,0.19504765841692487,0.2095147940083837,0.22304553069457705,0.9999215838732118
ABCA9,5,-0.6604310018594666,0.09611143783868593,0.773227463060761,4,0.9420008321393031,0,0.09611143783868593,0.1425562999783703,0.16646989352510191,0.18735568375951245,0.9999215838732118
ABCB1,2,-0.6301230584883755,0.18717233202865796,0.03591832450489159,1,0.8496842598186735,0,0.18717233202865796,0.2134092932375721,0.22923835371850249,0.24404286342972314,0.9999215838732118
ABCC6,2,1.0535869273521792,0.24868447761983672,0.20594177108042797,1,0.6499669694051958,0,0.24868447761983672,0.2835439299857544,0.3045750385595914,0.32424488892716075,0.9999215838732118
ABCC9,3,-0.669266101722638,0.13270830520293386,0.42635511578295604,2,0.8080126554553156,0,0.13270830520293386,0.16786420354481796,0.18767788505753705,0.20559082238174958,0.9999215838732118
ABCD1,5,0.8901493398843419,0.09294266129744763,1.9611474435929255,4,0.7429049568277468,0,0.09294266129744763,0.13785624482015515,0.1609814115578448,0.18117860110509149,0.9999215838732118
ABCE1,5,-1.1241343801377284,0.08499283731581236,1.7498763548972258,4,0.781638836837035,0,0.08499283731581236,0.1260647503030991,0.147211912510423,0.16568154121980563,0.9999215838732118
ABCF1,2,0.6667432170880963,0.08597303146857815,0.0520790759447846,1,0.8194842278718231,0,0.08597303146857815,0.09802433770174766,0.10529502936912878,0.11209511870650354,0.9999215838732118
ABCG4,2,0.649430546133688,0.1683644830491433,2.699580056648295e-6,1,0.9986890444345259,0,0.1683644830491433,0.19196504603215359,0.20620353713893438,0.21952042856893514,0.9999215838732118
ABHD1,3,0.7367239903158196,0.1821102415197659,0.12526939323417116,2,0.9392865355734558,0,0.1821102415197659,0.2303532593783295,0.2575427734042929,0.28212397303194553,0.9999215838732118
ABHD10,3,-0.649651187931303,0.14903297325248402,0.08663539469250667,2,0.957607112497108,0,0.14903297325248402,0.18851345677792072,0.21076445201444963,0.23088088937705842,0.9999215838732118
ABHD12,4,0.7118731459400467,0.07980227520009905,1.0737265529090747,3,0.7834200818959427,0,0.07980227520009905,0.10999984518858857,0.12617847604794116,0.14050640445918564,0.9999215838732118
ABHD13,5,-1.1305765626883897,0.07405824360533805,0.7961447508606915,4,0.9389641661048858,0,0.07405824360533805,0.10984612683657403,0.1282726406437584,0.1443660939917987,0.9999215838732118
ABHD14A,4,0.6874637429958728,0.09725718519915427,0.5785972698903801,3,0.9013140775017494,0,0.09725718519915427,0.134059778227621,0.15377711202307215,0.17123894482819624,0.9999215838732118
ABHD14A-ACY1,2,1.1342338032864345,0.26090160152659353,0.09973937795949553,1,0.7521426150858415,0,0.26090160152659353,0.29747359442962973,0.31953789840754737,0.3401740696386783,0.9999215838732118
ABHD15,3,0.7130646848491059,0.12298733947860319,0.48054158834363614,2,0.786414875665291,0,0.12298733947860319,0.1555680464466926,0.1739303634908246,0.19053116703799525,0.9999215838732118
ABHD17A,5,1.0056342602719832,0.10860909928659435,2.8404775141967025,4,0.5848659742537409,0,0.10860909928659435,0.16109332756281272,0.1881164781286741,0.2117181109442746,0.9999215838732118
ABHD3,4,-0.8608841682953786,0.10330465476898913,1.4410941036876492,3,0.6959309421077667,0,0.10330465476898913,0.14239563976535957,0.16333900098369059,0.18188661374745005,0.9999215838732118
