SYMBOL,k,agree_frac
ABCC12,3,1
ABRACL,3,1
ADAM33,4,1
ADAMTS2,4,1
ADAMTSL5,3,1
ADAT3,3,1
ADCYAP1,3,1
AEBP1,4,1
AIFM3,3,1
ALOX15B,3,1
ANPEP,3,1
APLN,3,1
ARHGEF16,3,1
ARMCX5,3,1
ASAH2B,3,1
ATOH8,3,1
ATP1B1,3,1
ATP6V1A,3,1
ATP6V1B2,3,1
ATP6V1G2,3,1
AZGP1,3,1
BCL6,3,1
BDNF,3,1
BEX1,3,1
BEX4,3,1
C11ORF87,3,1
C2ORF80,3,1
CALB1,3,1
CAPS,3,1
CARTPT,3,1
CCDC102A,4,1
CCDC184,3,1
CCDC40,3,1
CD200,3,1
CD37,3,1
CDH18,3,1
CDH23,3,1
CDH7,3,1
CDK2AP1,3,1
CERS1,3,1
CGNL1,3,1
CHGB,3,1
CHML,4,1
CHST3,3,1
CHST6,3,1
CKMT1B,3,1
CLDN15,3,1
CLDN9,4,1
CNTN5,3,1
COL25A1,4,1
COL27A1,3,1
COL6A2,3,1
COL8A2,4,1
CSF1,3,1
CSRNP1,3,1
CYP4X1,3,1
DCTN1-AS1,3,1
DDIT4,3,1
ELAVL2,3,1
ELAVL4,3,1
ELOVL4,4,1
EMP3,3,1
ENO2,3,1
FAM81A,3,1
FARSB,3,1
FAT4,3,1
FAXC,3,1
FGF12,3,1
FGF13,3,1
FGF9,3,1
FGFRL1,3,1
FOXJ1,4,1
FOXO4,3,1
FZD9,3,1
GABRA4,3,1
GABRB2,3,1
GABRB3,3,1
GAD1,4,1
GAD2,4,1
GAREM2,3,1
GFAP,4,1
GJA1,3,1
GLRB,3,1
GOT1,3,1
GPER1,3,1
GPNMB,3,1
GPR22,4,1
GPR61,3,1
GYPC,3,1
HCN1,3,1
HMGCR,3,1
HPRT1,4,1
HSD3B7,3,1
HSPB1,4,1
HSPB7,4,1
HSPG2,3,1
HTR3B,3,1
ICA1,3,1
ID3,3,1
IGF1,3,1
ISYNA1,3,1
ITFG1,4,1
ITGAX,3,1
ITGB5,3,1
JMJD6,3,1
KANK2,4,1
KIF1C,3,1
KLF15,4,1
KLHL6,3,1
LAMA5,3,1
LAMB1,3,1
LATS2,3,1
LCAT,3,1
LILRA2,3,1
LINC01094,3,1
LINGO2,3,1
LLGL2,3,1
LRP4,3,1
LRP5,3,1
LRRC2,3,1
LYRM9,3,1
MAFF,3,1
MAFK,3,1
MAP10,3,1
MAS1,4,1
MCF2,3,1
MCM7,3,1
MDGA1,3,1
MDH1,3,1
MDH1B,3,1
MEF2C,3,1
MFAP4,3,1
MID1IP1,3,1
MKNK2,3,1
MLLT11,3,1
MRGPRF,4,1
MST1,3,1
MSX1,3,1
MT1F,3,1
NAP1L2,3,1
NAP1L3,3,1
NAP1L5,4,1
NAPB,3,1
NCALD,4,1
NEAT1,3,1
NECAB1,3,1
NEGR1,3,1
NEK10,3,1
NEUROD6,5,1
NIPAL2,3,1
NPNT,3,1
NRN1,4,1
NUPR1,4,1
NWD1,3,1
OLFM3,3,1
OPN3,4,1
OTOGL,3,1
PAK1,3,1
PAK3,3,1
PARVG,3,1
PCAT19,3,1
PCSK1,3,1
PCYOX1L,3,1
PDE10A,3,1
PDE1A,3,1
PDP1,3,1
PFN2,3,1
PIDD1,3,1
PIK3R5,4,1
PLCXD3,3,1
PLEKHA4,3,1
POU3F4,3,1
PPEF1,3,1
PPM1E,3,1
PPP1R1A,3,1
PRELP,4,1
PRKX,3,1
PRX,4,1
PYGM,3,1
RAB3B,4,1
RAB3C,4,1
RAMP2-AS1,3,1
RGS4,4,1
RGS9BP,3,1
RPH3A,4,1
RRAD,3,1
RTEL1,3,1
RTN3,3,1
RUNX3,3,1
RWDD2B,3,1
RXFP1,3,1
RXRA,3,1
SAMD11,3,1
SAMD4A,3,1
SCG2,4,1
SCG5,3,1
SCN2A,3,1
SELPLG,3,1
SERPINB8,3,1
SERPINF2,3,1
SERPINI1,4,1
SERTM1,3,1
SIGLEC8,3,1
SIPA1,3,1
SIX5,3,1
SLC17A6,3,1
SLC27A2,3,1
SLC37A2,3,1
SLC4A11,3,1
SLC6A12,3,1
SLC6A9,3,1
SLCO4A1,3,1
SLFN5,3,1
SMO,3,1
SMOX,3,1
SMTN,3,1
SNAP25,3,1
SNCA,3,1
SNX33,3,1
SOWAHB,3,1
SPN,3,1
SST,3,1
ST8SIA3,3,1
STAT4,4,1
STEAP3,3,1
STMN1,3,1
STXBP5L,3,1
SV2B,3,1
SVOP,3,1
SYPL2,3,1
SYT16,3,1
SYT4,3,1
TAC1,3,1
TARBP1,3,1
TBX3,3,1
TBX6,3,1
TCEA3,4,1
TCEAL5,3,1
TCEAL7,3,1
TEAD2,3,1
TGFB1,3,1
TGFB1I1,3,1
TMPRSS5,4,1
TNS3,3,1
TOB2,3,1
TRAM1L1,3,1
TRIM36,4,1
TRIP10,3,1
TSPAN11,3,1
TUBB2A,3,1
TUBB3,3,1
UBLCP1,3,1
VGF,3,1
VIM,3,1
WFIKKN1,3,1
YWHAZ,3,1
ZDHHC23,3,1
ZIC2,3,1
ZMAT4,3,1
ZNF365,3,1
ZNF441,3,1
ZNF449,3,1
ZWILCH,3,1
