SYMBOL,k,meta_logFC,meta_se,meta_z,meta_p,ci_lb,ci_ub,tau2,I2,meta_FDR
CHML,4,-0.7578725183060074,0.06754875808312436,-11.219636597513494,3.266097998718329e-29,-0.89026565134934,-0.6254793852626749,0,0,1.0778123395770486e-26
SMOX,3,0.8609277848356715,0.08045194287130224,10.701143491498827,1.0052988216323716e-26,0.7032448743216452,1.0186106953496978,0,0,8.587350060210436e-25
ID3,3,0.8251243612104727,0.07712478040637442,10.698563507900445,1.0336821835168788e-26,0.6739625692984185,0.976286153122527,0,0,8.587350060210436e-25
EMP3,3,0.8627677691082584,0.08064818344249237,10.697919435761008,1.0408909163891437e-26,0.7047002341423938,1.020835304074123,0,0,8.587350060210436e-25
ZNF365,3,-0.682426733285405,0.06451296893873996,-10.578132498186866,3.763853037516128e-26,-0.8088698289410865,-0.5559836376297236,0,0,2.4841430047606442e-24
SMO,3,0.92239892399616,0.08887083707110835,10.379095712332715,3.086851495898394e-25,0.7482152840608605,1.0965825639314595,0,0,1.6977683227441167e-23
CD37,3,0.8518097624679063,0.0830218035164627,10.260072973468926,1.0662613250861422e-24,0.6890900176440786,1.014529507291734,0.002150341722510947,8.809777001504838,5.0266605325489566e-23
KANK2,4,0.7688643524508674,0.07512225717510049,10.234840929483012,1.3842246912826295e-24,0.6216274339503147,0.91610127095142,0,0,5.709926851540846e-23
AIFM3,3,0.9810013328136081,0.09761195808506401,10.050011822923517,9.185640001243368e-24,0.7896854105064494,1.1723172551207668,0,0,3.3680680004559014e-22
PRELP,4,0.7966641063636438,0.0806545159683899,9.877489149843417,5.212252668649713e-23,0.638584159875089,0.9547440528521987,0,0,1.7200433806544055e-21
LRP4,3,0.7113150873695494,0.07263463673959687,9.793056306176513,1.205944254578918e-22,0.5689538153297897,0.8536763594093091,0,0,3.6178327637367536e-21
UBLCP1,3,-0.8092131623694714,0.08427345557676544,-9.602230700417309,7.823263848611444e-22,-0.9743861001526678,-0.644040224586275,0,0,2.1513975583681473e-20
TCEAL7,3,-0.7932665128796893,0.0845495963033972,-9.382262572054598,6.457194161210773e-21,-0.9589806765417487,-0.6275523492176299,0.002601482933604901,9.843105855511878,1.6391339024611961e-19
HSPB1,4,0.938661486905853,0.10024441590876407,9.363728427129164,7.697149686807768e-21,0.7421860420734214,1.1351369317382847,0,0,1.8143281404618311e-19
PPEF1,3,-1.402232335239024,0.15272008745830645,-9.181715114076544,4.242790433299572e-20,-1.7015582063731118,-1.1029064641049362,0,0,9.334138953259058e-19
SIPA1,3,0.7383335836984776,0.08093806707663946,9.122204302202531,7.361160015121731e-20,0.5796978872499772,0.896969280146978,0.002160985212953976,9.396928298149122,1.5182392531188572e-18
GAREM2,3,1.076062154605749,0.11813734362778865,9.108569073603531,8.347563901035414e-20,0.8445172158660508,1.3076070933454471,0,0,1.6204094631421685e-18
CCDC40,3,0.839052915133616,0.09348881970868961,8.974901145913469,2.836063455530459e-19,0.655818195547426,1.022287634719806,0,0,5.1994496684725076e-18
TAC1,3,-1.5215625050377033,0.1728211727471451,-8.804259807123886,1.3171895297972787e-18,-1.8602857793880827,-1.1828392306873239,0,0,2.1720176414520027e-17
AEBP1,4,0.897478632882597,0.10202490052825625,8.79666266015164,1.409452048427811e-18,0.6975135023209332,1.0974437634442609,0,0,2.1720176414520027e-17
SNX33,3,0.6143351490515433,0.06986919435815324,8.792646812305126,1.4607712074258658e-18,0.47739404448073386,0.7512762536223527,0,0,2.1720176414520027e-17
PIK3R5,4,0.801964046990031,0.09122107679591682,8.79143368132142,1.4766338013884222e-18,0.6231740218390716,0.9807540721409904,0,0,2.1720176414520027e-17
LYRM9,3,-0.935946399191687,0.10649503640363357,-8.78863870842109,1.5138304773756383e-18,-1.1446728350750908,-0.7272199633082832,0,0,2.1720176414520027e-17
FGF12,3,-0.8239206315931465,0.09411944497598548,-8.753989484355431,2.0594029493604374e-18,-1.0083913539909775,-0.6394499091953156,0,0,2.8316790553706013e-17
