SYMBOL,max_loo_p,min_loo_p
ABCC12,6.268511208737967e-5,2.477822088376536e-11
ABRACL,5.132597504874171e-5,8.433861556241808e-10
ADAM33,2.534378648567513e-8,6.0266314785053755e-12
ADAMTS2,3.1780677487875525e-4,5.753954616125899e-16
ADAMTSL5,5.7089199177467805e-6,2.6144264262764833e-6
ADAT3,0.0028731309795638725,4.848371750132447e-4
ADCYAP1,4.357171678984537e-5,2.9346919149061955e-16
ADH1B,0.9961231548017699,3.333627698378718e-5
AEBP1,3.0756840860677184e-10,3.493101817355935e-17
AIFM3,5.447797665809365e-5,3.1656448544640625e-22
ALOX15B,5.114816320660039e-4,5.577782142582045e-9
ANGPT2,0.9766299497880943,4.2472629821866397e-10
ANKRD37,0.9438125794518863,7.826155306459659e-5
ANPEP,3.3966477846759517e-6,1.7534759999037874e-8
APLN,3.5474988211308035e-7,9.656009762004855e-10
ARHGAP11A,0.9559077330553263,0.0013162496874585049
ARHGAP42,0.5911340249822294,6.940092469310575e-10
ARHGEF16,3.9815486769682585e-6,1.0524241988556325e-8
ARL4D,0.518009791637807,2.4681269909317187e-11
ARMCX5,6.146549341568936e-4,1.6264565764092067e-8
ASAH2B,0.0032558827788341117,8.734470332014902e-9
ATOH8,1.4226958632151865e-6,2.1956134647440703e-10
ATP1A3,0.9709007393779567,9.352909589810962e-6
ATP1B1,6.128523567838952e-5,7.781851908672204e-8
ATP6V1A,1.0606184077111744e-6,4.5005855421778115e-11
ATP6V1B2,2.721061553082168e-4,1.6346614244608194e-7
ATP6V1G2,0.027516947381171743,1.2190145647330891e-8
AZGP1,9.869840100808901e-4,2.0526189619518176e-5
BCL6,1.9924649764140483e-6,4.900692932957103e-16
BDNF,1.3674986716292873e-4,4.796480452784736e-11
BEX1,2.240076492834625e-5,1.5609377605205566e-8
BEX4,1.215316503788146e-6,1.8144463586955996e-12
BMP7,0.9775216090023988,2.840900580399282e-4
C11ORF87,5.078943305626919e-5,1.244387968917475e-8
C2ORF80,1.0612482079095205e-4,2.468037333823792e-10
CA12,0.97453897033028,3.636438355365338e-4
CALB1,3.89608557531009e-4,1.6521371887511615e-10
CAMK1G,0.9905814024479338,4.5378632129128646e-7
CAPS,7.157152347101842e-4,3.1641938051350135e-15
CARTPT,5.596784508986763e-5,3.6244748718101454e-9
CCDC102A,7.334577946031202e-11,7.974979440521734e-16
CCDC184,5.801456578862715e-4,1.6101257983516506e-7
CCDC40,1.845912983218569e-7,6.8252682467938905e-18
CCKBR,0.9461626050730201,2.1000043450511334e-8
CD200,7.068878821997675e-5,2.3074863017995876e-8
CD37,7.490855034402307e-9,1.2627173604940559e-24
CDH18,1.5359651389294205e-4,1.1130877630362825e-8
CDH23,7.251848831778263e-5,4.91469441229146e-21
CDH7,2.214966554251279e-5,4.900726228029109e-7
CDK2AP1,3.029885125356374e-5,3.3232653586684256e-17
CERS1,0.0013158799432595272,3.6204132186088768e-9
CGNL1,0.0014552244906730208,3.2895519852795702e-9
CHGB,7.655998050005537e-5,3.187463199265858e-7
CHML,1.993715157269153e-11,6.509729494668582e-28
CHRM4,0.9301513643322562,3.964863109827094e-10
CHST3,8.260712192348316e-4,4.781123021150717e-6
CHST6,5.625106664507532e-4,2.68571004624781e-6
CKMT1B,3.3174404462691385e-5,2.7679865227533793e-7
CLDN15,3.3580748570020823e-6,1.354609322401245e-10
CLDN9,2.2189135268875725e-5,5.286060819618814e-10
CNTN5,3.2048747789643667e-6,1.529972164692691e-8
COL25A1,2.9843910375612844e-6,9.129213017600675e-12
COL27A1,0.008742508388022544,3.070346669767146e-10
COL6A2,2.582324223997271e-7,3.1563718020214566e-12
COL8A2,7.08599331620863e-8,2.626119809636018e-11
CPM,0.9211746102639229,1.5276087506542847e-8
CSF1,5.302141723056827e-8,1.9651089469427506e-12
CSRNP1,4.6826529748003875e-5,2.1189203512269743e-10
CUX2,0.9247607310023422,0.009784766807007959
CYP4X1,7.456016807357695e-7,1.5487381875726257e-10
DCN,0.9895467475078703,1.7423143005885559e-4
DCTN1-AS1,2.600789529437825e-4,8.90608194144598e-8
DDIT4,5.083179513122803e-7,5.1538705137328156e-9
DDIT4L,0.7891702969069494,1.1229830825906616e-6
DNAH1,0.9583568902002196,6.549639148912482e-10
DNAJC5G,0.5265968654033426,1.8182552340704182e-13
ECM2,0.9873355276234689,3.6166116750330853e-7
ELAVL2,0.0023306609763571766,4.9238650436833746e-5
ELAVL4,3.979466419841123e-6,1.8339128692495281e-7
ELOVL4,9.118873682461667e-9,3.7247145632835204e-15
EMP3,3.7566827418552347e-4,1.078733637162607e-25
ENO2,7.159658427957848e-5,3.7131305595016285e-8
EPHX4,0.9907509620367486,2.5997866437671886e-11
FAM163B,0.9320583162861857,1.6293880039905254e-7
FAM81A,7.90461648627084e-5,3.4059071011325904e-9
FARSB,1.0419143258774513e-6,4.323435588603948e-8
FAT4,0.03989933790429068,1.834327351749836e-8
FAXC,9.639003812361462e-8,2.870340578042364e-14
FCGBP,0.9228695579639188,4.290284259471935e-6
FGF12,4.023338695857148e-8,4.009849272514891e-16
FGF13,6.587566753940545e-5,3.0276318776274905e-7
FGF9,0.0025390849228127048,9.65106398405183e-10
FGFRL1,2.029777615731252e-4,1.2576145127389814e-15
FKBP5,0.9192672325683233,4.94319650099269e-9
FOXJ1,9.577265338806192e-5,1.5368540165626896e-10
FOXO4,5.432488311950427e-7,5.100083422761518e-12
FZD9,0.003262846351694706,1.1776648223949741e-7
GABRA4,3.608549036600905e-6,1.898338754852102e-14
GABRB2,2.0451036163551473e-4,7.317592042431993e-10
