SYMBOL,K,K_used,Z,P,Dir,FDR
KANK2,4,4,9.98493776442298,1.7741237961341052e-23,up,1.6298875315084024e-19
GYPC,3,3,9.915479263645686,3.565411539129845e-23,up,1.6377717904992942e-19
ZWILCH,3,3,-9.82625247903502,8.678840046468184e-23,down,2.657750116896774e-19
LRRC49,2,2,-9.704516639297607,2.884401931977258e-22,down,6.624750137268768e-19
CHML,4,4,-9.558499382747916,1.194764360327026e-21,down,2.1952600356648777e-18
NME5,2,2,-9.535627002891356,1.4898253335999692e-21,down,2.2811708899638197e-18
PPP1R2,2,2,-9.499163858514507,2.1158232856455617e-21,down,2.7768669321751104e-18
LRRTM4,2,2,-9.463508587517927,2.9778001677957726e-21,down,3.4196312676924704e-18
CERS1,3,3,9.448125695291928,3.4495195371021954e-21,up,3.521192887484208e-18
CD37,3,3,9.426577152431337,4.2368956477881226e-21,up,3.892436031622948e-18
RFK,2,2,-9.400807593003156,5.414586119731862e-21,down,4.522163880179692e-18
GDAP1,2,2,-9.341535111741797,9.494736135005872e-21,down,7.269011739358247e-18
NDFIP1,2,2,-9.273518394412957,1.801046514391992e-20,down,1.2306727329020663e-17
PRELP,4,4,9.269203408652476,1.8754128943756318e-20,up,1.2306727329020663e-17
GPCPD1,2,2,-9.241144477779287,2.4387457241364148e-20,down,1.4936504645094162e-17
ADAMTS2,4,4,9.164133862319666,4.9946445636730275e-20,up,2.73842890398677e-17
ASAH2B,3,3,-9.1617967983282,5.104027838973928e-20,down,2.73842890398677e-17
GCNT4,2,2,-9.156407457353817,5.365377192964173e-20,down,2.73842890398677e-17
KCNT2,2,2,-9.115330770170338,7.843085560175636e-20,down,3.792338265333346e-17
FZD9,3,3,9.06468202779139,1.2496820855751475e-19,up,5.74041466008944e-17
NDUFB5,2,2,-9.03266702609866,1.6753783743253673e-19,down,7.329381488060548e-17
RPS6KA6,2,2,-8.939428745101544,3.911872980822603e-19,down,1.6305855826452834e-16
TRIM37,2,2,-8.934716589066895,4.0822323283815737e-19,down,1.6305855826452834e-16
SIPA1,3,3,8.875413697603499,6.967394353097858e-19,up,2.667060496746251e-16
UBLCP1,3,3,-8.78990353990202,1.4968843242528257e-18,down,5.500750514764284e-16
