study_id,SYMBOL,logFC,SE,P.Value
GSE278723,1-MAR,-0.5075744414406367,0.0869900083471739,5.38360430600963e-9
GSE278723,1-SEP,1.42938902245052,0.1815234291093113,3.423678592909705e-15
GSE278723,10-SEP,-0.5377601614846893,0.1523608355668175,4.163189335855206e-4
GSE278723,11-SEP,-0.29955683622686957,0.06725983254787832,8.439295508421525e-6
GSE278723,15-SEP,-0.6510442190391682,0.16682447028457928,9.517659160521833e-5
GSE278723,2-MAR,0.9576447684971642,0.10401558685430279,3.361705743690192e-20
GSE278723,2-SEP,-0.53661221461418,0.21954766745809798,0.014518511602647019
GSE278723,4-MAR,0.460051067036415,0.1988521954216799,0.020693366152797984
GSE278723,5-MAR,-0.40592963592603515,0.0717931188177703,1.5661211243755388e-8
GSE278723,5-SEP,0.532095068864309,0.08534910685388321,4.536963316838689e-10
GSE278723,6-MAR,-0.6318780464213406,0.07904704147047112,1.3095206334346328e-15
GSE278723,7-MAR,-0.5267051107566564,0.09336171984572396,1.685229367702358e-8
GSE278723,7-SEP,-1.1003671340158727,0.08308484184537539,4.8941570542314916e-40
GSE278723,8-SEP,0.35229434992552,0.14357493028075066,0.014138244591621291
GSE278723,9-MAR,0.48688733031506815,0.06853800175255885,1.2128181523113583e-12
GSE278723,9-SEP,0.7890679836860448,0.14160189938369558,2.5119708176200765e-8
GSE278723,A1BG,0.6183807232383144,0.09646386706228514,1.4505199742106292e-10
GSE278723,A2ML1,0.5568483899854564,0.15770839695721575,4.1418987888530706e-4
GSE278723,A4GALT,0.453364724884018,0.178849385248037,0.011248047441705598
GSE278723,AADAT,-0.4391599315789596,0.08851173237909683,6.991437077635252e-7
GSE278723,AAED1,-0.8998499521136826,0.08252000907385657,1.0954111445220245e-27
GSE278723,AAGAB,-0.409400958619385,0.1483854963471265,0.005797210959961462
GSE278723,AAK1,-0.4464536536446961,0.13088422551550535,6.471138065460927e-4
GSE278723,AAMP,0.42324124384615547,0.06628031097074609,1.7069828375559954e-10
GSE278723,AAR2,0.46094582632510145,0.08969614836030394,2.76248316793171e-7
GSE278723,AARS,0.250635643675217,0.12255256286982506,0.040842267911098434
GSE278723,AARS2,0.4637817827540482,0.0528948535657162,1.8187678923750555e-18
GSE278723,AASDH,-0.4229694946170257,0.06636230862488186,1.8459306904717136e-10
GSE278723,AASDHPPT,-0.6934835025599544,0.09098247505463063,2.4945448380707365e-14
GSE278723,AASS,-0.508058337219222,0.2106753208214529,0.015883991304889135
GSE278723,AATK,0.7031842843705238,0.13350858706229662,1.3870199811560336e-7
GSE278723,ABCA1,0.559779153993272,0.18846921808279185,0.002976682218642025
GSE278723,ABCA10,-0.7554642347552039,0.09037031623889819,6.290447659584681e-17
GSE278723,ABCA2,0.8804331564386471,0.09665971435997774,8.346392793955272e-20
GSE278723,ABCA3,0.6770214154149501,0.05281625404677305,1.292932616960716e-37
GSE278723,ABCA5,-1.134370144502993,0.09849718987080361,1.0859781841776877e-30
GSE278723,ABCA6,-1.1241735487071476,0.1261628229142698,5.080396449273035e-19
GSE278723,ABCA7,0.633574417043112,0.13247492006719674,1.7304313460763477e-6
GSE278723,ABCA8,-0.6198060895709463,0.12210015250117831,3.850364962858617e-7
GSE278723,ABCA9,-0.6932886288458596,0.0948868465251318,2.7423597438807345e-13
GSE278723,ABCB1,-0.6186016545059655,0.1885687848682369,0.0010361984457011777
GSE278723,ABCB7,-0.3681422887895272,0.08229358074249314,7.694100397028071e-6
GSE278723,ABCB8,0.4504146995774678,0.09678333282093662,3.258006091586271e-6
GSE278723,ABCB9,0.48344347035321,0.06763553074958192,8.819652521678564e-13
GSE278723,ABCC1,0.38970852048230037,0.06608363799834051,3.697185616867817e-9
GSE278723,ABCC4,-0.5278996465408315,0.08849626330477971,2.443052120527144e-9
GSE278723,ABCC6,1.17609354651088,0.3670399361247237,0.001354073637785724
GSE278723,ABCC8,0.6858498962435688,0.13181271017479332,1.9586983750519084e-7
GSE278723,ABCC9,-0.7039499405744731,0.10301517971275882,8.289156744160002e-12
GSE278723,ABCD1,0.8236781986198175,0.09942483592404582,1.18675037297321e-16
GSE278723,ABCD2,-0.5559702921892156,0.13816830392465704,5.725128876602889e-5
GSE278723,ABCD3,-0.5303470641591348,0.07265051470880743,2.8781757864462815e-13
GSE278723,ABCE1,-1.0657299948060979,0.08987964934129607,1.97232313540499e-32
GSE278723,ABCF1,0.5670889967318424,0.0565876407950829,1.2271625816716967e-23
GSE278723,ABCF2,0.2506279015209484,0.059680308299790596,2.6749618596523636e-5
GSE278723,ABCF3,0.30866311089924897,0.08610776417665851,3.3757688365312243e-4
GSE278723,ABCG2,-0.730495183766429,0.327234343045157,0.025593131700189217
GSE278723,ABCG4,0.6187907942332855,0.09976482556026858,5.557508377560884e-10
GSE278723,ABHD1,0.8261392061110041,0.3128652115615152,0.008276925787101647
GSE278723,ABHD10,-0.6306047469279736,0.18665881281670854,7.29137547950228e-4
GSE278723,ABHD12,0.7176522907799368,0.06812034410450837,5.95417778647773e-26
GSE278723,ABHD13,-1.0798931553199256,0.07911374094186258,2.022082858491945e-42
GSE278723,ABHD14A,0.7221525173671219,0.08632771364050032,5.998988888879146e-17
GSE278723,ABHD14A-ACY1,1.128510015314168,0.26332667756976036,1.822553449860316e-5
GSE278723,ABHD14B,0.4760259349291264,0.11047549835241298,1.640815511926266e-5
GSE278723,ABHD15,0.524249631701793,0.08518976084847597,7.55983346928484e-10
GSE278723,ABHD16A,0.3508364335400657,0.06913231390762353,3.8779264488874923e-7
GSE278723,ABHD17A,1.0024593002192874,0.10893841062344113,3.511068775820662e-20
GSE278723,ABHD17B,-0.5603668149231,0.11390410870344485,8.670506765439395e-7
GSE278723,ABHD18,-0.42468371725504617,0.08385247869972426,4.0914468129408657e-7
GSE278723,ABHD3,-0.7109205056584599,0.09614186083201696,1.4194673574893758e-13
GSE278723,ABHD4,0.7181741383471185,0.10006962418176509,7.139085357461955e-13
GSE278723,ABHD5,-0.375424875302642,0.15191649545872138,0.01346385927011915
GSE278723,ABHD8,0.772667067229145,0.08196564835234188,4.231204950156953e-21
GSE278723,ABI2,-0.4361247218439927,0.06243923126246872,2.852887674383877e-12
GSE278723,ABI3,0.7437359161085252,0.1894072003048616,8.613693067444966e-5
GSE278723,ABI3BP,0.739668426384357,0.3326867780505201,0.026194379924627188
GSE278723,ABL1,0.3880318746383119,0.08987620503211098,1.5787513598761278e-5
GSE278723,ABL2,-0.43075509258025,0.07722034770574467,2.429378816902881e-8
GSE278723,ABLIM2,0.47739503525914456,0.07855403302690597,1.222364544107767e-9
GSE278723,ABLIM3,0.704376694837874,0.1064007044666558,3.5910681651743696e-11
GSE278723,ABR,0.4780913852027847,0.06797785712826683,2.020729420960209e-12
GSE278723,ABTB1,0.6508933667359441,0.06169705003784732,5.0889285328228096e-26
GSE278723,ABTB2,0.575536572223151,0.23333873521730594,0.013642998257841148
GSE278723,AC007325.2,1.8256746604937366,0.12752124417446087,1.7227323738883172e-46
GSE278723,AC007325.4,0.5026311516276131,0.1425834384342875,4.2320783307074763e-4
GSE278723,AC011043.1,-1.1932159877759125,0.15629357985811626,2.267812218533452e-14
GSE278723,AC013461.1,-0.592215800323271,0.07733677898788416,1.8940777007668313e-14
GSE278723,AC024592.12,1.5611599331808828,0.1272716277863666,1.372832820808256e-34
GSE278723,AC025335.1,-0.4710903335010375,0.07099089336631369,3.2247103363554416e-11
GSE278723,AC069368.3,1.3795253638442573,0.25147897883020875,4.119545694956013e-8
GSE278723,AC092835.2,-0.523194148702249,0.2330845393776096,0.024790351850476917
GSE278723,AC093323.3,0.491572139562806,0.17651136672159642,0.005353896272004148
GSE278723,ACAA1,0.582182803859037,0.048018209989812016,7.861577518143268e-34
GSE278723,ACACB,0.7389975265866359,0.1309427508174675,1.664640921373613e-8
GSE278723,ACADL,-0.7152466738953235,0.15403867062570414,3.428996041357838e-6
GSE278723,ACADM,-0.45321068127300673,0.06789739582524913,2.4734232640388116e-11
GSE278723,ACADS,0.8736853001707952,0.08710269931472407,1.1192645875649172e-23
GSE278723,ACADSB,-0.7561813572336403,0.12802845274365798,3.4976209338569488e-9
GSE278723,ACADVL,0.30736330852755345,0.08113384038208622,1.5165167848043152e-4
GSE278723,ACAP2,-0.4111413406477542,0.057199049013958184,6.579292582959448e-13
GSE278723,ACAP3,0.5038184566691608,0.08376548708783785,1.8029743018270238e-9
GSE278723,ACAT1,-0.41564445797803024,0.10207931514380178,4.665534435093984e-5
GSE278723,ACAT2,-0.456565658684121,0.21417234797024728,0.03302596161532545
GSE278723,ACBD4,0.44076889882389875,0.06348048205945628,3.828368137681346e-12
GSE278723,ACBD5,-0.328299887693167,0.13907286031976646,0.018243809034059436
GSE278723,ACD,0.42120674146939907,0.06561835423260694,1.3713773588360025e-10
GSE278723,ACE,0.6857169582183582,0.11955203482016082,9.709914787407631e-9
GSE278723,ACER2,-0.5088653844042292,0.13766341314369324,2.1863866567106528e-4
GSE278723,ACER3,-0.976548419739702,0.12805098971551257,2.4168738007591085e-14
GSE278723,ACHE,0.6227265496865335,0.10960165805197539,1.3334245204713446e-8
GSE278723,ACIN1,0.299196224479846,0.14075479942506872,0.03353194829485456
GSE278723,ACKR1,0.46978848124968614,0.15187093462955345,0.0019791704857378568
GSE278723,ACKR3,0.8607741900719824,0.11434435128592634,5.155820182299601e-14
GSE278723,ACO2,0.6546343751034853,0.056258422032519316,2.6976218561696295e-31
GSE278723,ACOT11,0.6372044702900189,0.10686657301130083,2.4822942909686186e-9
GSE278723,ACOT7,0.6482017475825954,0.1127356164095804,8.937486313360555e-9
GSE278723,ACOT9,-0.41102177354513403,0.13552026045376814,0.0024220178148983656
GSE278723,ACOX2,0.7145508566754583,0.15119363606484318,2.289131086791821e-6
GSE278723,ACOX3,0.2807608836714574,0.07033995094235669,6.56607453736419e-5
GSE278723,ACP1,-0.46121345950811804,0.09816482349268443,2.6226175043175265e-6
GSE278723,ACP2,0.6411734885205863,0.0711928752147743,2.1342333117569357e-19
GSE278723,ACP6,-0.341429783593059,0.14772911633557895,0.020822464429200094
GSE278723,ACRC,-0.8717756192647961,0.19611500403267815,8.779930155737516e-6
GSE278723,ACSBG1,0.5301282916754582,0.09335340166318465,1.3570248049174913e-8
GSE278723,ACSF2,0.7281016843161798,0.07753707847969556,5.979110488648462e-21
GSE278723,ACSF3,0.4241197718478393,0.09238402562984754,4.414773119549835e-6
GSE278723,ACSL3,-0.9978892731554663,0.09110192903395486,6.389543185470002e-28
GSE278723,ACSL4,-0.8212308493404935,0.10854957039379509,3.864008612926792e-14
GSE278723,ACSL5,-0.5703390930033451,0.14522856227695977,8.59467052234087e-5
GSE278723,ACSM5,1.0201558619863578,0.18153347145992257,1.9133682572932846e-8
GSE278723,ACSS1,0.73876664584338,0.1141935253380905,9.837541353305014e-11
GSE278723,ACTB,0.5320624588339519,0.07531862446577041,1.6159596242029803e-12
GSE278723,ACTG1,0.6713217320933669,0.08388498703601993,1.215394677718589e-15
GSE278723,ACTL6B,0.7405070477179189,0.28283945311490744,0.0088416238923773
GSE278723,ACTN1,0.5263553307169595,0.10327395672749745,3.4564384876590095e-7
GSE278723,ACTN4,0.5505538253896032,0.0715113393981894,1.373150012142606e-14
GSE278723,ACTR10,-0.6187000059662504,0.10024326976917619,6.743769313506098e-10
GSE278723,ACTR1A,0.32451403934881384,0.07097808613315032,4.830185067043973e-6
GSE278723,ACTR1B,0.6587316749658537,0.04986870658035065,7.752214822912934e-40
GSE278723,ACTR2,-0.8045143820482316,0.09549390618827844,3.6145355529248603e-17
GSE278723,ACTR3,-0.6130546880362718,0.06842743090054537,3.270576825440964e-19
GSE278723,ACTR3C,-0.5760333151845124,0.10307604523598088,2.291310423431798e-8
GSE278723,ACTR6,-0.9104437309686962,0.08985393100471915,3.96438391351408e-24
GSE278723,ACVR1C,-0.7488674117530514,0.13289697140610002,1.7511201966296597e-8
GSE278723,ACVR2A,-0.6640660559121809,0.10819831567650003,8.383561479018233e-10
GSE278723,ACY1,1.050235733319497,0.1510082104016783,3.5299901735171585e-12
GSE278723,ACYP1,-0.5072187003666344,0.13225030204427157,1.254145301586465e-4
GSE278723,ACYP2,-0.3835828455858687,0.08044827100896462,1.8600079104631804e-6
GSE278723,ADAL,-0.4647638526119351,0.07334826940439537,2.3519823965737677e-10
GSE278723,ADAM10,-0.6492647841967052,0.04960042315364124,3.760821844111341e-39
GSE278723,ADAM11,0.496403973119872,0.20934011653547238,0.017726609706268995
GSE278723,ADAM12,-0.47175608355103,0.2193193017349096,0.03147610412705365
GSE278723,ADAM15,0.48951031178904214,0.08885266713976483,3.603944741968891e-8
GSE278723,ADAM17,-0.5342769929964267,0.05550528765184258,6.2284181203208395e-22
GSE278723,ADAM20,-0.6015557713280362,0.09776023792567666,7.584936731372608e-10
GSE278723,ADAM22,-0.6336497201580534,0.12693761261771883,5.981296818140226e-7
GSE278723,ADAM28,-0.7416168366494612,0.23479888674843627,0.0015857275997337931
GSE278723,ADAM32,-0.9354555579488331,0.09211786113406041,3.1485649726410912e-24
GSE278723,ADAM8,0.5050566926415074,0.16101735007046367,0.001708841268914608
GSE278723,ADAM9,-0.40344058000109084,0.06835168829903494,3.58201222466856e-9
GSE278723,ADAMTS1,-0.6631564660001072,0.21562742821528175,0.0021016852343610144
GSE278723,ADAMTS10,0.6010847163341768,0.09491455633255425,2.4059020939459757e-10
GSE278723,ADAMTS13,0.5742145092489531,0.067282030198061,1.408348229254595e-17
GSE278723,ADAMTS17,0.4849002948882017,0.14230370914481627,6.556022317861271e-4
GSE278723,ADAMTS19,-0.682882051836365,0.2535872644089483,0.007083610171479548
GSE278723,ADAMTS2,0.8901392141623186,0.14599183594129508,1.0795264521231617e-9
GSE278723,ADAMTS5,-0.543201608063106,0.23906477974010004,0.023074782905852607
