SYMBOL,logFC,SE,P.Value,acc,region
1-MAR,-0.50776395040296,0.1566706822554702,0.00300325576915736,GSE278723_CA1,hippocampus_CA1
1-SEP,1.93900494514519,0.32168355617452876,1.51635883881634e-6,GSE278723_CA1,hippocampus_CA1
2-MAR,0.95522770381874,0.24598378463086004,5.5344477289539e-4,GSE278723_CA1,hippocampus_CA1
5-MAR,-0.38767846195027,0.1453689938867372,0.0124265878991003,GSE278723_CA1,hippocampus_CA1
5-SEP,0.512672074659034,0.21619287202055315,0.024628540445717,GSE278723_CA1,hippocampus_CA1
6-MAR,-0.462229690556049,0.17098708075801713,0.0113933825869103,GSE278723_CA1,hippocampus_CA1
7-MAR,-0.687044808142458,0.2059003934113056,0.00234696289236895,GSE278723_CA1,hippocampus_CA1
7-SEP,-1.20708987081828,0.1902697942091194,6.41476962828245e-7,GSE278723_CA1,hippocampus_CA1
9-MAR,0.422259160493375,0.13890140661663478,0.0049965508556133,GSE278723_CA1,hippocampus_CA1
9-SEP,0.957155238246378,0.23239506839433743,2.9254929906493e-4,GSE278723_CA1,hippocampus_CA1
A1BG,0.672385326664815,0.18124384518505085,8.8081392917925e-4,GSE278723_CA1,hippocampus_CA1
A2ML1,0.582228332437675,0.23248908249725977,0.0181852534804626,GSE278723_CA1,hippocampus_CA1
AADAT,-0.394380711679237,0.17848812600173825,0.035242541239925,GSE278723_CA1,hippocampus_CA1
AAED1,-0.866826417258724,0.1965897168499988,1.3201528116797e-4,GSE278723_CA1,hippocampus_CA1
AAK1,-0.513497424178399,0.1906434008462194,0.0116631762341232,GSE278723_CA1,hippocampus_CA1
AAMP,0.483829627039214,0.1503585543173598,0.00318625347378971,GSE278723_CA1,hippocampus_CA1
AAR2,0.517078488524645,0.13602177539277005,6.8956606735367e-4,GSE278723_CA1,hippocampus_CA1
AARS2,0.398101317690721,0.14267649321462086,0.00924386024474903,GSE278723_CA1,hippocampus_CA1
AASDH,-0.399228786013572,0.12848154686980265,0.00421896946865343,GSE278723_CA1,hippocampus_CA1
AASDHPPT,-0.685286375375741,0.18947742700150588,0.00112795179706221,GSE278723_CA1,hippocampus_CA1
AATK,0.85028383806923,0.22940000326645388,8.8855064446828e-4,GSE278723_CA1,hippocampus_CA1
ABCA1,0.559779153993272,0.18846921808279185,0.00594697485078435,GSE278723_CA1,hippocampus_CA1
ABCA10,-0.75857908161679,0.23742582571280288,0.00337732806193336,GSE278723_CA1,hippocampus_CA1
ABCA2,1.07035035447341,0.21102749876120666,2.11283069779261e-5,GSE278723_CA1,hippocampus_CA1
ABCA3,0.700332506166554,0.10509873778926686,2.71553141524649e-7,GSE278723_CA1,hippocampus_CA1
ABCA5,-1.0751258833819,0.2424553603809971,1.2323915851407e-4,GSE278723_CA1,hippocampus_CA1
ABCA6,-0.884134857716959,0.3121075402017236,0.0083364002304546,GSE278723_CA1,hippocampus_CA1
ABCA8,-0.50067405809645,0.185748014531364,0.0116090289362493,GSE278723_CA1,hippocampus_CA1
ABCA9,-0.668398934703487,0.22368785854408013,0.00568754700127744,GSE278723_CA1,hippocampus_CA1
ABCB8,0.48818915822635,0.19744732046635013,0.0195679694021181,GSE278723_CA1,hippocampus_CA1
ABCB9,0.458712442558134,0.1506958496950679,0.00494712206696259,GSE278723_CA1,hippocampus_CA1
ABCC1,0.372160118101645,0.16565317736916949,0.0325006374295775,GSE278723_CA1,hippocampus_CA1
ABCC4,-0.46655944163457,0.17075599146026332,0.0106287657788744,GSE278723_CA1,hippocampus_CA1
ABCC6,1.17609354651088,0.3670399361247237,0.00329859602514791,GSE278723_CA1,hippocampus_CA1
ABCC9,-0.52952832576671,0.1805528204286841,0.00652260714303703,GSE278723_CA1,hippocampus_CA1
ABCD1,1.0361328051789,0.2112097098918566,3.35033626933044e-5,GSE278723_CA1,hippocampus_CA1
ABCD2,-0.512264103415922,0.20509554972022803,0.0184661319516904,GSE278723_CA1,hippocampus_CA1
ABCD3,-0.508891288711374,0.16942570395022066,0.00547171674411557,GSE278723_CA1,hippocampus_CA1
ABCE1,-1.10091104966371,0.18922667638704596,2.69304565576037e-6,GSE278723_CA1,hippocampus_CA1
ABCF1,0.56851865586488,0.12044972150298815,5.60283531892543e-5,GSE278723_CA1,hippocampus_CA1
ABCG4,0.47605018942129,0.19436861846083026,0.0206405052694129,GSE278723_CA1,hippocampus_CA1
ABHD1,0.826139206111004,0.3128652115615152,0.0132257029105169,GSE278723_CA1,hippocampus_CA1
ABHD12,0.855779351811075,0.1704372712489297,2.43361766985705e-5,GSE278723_CA1,hippocampus_CA1
