SYMBOL,k,agree_frac
A4GALT,3,1
AAGAB,3,1
AASDHPPT,3,1
ABCA1,3,1
ABCA10,3,1
ABCA5,3,1
ABCC12,3,1
ABHD10,3,1
ABHD15,3,1
ABI2,3,1
ABL1,3,1
ABRACL,3,1
ABTB2,3,1
ACACB,3,1
ACADSB,4,1
ACP1,3,1
ACSL3,3,1
ACSL4,5,1
ACTR10,3,1
ACTR2,5,1
ADAM33,4,1
ADAMTS2,4,1
ADAMTSL5,3,1
ADAT2,4,1
ADAT3,3,1
ADCYAP1,3,1
ADCYAP1R1,3,1
ADGRB3,3,1
ADRA1A,3,1
ADRA2C,4,1
AEBP1,4,1
AFG3L2,3,1
AGFG2,3,1
AGL,4,1
AHI1,3,1
AHNAK,3,1
AIFM3,3,1
AIG1,4,1
AK5,3,1
AKT1S1,3,1
ALG14,3,1
ALG5,3,1
ALKBH8,3,1
ALOX15B,3,1
AMACR,4,1
AMY2B,3,1
ANKRD31,3,1
ANKRD42,3,1
ANKRD46,3,1
ANKRD9,3,1
ANO2,3,1
ANO7,3,1
ANTXR1,3,1
ANXA6,3,1
AP3M2,3,1
AP3S1,3,1
APBA3,4,1
APLN,3,1
APOL2,4,1
AQP6,3,1
ARAP1,5,1
ARF3,3,1
ARHGAP20,3,1
ARHGAP27,3,1
ARHGAP9,3,1
ARHGEF10L,4,1
ARHGEF16,3,1
ARHGEF40,4,1
ARL1,3,1
ARL6,3,1
ARL6IP1,3,1
ARL6IP6,3,1
ARL8B,3,1
ARMCX5,3,1
ARPC1B,3,1
ARPC5L,3,1
ASAH2B,3,1
ASCL1,3,1
ATAD1,3,1
ATL1,3,1
ATOH8,4,1
ATP1A1,3,1
ATP1B1,5,1
ATP2B1,3,1
ATP2B1-AS1,3,1
ATP6AP2,3,1
ATP6V0E2,3,1
ATP6V1A,3,1
ATP6V1B2,3,1
ATP6V1D,3,1
ATP6V1E1,3,1
ATP6V1G2,3,1
ATP6V1H,3,1
ATR,4,1
ATRN,3,1
ATXN10,3,1
AXIN1,4,1
AZGP1,3,1
B3GALNT1,3,1
B4GALT6,3,1
BBS7,3,1
BCAM,4,1
BCAR1,3,1
BCAR3,3,1
BCAS2,3,1
BCAT1,4,1
BCL6,4,1
BCL7C,3,1
BCL9L,4,1
BEX1,3,1
BEX2,3,1
BEX3,3,1
BEX4,4,1
BEX5,3,1
BGN,3,1
BLOC1S2,3,1
BLOC1S6,3,1
BMP1,3,1
BNC2,3,1
BOC,3,1
BORCS7,3,1
BPGM,3,1
BRI3,3,1
BRPF3,4,1
BTBD3,3,1
C11ORF87,3,1
C15ORF39,3,1
C17ORF67,3,1
C17ORF75,3,1
C1ORF74,3,1
C1QL1,3,1
C1QL3,3,1
C1QTNF5,3,1
C2CD5,3,1
C2ORF69,3,1
C2ORF80,3,1
C5ORF22,4,1
C5ORF34,3,1
C9ORF72,3,1
CACFD1,4,1
CACNA2D1,4,1
CACNA2D3,4,1
CACNB4,3,1
CALM2,3,1
CAMK4,3,1
CAPG,3,1
CAPN15,3,1
CAPS,3,1
CARHSP1,3,1
CARTPT,3,1
CASC3,3,1
CASKIN2,3,1
CCDC102A,4,1
CCDC120,3,1
CCDC157,3,1
CCDC17,3,1
CCDC184,3,1
CCDC40,4,1
CCDC69,3,1
CCDC85C,3,1
CCDC88B,3,1
CD151,3,1
CD200,4,1
CD37,3,1
CD47,3,1
CD82,3,1
CD99L2,3,1
CDC123,3,1
CDC40,3,1
CDC42,3,1
CDC42EP4,4,1
CDC7,3,1
CDH20,3,1
CDH23,4,1
CDH7,3,1
CDH8,3,1
CDK11A,3,1
CDK14,4,1
CDK2AP1,4,1
CDK2AP2,4,1
CDK7,3,1
CDKL5,3,1
CDKN2C,4,1
CEBPA,3,1
CELF2,3,1
CENPB,3,1
CEP41,3,1
CERS1,4,1
CERS4,3,1
CFAP221,3,1
CFAP69,3,1
CFLAR,3,1
CGN,3,1
CGNL1,4,1
CHCHD7,4,1
CHGB,3,1
CHM,3,1
CHML,4,1
CHPT1,3,1
CHST11,4,1
CHST3,3,1
CHST6,4,1
CIC,3,1
CIITA,3,1
CISD1,3,1
CKMT1B,3,1
CLDN15,3,1
CLDN9,4,1
CLGN,3,1
CLIP2,3,1
CLK2,3,1
CLN3,3,1
CLTC,3,1
CMAS,4,1
CMSS1,4,1
CMTM3,3,1
CNNM3,3,1
CNTN4,3,1
CNTN5,3,1
CNTNAP2,4,1
COA7,4,1
COBL,3,1
COG1,3,1
COL18A1,3,1
COL25A1,4,1
COL27A1,3,1
COL6A2,3,1
COL8A2,4,1
COLGALT1,3,1
COPS4,3,1
COPS8,3,1
COQ3,3,1
COX6C,3,1
CPD,3,1
CREBBP,3,1
CREG2,3,1
CROCC,3,1
CROT,3,1
CRTAP,3,1
CSF1,4,1
CSK,3,1
CSMD3,3,1
CSRNP1,3,1
CSRNP3,4,1
CSRP1,3,1
CTDSP2,3,1
CTSH,3,1
CTSO,3,1
CXCL16,3,1
CXXC1,3,1
CYCS,4,1
CYP4X1,3,1
DCAF8,3,1
DCBLD1,3,1
DCC,4,1
DCHS1,3,1
DCLK1,3,1
DCTN1-AS1,3,1
DCTN6,3,1
DDAH2,3,1
DDHD1,3,1
DDHD2,3,1
DDIT4,3,1
DDR1,3,1
DDX1,3,1
DDX24,3,1
DDX25,3,1
DDX39A,3,1
DGKB,4,1
DGKE,3,1
DGKI,3,1
DHRS7B,3,1
DHX34,3,1
DHX35,3,1
DHX36,3,1
DHX57,3,1
DIO2,3,1
DISC1,3,1
DLAT,4,1
DLD,3,1
DLG2,3,1
DLG5,3,1
DMPK,3,1
DMXL2,4,1
DNAJA2,3,1
DNAJB14,3,1
DNAJB9,3,1
DNAJC6,3,1
DNALI1,3,1
DNM1L,4,1
DNM2,3,1
DOK1,3,1
DOK3,4,1
DOT1L,4,1
DPH6,3,1
DPP10,3,1
DPP6,3,1
DPP8,3,1
DSN1,3,1
DUS4L,3,1
DUSP1,3,1
DYNC1I1,3,1
DYNC1LI1,4,1
DYNC2LI1,4,1
DYNLT3,3,1
DZIP1L,3,1
E2F3,3,1
EBF4,4,1
EBNA1BP2,3,1
EBP,3,1
ECE1,3,1
EDA,3,1
EEF1D,3,1
EEF1E1,3,1
EFHD1,3,1
EFNB1,3,1
EGFR,4,1
EHD2,3,1
EHMT1,3,1
EIF1B,3,1
EIF4E,3,1
EIF4EBP1,3,1
EIF5A2,3,1
ELAVL2,3,1
ELAVL4,3,1
ELK1,3,1
ELK3,3,1
ELMOD1,3,1
ELN,4,1
ELOVL4,4,1
EMB,3,1
EMILIN1,3,1
EMP3,4,1
ENGASE,3,1
ENO2,3,1
ENPP5,3,1
ENY2,3,1
EPHA5,3,1
EPHA7,3,1
EPOR,3,1
ERICH3,3,1
ERLEC1,4,1
EVA1B,3,1
EVI2B,3,1
EXOC1,3,1
EXT1,3,1
EYA2,3,1
EZR,3,1
F3,3,1
FAAP20,3,1
FAM107A,4,1
FAM133A,4,1
FAM162A,3,1
FAM181B,4,1
FAM47E,3,1
FAM76A,3,1
FAM81A,3,1
FAM98A,3,1
FANCE,3,1
FANCM,4,1
FAR2,3,1
FARSB,4,1
FASTKD2,3,1
FAXC,3,1
FBRS,3,1
FBXL19-AS1,3,1
FBXL7,4,1
FBXO16,3,1
FBXW4,4,1
FBXW7,4,1
FECH,3,1
FEN1,3,1
FEZ2,3,1
FGD3,3,1
FGF12,3,1
FGF14,3,1
FGF9,3,1
FGFR1,4,1
FGFRL1,4,1
FIZ1,4,1
FKTN,3,1
FLCN,3,1
FLII,3,1
FLNA,3,1
FLRT3,3,1
FLT3LG,4,1
FLT4,3,1
FMNL3,3,1
FOCAD,3,1
FOXJ1,4,1
FOXO4,3,1
FOXO6,3,1
FPGT-TNNI3K,3,1
FRG1,3,1
FRRS1L,3,1
FSTL5,3,1
FUS,3,1
FXYD5,3,1
FYCO1,3,1
FZD1,3,1
FZD7,3,1
FZD9,3,1
G3BP2,4,1
GABARAPL1,5,1
GABRA2,3,1
GABRA4,3,1
GABRB2,3,1
GABRB3,3,1
GABRG3,3,1
GAD1,4,1
GAD2,4,1
GADD45G,3,1
GALM,3,1
GALNS,3,1
GALNTL6,3,1
GAREM2,4,1
GARNL3,3,1
GAS2,3,1
GAS7,4,1
GATA2,3,1
GATB,3,1
GBGT1,3,1
GCNT1,3,1
GDA,3,1
GDAP1,4,1
GDF11,3,1
GDPD1,3,1
GDPD3,3,1
GEN1,3,1
GFAP,4,1
GFM1,3,1
GHITM,3,1
GIT1,3,1
GJA1,3,1
GLIS2,3,1
GLMN,4,1
GLO1,3,1
GLOD4,3,1
GLRB,3,1
GMPR,3,1
GNA12,3,1
GNA13,3,1
GNG7,3,1
GOLT1B,3,1
GOT1,3,1
GOT2,3,1
GPATCH2,3,1
GPCPD1,3,1
GPER1,3,1
GPNMB,3,1
GPR108,3,1
