SYMBOL,max_loo_p,min_loo_p
A4GALT,7.236007001449402e-4,3.1201600695168782e-6
AAGAB,3.980830363266854e-6,2.9548354185466173e-13
AASDHPPT,0.0012105389431733295,1.7861927706359865e-13
ABCA1,0.0013866607077860648,3.60034839182161e-5
ABCA10,0.017468761317997326,4.8073259108286865e-18
ABCA5,0.03164013779819106,7.134535522083681e-7
ABCC12,6.268511208737967e-5,2.477822088376536e-11
ABCC8,0.8291734405668171,0.5073869675465357
ABHD10,0.024336309150505515,1.203149113542987e-5
ABHD15,0.013222713913846546,6.63328254336757e-11
ABHD3,0.7721457656197447,6.015649833362264e-4
ABI2,1.931153799795776e-4,2.1809186801840722e-13
ABL1,1.1453209429793346e-6,5.545408525906693e-10
ABRACL,5.132597504874171e-5,8.433861556241808e-10
ABTB2,5.24585562396282e-4,5.243274478111264e-8
ACACB,0.031732645413399346,8.613444281605696e-11
ACADSB,1.1519063546839787e-4,1.2354514132377653e-12
ACIN1,3.64542539712162e-5,1.3512904862009754e-9
ACOT7,0.982505243118362,9.97270559142406e-7
ACP1,4.782626853345937e-7,3.198562535891993e-8
ACP2,0.8155480570879752,2.1328256986441722e-14
ACSL3,0.07599228874622756,3.417695903690036e-7
ACSL4,5.034214701024127e-4,1.282799754729887e-9
ACTB,0.8841316967050848,0.01585673215731971
ACTG1,0.941965380863531,8.811831000676583e-4
ACTR10,7.459935278085577e-12,1.0312939637739359e-13
ACTR1B,0.9009326896160825,3.3695093562708845e-5
ACTR2,0.0022100830093009687,6.174009091570954e-6
ADAM11,0.9954133469301953,4.633141639326611e-5
ADAM12,0.9916635058701875,3.4718451322783266e-5
ADAM33,2.534378648567513e-8,6.0266314785053755e-12
ADAMTS2,3.1780677487875525e-4,9.437160624007386e-14
ADAMTS8,0.7021809975146611,4.2101531937547626e-10
ADAMTSL5,5.76678064039627e-6,3.049032261176116e-6
ADAT2,4.608576510077619e-4,1.887974769588968e-5
ADAT3,0.0028731309795638725,4.848371750132447e-4
ADCYAP1,4.357171678984537e-5,2.9346919149061955e-16
ADCYAP1R1,0.00516034594286937,0.0011818610349723041
ADGRB3,1.2580307152680899e-5,8.408261718818004e-9
ADH1B,0.9758320678337083,3.333627698378718e-5
ADRA1A,8.928471444920855e-4,1.7757957633356307e-4
ADRA2C,0.014650922217330936,9.747186958331616e-8
ADRB1,0.9145544146431033,0.001944352159897619
AEBP1,3.0756840860677184e-10,2.147191731457846e-15
AFG3L2,4.570520009021918e-7,3.942709871659508e-8
AGAP1,1.7105200162920035e-6,5.177118382512278e-9
AGFG2,1.3028227297183137e-4,1.293527870542561e-7
AGL,1.6375604557428092e-9,8.686914996743508e-19
AGT,0.9462632577280884,0.0020071245971351025
AHI1,1.7095470693872127e-6,4.021406280097676e-11
AHNAK,2.3171881547610776e-4,4.47087552324855e-6
AIFM3,5.447797665809365e-5,6.650838701524975e-19
AIG1,0.0012155365842455364,1.6925370828121786e-9
AK5,9.722514336601683e-4,1.525375651104202e-5
AK8,0.9172648351167011,0.04643559378813213
AKR1C2,0.5669008294884859,1.6575837323048083e-6
AKT1S1,0.022873504356478423,3.673882917236685e-18
ALDOA,0.843536438677384,1.154601970065894e-5
ALDOC,0.8530639703942136,0.0010241400455122682
ALG14,0.05717479673854095,4.231023829354974e-21
ALG5,3.1729628105393274e-4,1.1097062888147488e-6
ALKBH6,0.9104942844497107,1.4900314986942649e-8
ALKBH8,0.06063561950217074,1.1641807814347855e-6
ALOX15B,5.577782142582045e-9,1.538108040727125e-10
ALPK1,0.7585311695521862,1.554312428165431e-7
AMACR,5.1025176623190196e-8,4.549555474316982e-12
AMY2B,0.015013303888011838,1.3127832817515066e-7
ANAPC16,0.656130484329204,4.515504502451129e-9
ANGPT1,0.9484546858613485,8.165183758035628e-5
ANGPT2,0.9766299497880943,6.14403165259089e-9
