SYMBOL,k,meta_logFC,meta_se,meta_z,meta_p,ci_lb,ci_ub,tau2,I2,meta_FDR
CHML,4,-0.7544407569081075,0.0678200956191379,-11.124147644156588,9.571632769089796e-29,-0.8873657017496805,-0.6215158120665345,0,0,3.024635955032376e-26
CD37,3,0.8183069918393246,0.07987839607422309,10.244409402999942,1.2538830611157288e-24,0.6617482123910218,0.9748657712876275,0,0,1.9811352365628516e-22
TCEAL7,3,-0.783548234756426,0.07806893874891509,-10.03661952260514,1.0521836162378913e-23,-0.936560543015563,-0.630535926497289,0,0,1.1083000757705789e-21
SMOX,3,0.8235541652056204,0.08310399476656448,9.909922712126516,3.7693764869909674e-23,0.660673328491749,0.9864350019194918,0,0,2.977807424722864e-21
ID3,3,0.7732510906414675,0.08059933630268971,9.593764987561851,8.492807056271542e-22,0.615279294310364,0.9312228869725709,0,0,5.3674540595636144e-20
HSPB1,4,0.9528414575370784,0.09960863707008508,9.56585177314147,1.1128131659095339e-21,0.7576121163305903,1.1480707987435665,0,0,5.860816007123545e-20
CDH23,3,0.9872950719659191,0.1041415487861103,9.480318695794141,2.535076275459198e-21,0.783181387050922,1.1914087568809162,0,0,1.1444058614930095e-19
SLFN5,3,-0.7383848873659303,0.07846505806731892,-9.410365652599591,4.9441390804840924e-21,-0.8921735752227195,-0.5845961995091412,0,0,1.9529349367912164e-19
AIFM3,3,0.9313756242310273,0.10039573041744601,9.277044156742146,1.7424526577751574e-20,0.7346036084112407,1.128147640050814,0,0,6.117944887299442e-19
PRELP,4,0.761820511754901,0.08226875948085077,9.260143419717245,2.0415779818657568e-20,0.6005767061196453,0.9230643173901566,0,0,6.451386422695792e-19
SMO,3,0.8447357121629382,0.09293552461695867,9.089481289792953,9.951267164711032e-20,0.6625854310293636,1.0268859932965126,0,0,2.8587276582260785e-18
PPEF1,3,-1.3872613708606882,0.153118883362232,-9.060028001764199,1.3041707168681393e-19,-1.6873688676036522,-1.0871538741177242,0,0,3.4343162210861e-18
LRP4,3,0.7059883012420223,0.07843046398595985,9.001455115303207,2.227455352217271e-19,0.5522674165387752,0.8597091859452693,0,0,5.414429933081982e-18
ZNF365,3,-0.6335986771560262,0.0705842725139304,-8.97648519407748,2.795543949395553e-19,-0.7719413091582903,-0.4952560451537622,0,0,6.309942057207106e-18
UBLCP1,3,-0.7739237562999706,0.08632805897732361,-8.964915526518006,3.105187858417994e-19,-0.9431236427507745,-0.6047238698491666,0,0,6.541595755067241e-18
SIPA1,3,0.689208416559861,0.07709336107143662,8.939919170487629,3.8945513018005526e-19,0.538108205412703,0.840308627707019,0,0,7.691738821056091e-18
TAC1,3,-1.5215625050377033,0.1728211727471451,-8.804259807123886,1.3171895297972787e-18,-1.8602857793880827,-1.1828392306873239,0,0,2.4484228906820006e-17
LYRM9,3,-0.935946399191687,0.10649503640363357,-8.78863870842109,1.5138304773756383e-18,-1.1446728350750908,-0.7272199633082832,0,0,2.6576135047261207e-17
KANK2,3,0.8449067717408068,0.09650162192372787,8.755363432218756,2.03446839481155e-18,0.6557670683205993,1.0340464751610141,0,0,3.38364217242342e-17
EMP3,3,0.7692022281485058,0.08886792870206323,8.65556606734154,4.904712884847842e-18,0.5950242885117886,0.943380167785223,0,0,7.74944635805959e-17
PCYOX1L,3,-0.9058120008720607,0.10480436640642035,-8.642884184418582,5.4811473616792006e-18,-1.111224784451184,-0.7003992172929373,0,0,7.948860887312662e-17
GAREM2,3,1.0380994804107548,0.12012554711725333,8.64178774060006,5.534017073445524e-18,0.802657734437769,1.2735412263837407,0,0,7.948860887312662e-17
MDGA1,3,0.8828680797964548,0.10250389762352641,8.613019604766926,7.116091905835738e-18,0.6819641321793621,1.0837720274135474,0,0,9.776891488017796e-17
ADCYAP1,3,-1.3447877810498436,0.1575602977428133,-8.53506752852771,1.4007359195030228e-17,-1.6536002900191653,-1.035975272080522,0,0,1.8443022940123133e-16
WFIKKN1,3,1.0013886654084403,0.11743576269818486,8.52711850632804,1.5003814399033748e-17,0.7712188000230057,1.2315585307938748,0,0,1.855741781232461e-16
PPP1R1A,3,0.7757539125577996,0.09099653794457715,8.525092603306343,1.5268761491153162e-17,0.5974039754685959,0.9541038496470032,0.0019717655300312952,7.092266295400769,1.855741781232461e-16
