SYMBOL,logFC,SE,P.Value,acc,region,study_id
1-SEP,1.93900494514519,0.32168355617452876,1.51635883881634e-6,GSE278723_CA1,hippocampus_CA1,GSE278723
7-SEP,-1.20708987081828,0.1902697942091194,6.41476962828245e-7,GSE278723_CA1,hippocampus_CA1,GSE278723
ABCA2,1.07035035447341,0.21102749876120666,2.11283069779261e-5,GSE278723_CA1,hippocampus_CA1,GSE278723
ABCA5,-1.0751258833819,0.2424553603809971,1.2323915851407e-4,GSE278723_CA1,hippocampus_CA1,GSE278723
ABCC6,1.17609354651088,0.3670399361247237,0.00329859602514791,GSE278723_CA1,hippocampus_CA1,GSE278723
ABCD1,1.0361328051789,0.2112097098918566,3.35033626933044e-5,GSE278723_CA1,hippocampus_CA1,GSE278723
ABCE1,-1.10091104966371,0.18922667638704596,2.69304565576037e-6,GSE278723_CA1,hippocampus_CA1,GSE278723
ABHD13,-1.11528828486312,0.17123314653688382,4.0640491064716e-7,GSE278723_CA1,hippocampus_CA1,GSE278723
ABHD14A-ACY1,1.06692590310323,0.33688508347568263,0.003626588333616,GSE278723_CA1,hippocampus_CA1,GSE278723
ABHD17A,1.03191641996348,0.24565084568327294,2.338577642491e-4,GSE278723_CA1,hippocampus_CA1,GSE278723
ABHD4,1.07895075060462,0.2549514919614174,2.1471588280645e-4,GSE278723_CA1,hippocampus_CA1,GSE278723
AC007325.2,2.05918890766675,0.24824423824278913,4.0239911053026204e-9,GSE278723_CA1,hippocampus_CA1,GSE278723
AC011043.1,-1.17038618890914,0.41681107788755356,0.00885531183484384,GSE278723_CA1,hippocampus_CA1,GSE278723
AC024592.12,1.77945929653528,0.3012494387296144,2.10987763882952e-6,GSE278723_CA1,hippocampus_CA1,GSE278723
AC069368.3,1.45728568404911,0.5105905240673086,0.00791373157855844,GSE278723_CA1,hippocampus_CA1,GSE278723
ACADS,1.01591645439148,0.17137537029775154,1.99145559732912e-6,GSE278723_CA1,hippocampus_CA1,GSE278723
ACKR3,1.18547630371239,0.22207987865609574,1.01147082989089e-5,GSE278723_CA1,hippocampus_CA1,GSE278723
ACSL3,-1.0259196519093,0.1858752016551144,6.12731974007436e-6,GSE278723_CA1,hippocampus_CA1,GSE278723
ACSM5,1.18619112596762,0.3256973705195662,0.00105485998893665,GSE278723_CA1,hippocampus_CA1,GSE278723
ACY1,1.15482557320079,0.29074709508975394,4.3569590454278e-4,GSE278723_CA1,hippocampus_CA1,GSE278723
ADAM32,-1.00145590371441,0.17273600139149609,2.84773574969477e-6,GSE278723_CA1,hippocampus_CA1,GSE278723
ADAMTS9,-1.30103352845479,0.32921185317725343,4.5985681342844e-4,GSE278723_CA1,hippocampus_CA1,GSE278723
ADAT3,1.31233308106527,0.30371142031980103,1.6826198119953e-4,GSE278723_CA1,hippocampus_CA1,GSE278723
ADCYAP1R1,1.17959285160535,0.3246010681879754,0.00107754834957036,GSE278723_CA1,hippocampus_CA1,GSE278723
ADIRF,1.78149095623737,0.23686295628734888,2.85032930817699e-8,GSE278723_CA1,hippocampus_CA1,GSE278723
ADORA1,1.01542387247766,0.18624894073539966,7.38169971243027e-6,GSE278723_CA1,hippocampus_CA1,GSE278723
ADRA1B,1.14044384099518,0.5303656020537251,0.0400607576075096,GSE278723_CA1,hippocampus_CA1,GSE278723
AEBP1,1.23963083483939,0.31593683771353687,4.9637667090945e-4,GSE278723_CA1,hippocampus_CA1,GSE278723
AGFG2,1.02526510667299,0.1916598159597562,9.80233919673561e-6,GSE278723_CA1,hippocampus_CA1,GSE278723
AGT,1.36330373001097,0.1849435443674055,4.19910026980729e-8,GSE278723_CA1,hippocampus_CA1,GSE278723
AGTPBP1,-1.09597011513263,0.2908585893577169,7.5404233674975e-4,GSE278723_CA1,hippocampus_CA1,GSE278723
AIFM3,1.06385725128952,0.2635635521438764,3.6582450585308e-4,GSE278723_CA1,hippocampus_CA1,GSE278723
AK8,1.0153167879655,0.33359434560161677,0.0049520175530658,GSE278723_CA1,hippocampus_CA1,GSE278723
ALDH4A1,1.00392188730268,0.3304458901286229,0.00502049109063446,GSE278723_CA1,hippocampus_CA1,GSE278723
