SYMBOL,m_regions,beta_pooled,se_pooled,Q,Q_df,Q_p,I2,se_rho0.0,se_rho0.3,se_rho0.5,se_rho0.7,Q_FDR
1-SEP,2,1.6400258133355528,0.2204223522338452,1.6283753727829633,1,0.20192790464512125,38.58909826848111,0.2204223522338452,0.2513201491595764,0.26996114543847227,0.2873955857686618,0.999982337712459
2-MAR,2,1.0319949199193443,0.16241427510710563,0.01399479868592364,1,0.9058302631912268,0,0.16241427510710563,0.18518076516241253,0.19891605047821023,0.21176230658349754,0.999982337712459
7-SEP,4,-1.1587075633758388,0.09317636897748188,1.1193811964909335,3,0.7723975656334526,0,0.09317636897748188,0.1284347612528357,0.1473247750365485,0.1640539264420889,0.999982337712459
ABCA5,5,-1.134370144502993,0.09849718987080361,0.28986379280056307,4,0.9904590660106983,0,0.09849718987080361,0.1460949421006056,0.17060213725899043,0.19200637064246467,0.999982337712459
ABCA6,3,-1.2304500898203192,0.1518307894389343,0.9095460012258696,2,0.6345920035954605,0,0.1518307894389343,0.19205244542738842,0.2147211616103546,0.23521524757540702,0.999982337712459
ABCE1,4,-1.1101534649977665,0.09875987005289742,0.2392598955766126,3,0.9710155722777708,0,0.09875987005289742,0.1361310863559233,0.15615306539470483,0.17388469453026068,0.999982337712459
ABHD13,5,-1.0798931553199256,0.07911374094186258,0.5330193196977924,4,0.9702079565969417,0,0.07911374094186258,0.11734464117630389,0.13702901888814803,0.1542210725617655,0.999982337712459
ABHD14A-ACY1,2,1.128510015314168,0.26332667756976036,0.08590146292110272,1,0.7694537320168132,0,0.26332667756976036,0.3002386065380452,0.3225079978541506,0.34333598195336085,0.999982337712459
ABHD17A,3,1.1468756665137503,0.14652059089165867,0.3671188591555399,2,0.8323024108872157,0,0.14652059089165867,0.1853355165325451,0.2072114068059035,0.22698872335994566,0.999982337712459
AC007325.2,5,1.8256746604937366,0.12752124417446087,1.3402408495554168,4,0.8545120366768215,0,0.12752124417446087,0.18914457162383866,0.2208732739545629,0.24858466831252762,0.999982337712459
AC011043.1,4,-1.1932159877759125,0.15629357985811626,0.5630832827734222,3,0.9048291018481508,0,0.15629357985811626,0.21543583244029807,0.24712184800653184,0.275183243721493,0.999982337712459
AC024592.12,5,1.5611599331808828,0.1272716277863666,1.2456476330595492,4,0.8705273617091086,0,0.1272716277863666,0.18877433068789087,0.22044092568798185,0.24809807639255788,0.999982337712459
AC069368.3,4,1.3795253638442573,0.25147897883020875,1.2109244880753318,3,0.7503853783475828,0,0.25147897883020875,0.34663985043214623,0.397623178378363,0.4427744324820508,0.999982337712459
ACER3,2,-1.204018006130931,0.17714045413707996,0.3433792940973701,1,0.557885093882608,0,0.17714045413707996,0.2019711925979995,0.21695186272036565,0.23096289493382824,0.999982337712459
ACSL3,4,-1.0585391366643457,0.10389800194340489,0.22140489113376322,3,0.9740620164128037,0,0.10389800194340489,0.14321351240326574,0.16427716524088007,0.18293130925098214,0.999982337712459
ACY1,2,1.1190791488500023,0.18345023040523775,0.025114184555192834,1,0.8740828695202884,0,0.18345023040523775,0.20916544443682678,0.22467972884442028,0.2391898366585612,0.999982337712459
ADAM32,2,-1.009485234388793,0.13377362846399865,0.005398451020424442,1,0.9414288121390092,0,0.13377362846399865,0.15252540370099382,0.16383856538872624,0.1744194720870371,0.999982337712459
ADAMTS2,2,1.0671294103928834,0.2387886011955022,0.04932108169611223,1,0.8242488809746251,0,0.2387886011955022,0.27226089487691024,0.29245511466096274,0.3113422446497388,0.999982337712459
ADAMTS9,2,-1.1804654818119933,0.2185960127659833,0.23989371082886657,1,0.6242828929370725,0,0.2185960127659833,0.24923780178043162,0.26772434554178837,0.28501433043834146,0.999982337712459
ADGRL4,2,-1.1231908894080063,0.23750567671388975,0.07333872883411005,1,0.7865362129474327,0,0.23750567671388975,0.2707981359107177,0.2908838594817252,0.30966951577649454,0.999982337712459
ADIRF,5,1.5827746994885186,0.10493525782173221,2.584869914371569,4,0.6295056787804305,0,0.10493525782173221,0.15564414006010477,0.1817531980525796,0.204556475501586,0.999982337712459
