SYMBOL,metap,metafc,idx,k_valid,FDR
TAC1,5.046598757529991e-17,-1.5293662503915832,-24.924083653908937,3,9.588537639306984e-16
FOXJ1,2.8457913142535293e-12,1.7268488047302575,19.937845663610094,4,6.758754371352132e-12
MAS1,7.285918957640143e-13,-1.5091999700071526,-18.317938275752205,4,2.3072076699193784e-12
RPH3A,3.5004916177862795e-13,-1.22229423030942,-15.224739205398647,3,1.330186814758786e-12
NEUROD6,9.70670786307064e-13,-1.25369373930953,-15.060532675624838,4,2.6346778485477453e-12
PCSK1,1.8964929403969136e-10,-1.4869169829947566,-14.455879425019063,3,3.0027804889617795e-10
GAREM2,1.1471343357045075e-13,1.1012984529234275,14.251226774617267,3,6.166991398015964e-13
ALOX15B,1.9656450981666562e-11,1.3173517423083076,14.104219700404007,3,3.734725686516647e-11
CARTPT,2.5012225677672413e-9,-1.4869416499282,-12.790445554173118,3,3.3945163419698274e-9
VGF,7.319355437380316e-15,-0.8385168868986228,-11.852878230909354,4,6.9533876655113e-14
RGS4,2.48551805252596e-9,-1.22594369751507,-10.548734394459576,3,3.3945163419698274e-9
HSPB1,9.15161392339416e-9,1.2302971789528734,9.889746714538791,3,1.0228274384969945e-8
SLC17A6,5.947806361536747e-9,-1.0947256421203466,-9.004822510911051,3,7.395498989086066e-9
SAMD11,4.986441643400831e-6,1.51598026426938,8.038044593922056,3,4.986441643400831e-6
DNAJC5G,4.261219185492268e-12,-0.6770370363513349,-7.698226688084347,4,8.995907169372566e-12
SST,1.1879778429674562e-10,-0.7160464445950274,-7.106898199585175,4,2.05196172876197e-10
SLC5A3,1.2983139785296766e-13,0.44854093566366726,5.780176712089417,3,6.166991398015964e-13
MCHR1,6.227788622388266e-9,-0.20139298157291333,-1.6525635689731653,3,7.395498989086066e-9
LINC01561,3.579323555547507e-7,0.21894770692891666,1.411380498537451,3,3.7781748641890355e-7
