Specification,Gene,Datasets contributing (k),Pooled log2FC,SE,95% CI,Z,Pooled P (raw),Pooled P (FDR),Direction,Direction matches primary,I2 (%),Max raw LOO P
Primary analysis,CHML,4,-0.7544407569081075,0.0678200956191379,"[-0.887, -0.622]",-11.124147644156588,9.571632769089795e-29,3.024635955032376e-26,down,TRUE,0,1.993715157269153e-11
Primary analysis,HSPB1,4,0.9528414575370784,0.09960863707008508,"[0.758, 1.148]",9.56585177314147,1.1128131659095339e-21,5.860816007123545e-20,up,TRUE,0,2.981812193815676e-7
Primary analysis,PRELP,4,0.761820511754901,0.08226875948085077,"[0.601, 0.923]",9.260143419717243,2.0415779818657568e-20,6.451386422695792e-19,up,TRUE,0,7.178371178820047e-12
Primary analysis,KANK2,3,0.8449067717408068,0.09650162192372788,"[0.656, 1.034]",8.755363432218756,2.03446839481155e-18,3.38364217242342e-17,up,TRUE,0,6.543366166329028e-9
Primary analysis,AEBP1,4,0.8602947395046119,0.10331161229191638,"[0.658, 1.063]",8.327183367091113,8.27884601269365e-17,9.021087379348945e-16,up,TRUE,0,3.0756840860677184e-10
Primary analysis,TCEA3,4,0.6740826553401851,0.08237218611061159,"[0.513, 0.836]",8.183377025286287,2.759979181089778e-16,2.6428891552253634e-15,up,TRUE,0,1.612689975461709e-6
Primary analysis,NEUROD6,5,-1.219348122806311,0.15183445666368273,"[-1.517, -0.922]",-8.030773446288274,9.686007202531394e-16,9.002289047058591e-15,down,TRUE,0,1.1477379920119929e-7
Primary analysis,KLF15,4,0.7121044720473425,0.0895524766149997,"[0.537, 0.888]",7.951812154886487,1.838028083819011e-15,1.6133802069077987e-14,up,TRUE,0,5.413937853513137e-9
Primary analysis,NRN1,4,-0.8503450884242201,0.10710273129415472,"[-1.060, -0.640]",-7.939527574593505,2.029527688436286e-15,1.733326350123963e-14,down,TRUE,0,7.953337901794241e-7
Primary analysis,ELOVL4,4,-0.7198293304259896,0.0914834924869776,"[-0.899, -0.541]",-7.868406756863323,3.591861127133362e-15,2.9869160951951116e-14,down,TRUE,0,4.586018912330035e-9
Primary analysis,MAS1,4,-1.4811856625824589,0.18881139392868793,"[-1.851, -1.111]",-7.84478961657307,4.336799207672449e-15,3.4260713740612344e-14,down,TRUE,0,5.114109076767015e-7
Primary analysis,CCDC102A,4,0.8439793924956507,0.10782319570476225,"[0.633, 1.055]",7.827438122003042,4.979115620608477e-15,3.8375622832006796e-14,up,TRUE,0,1.2247061695901605e-7
Primary analysis,NAP1L5,4,-0.8773199621915397,0.1126005778945539,"[-1.098, -0.657]",-7.791433921530279,6.6252959411411375e-15,4.8688221334897673e-14,down,TRUE,0,4.505147352694848e-9
Primary analysis,PIK3R5,4,0.7938203577405716,0.10248268291634911,"[0.593, 0.995]",7.745897503371595,9.490904819139948e-15,6.816195279200509e-14,up,TRUE,0,4.97699233103111e-9
Primary analysis,RAB3C,4,-0.8390488909236082,0.10953970938124603,"[-1.054, -0.624]",-7.659769189302407,1.8626753673561414e-14,1.2262612835094598e-13,down,TRUE,0,2.8424567207877787e-9
Primary analysis,GFAP,4,0.8272491440489974,0.11070366927640612,"[0.610, 1.044]",7.472644307602061,7.859909680856646e-14,4.599502702130926e-13,up,TRUE,0,2.0689168729755913e-8
Primary analysis,ITFG1,4,-0.6324748409528936,0.0856747558052059,"[-0.800, -0.465]",-7.382277720066315,1.5560418302071718e-13,7.930793844281712e-13,down,TRUE,0,1.8175358223603265e-8
Primary analysis,HPRT1,4,-0.7788385932641633,0.10569949944501544,"[-0.986, -0.572]",-7.368422720576011,1.7265857061595694e-13,8.66033465311784e-13,down,TRUE,0,3.456255697803546e-8
Primary analysis,ADAM33,4,0.8419531791290962,0.11436851660756672,"[0.618, 1.066]",7.361756575177891,1.8150573834891757e-13,8.961845830977806e-13,up,TRUE,0,2.5343786485675133e-8
