Specification,Gene,Datasets eligible after screening,Retained,Datasets passing P alone,Datasets lost to magnitude gate,Stage,Failed gate,Pooled log2FC,Pooled P (FDR),I2 (%),Max raw LOO P
Primary analysis,HSPB7,3,TRUE,3,0,retained,NA,0.8787884982191716,3.6016670886117722e-12,0,1.0778377225357809e-6
Primary analysis,KANK2,3,TRUE,4,1,retained,NA,0.8449067717408068,3.38364217242342e-17,0,6.543366166329028e-9
Primary analysis,MRGPRF,3,TRUE,3,0,retained,NA,1.0697407089422342,1.3852966669106066e-9,27.22727415914811,0.00112726399115941
Primary analysis,STAT4,3,TRUE,3,0,retained,NA,-1.0518699015540829,3.5842836033560525e-11,0,7.236932633408088e-5
Primary analysis,TRIM36,3,TRUE,3,0,retained,NA,-0.6562236840348249,1.7044181958203972e-8,0,1.0737560355064964e-4
Primary analysis,ADAM33,4,TRUE,4,0,retained,NA,0.8419531791290962,8.961845830977806e-13,0,2.5343786485675133e-8
Primary analysis,AEBP1,4,TRUE,4,0,retained,NA,0.8602947395046119,9.021087379348945e-16,0,3.0756840860677184e-10
Primary analysis,CCDC102A,4,TRUE,4,0,retained,NA,0.8439793924956507,3.8375622832006796e-14,0,1.2247061695901605e-7
Primary analysis,CHML,4,TRUE,4,0,retained,NA,-0.7544407569081075,3.024635955032376e-26,0,1.993715157269153e-11
Primary analysis,CLDN9,4,TRUE,4,0,retained,NA,0.8947674507140793,9.599663115588575e-10,20.873847318440315,2.2189135268875725e-5
Primary analysis,COL25A1,4,TRUE,4,0,retained,NA,-0.8530639470218865,1.258070679756502e-12,0,2.9843910375612844e-6
Primary analysis,ELOVL4,4,TRUE,4,0,retained,NA,-0.7198293304259896,2.9869160951951116e-14,0,4.586018912330035e-9
Primary analysis,GAD1,4,TRUE,4,0,retained,NA,-0.7980049119142455,4.862606727552266e-9,0,9.97021131331356e-6
Primary analysis,GAD2,4,TRUE,4,0,retained,NA,-0.9495209095328488,4.049288390607363e-9,0,4.3007817154762947e-5
Primary analysis,GFAP,4,TRUE,4,0,retained,NA,0.8272491440489974,4.599502702130926e-13,0,2.0689168729755913e-8
Primary analysis,HPRT1,4,TRUE,4,0,retained,NA,-0.7788385932641633,8.66033465311784e-13,0,3.456255697803546e-8
Primary analysis,HSPB1,4,TRUE,4,0,retained,NA,0.9528414575370784,5.860816007123545e-20,0,2.981812193815676e-7
Primary analysis,ITFG1,4,TRUE,5,1,retained,NA,-0.6324748409528936,7.930793844281712e-13,0,1.8175358223603265e-8
Primary analysis,KLF15,4,TRUE,4,0,retained,NA,0.7121044720473425,1.6133802069077987e-14,0,5.413937853513137e-9
Primary analysis,MAS1,4,TRUE,4,0,retained,NA,-1.4811856625824589,3.4260713740612344e-14,0,5.114109076767015e-7
Primary analysis,NAP1L5,4,TRUE,4,0,retained,NA,-0.8773199621915397,4.8688221334897673e-14,0,4.505147352694848e-9
Primary analysis,NCALD,4,TRUE,4,0,retained,NA,-0.7806865845731779,2.163513840164324e-10,0,1.9704395015950806e-5
Primary analysis,NRN1,4,TRUE,4,0,retained,NA,-0.8503450884242201,1.733326350123963e-14,0,7.953337901794241e-7
Primary analysis,NUPR1,4,TRUE,4,0,retained,NA,0.7691780000933973,4.1507708883886405e-11,0,7.830552370776694e-8
Primary analysis,OPN3,4,TRUE,4,0,retained,NA,-0.6883535460743788,9.783986698006549e-11,0,2.1656681188247293e-5
Primary analysis,PIK3R5,4,TRUE,4,0,retained,NA,0.7938203577405716,6.816195279200509e-14,0,4.97699233103111e-9
Primary analysis,PRELP,4,TRUE,4,0,retained,NA,0.761820511754901,6.451386422695792e-19,0,7.178371178820047e-12
Primary analysis,PRX,4,TRUE,4,0,retained,NA,0.7713616917615478,4.770625581775175e-11,0,6.294670858474073e-7
Primary analysis,RAB3B,4,TRUE,4,0,retained,NA,-0.7577744509557559,1.0022338349674005e-8,0,3.123010539618326e-6
Primary analysis,RAB3C,4,TRUE,4,0,retained,NA,-0.8390488909236082,1.2262612835094598e-13,0,2.8424567207877787e-9
Primary analysis,RGS4,4,TRUE,4,0,retained,NA,-1.192690383497791,4.2226568846251697e-11,0,2.3186381939012906e-5
Primary analysis,RPH3A,4,TRUE,4,0,retained,NA,-1.037486211588476,7.252737763171239e-11,22.5949279434785,2.7547759571513264e-5
Primary analysis,SCG2,4,TRUE,4,0,retained,NA,-0.7751175441723156,8.75579582495117e-12,0,6.4233515203708944e-09
Primary analysis,SERPINI1,4,TRUE,4,0,retained,NA,-0.7576301223018119,1.0529530155651164e-10,0,2.6528773802515955e-8
Primary analysis,TCEA3,4,TRUE,4,0,retained,NA,0.6740826553401851,2.6428891552253634e-15,0,1.612689975461709e-6
