SYMBOL,k,meta_logFC,meta_se,meta_z,meta_p,ci_lb,ci_ub,tau2,I2,meta_FDR,stouffer_Z,stouffer_P,stouffer_FDR,stouffer_Dir,mv_P,mv_FDR,max_loo_p,min_loo_p,k_studies,direction,ci_95,pass_k,pass_k4,pass_dl,pass_stou,pass_mv,pass_i2,pass_loo,consensus
CHML,4,-0.7544407569081075,0.0678200956191379,-11.124147644156588,9.571632769089795e-29,-0.8873657017496805,-0.6215158120665345,0,0,3.024635955032376e-26,-9.558499382747916,1.194764360327026e-21,3.3994089549417292e-18,down,5.603133324454884e-26,3.5411802610554866e-24,1.993715157269153e-11,1.9033629655030192e-27,4,down,"[-0.887, -0.622]",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
CD37,3,0.8183069918393246,0.07987839607422309,10.244409402999942,1.2538830611157288e-24,0.6617482123910218,0.9748657712876276,0,0,1.9811352365628516e-22,9.426577152431337,4.236895647788122e-21,6.445024429560365e-18,up,5.022639583611036e-23,1.7635045649123195e-21,7.490855034402307e-9,3.5669533463861204e-20,3,up,"[0.662, 0.975]",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
TCEAL7,3,-0.783548234756426,0.07806893874891509,-10.03661952260514,1.052183616237891e-23,-0.936560543015563,-0.630535926497289,0,0,1.1083000757705787e-21,-8.63030181689372,6.119029042623324e-18,1.1521325236786708e-15,down,4.0654505507216928e-22,1.1678930672982316e-20,1.3465264715847728e-6,2.8816462939717633e-22,3,down,"[-0.937, -0.631]",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
SMOX,3,0.8235541652056204,0.08310399476656448,9.909922712126516,3.769376486990967e-23,0.660673328491749,0.9864350019194918,0,0,2.9778074247228638e-21,7.370270372064183,1.7028233288235704e-13,6.638901547275836e-13,up,3.497819131038117e-21,8.502391118523423e-20,0.0013363383371961,3.4674944292690697e-22,3,up,"[0.661, 0.986]",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ID3,3,0.7732510906414675,0.08059933630268971,9.593764987561851,8.492807056271542e-22,0.615279294310364,0.9312228869725708,0,0,5.3674540595636144e-20,8.30330383544057,1.0125549298946686e-16,1.1521325236786708e-15,up,5.610018063134233e-20,1.042803357617893e-18,5.048746892361522e-6,7.614715195507235e-21,3,up,"[0.615, 0.931]",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
HSPB1,4,0.9528414575370784,0.09960863707008508,9.56585177314147,1.1128131659095339e-21,0.7576121163305903,1.1480707987435663,0,0,5.860816007123545e-20,8.543599508272205,1.30104383134883e-17,1.1521325236786708e-15,up,2.3833750684590856e-19,3.765732608165356e-18,2.981812193815676e-7,2.8146881065895687e-20,4,up,"[0.758, 1.148]",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
CDH23,3,0.9872950719659191,0.1041415487861103,9.48031869579414,2.535076275459198e-21,0.783181387050922,1.1914087568809162,0,0,1.1444058614930097e-19,8.320093259489953,8.789412760403126e-17,1.1521325236786708e-15,up,9.233015833195039e-20,1.5355963175208592e-18,1.2903851903917376e-5,8.081115889702296e-20,3,up,"[0.783, 1.191]",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
SLFN5,3,-0.7383848873659303,0.07846505806731892,-9.410365652599593,4.9441390804840924e-21,-0.8921735752227195,-0.5845961995091412,0,0,1.9529349367912164e-19,-7.672690507107155,1.684255378950745e-14,7.334064333818439e-14,down,4.2422616814550603e-19,6.3835937682847566e-18,3.4676760445237807e-4,5.653178025698313e-20,3,down,"[-0.892, -0.585]",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
AIFM3,3,0.9313756242310272,0.100395730417446,9.277044156742146,1.7424526577751574e-20,0.7346036084112407,1.128147640050814,0,0,6.117944887299441e-19,8.031559841625729,9.624111094610145e-16,4.707355946436591e-15,up,1.2145847385063425e-18,1.7445853516727467e-17,5.447797665809365e-5,6.650838701524975e-19,3,up,"[0.735, 1.128]",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
PRELP,4,0.761820511754901,0.08226875948085077,9.260143419717243,2.0415779818657568e-20,0.6005767061196453,0.9230643173901566,0,0,6.451386422695792e-19,8.841650133535058,9.431516286937636e-19,5.380090571929988e-16,up,3.8455267141098145e-18,5.179558221158104e-17,7.178371178820047e-12,6.735059906933256e-19,4,up,"[0.601, 0.923]",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
