SYMBOL,k,meta_logFC,meta_se,meta_z,meta_p,ci_lb,ci_ub,tau2,I2,meta_FDR,stouffer_Z,stouffer_P,stouffer_FDR,stouffer_Dir,mv_P,mv_FDR,max_loo_p,min_loo_p,k_studies,direction,ci_95,pass_k,pass_k4,pass_dl,pass_stou,pass_mv,pass_i2,pass_loo,consensus
UBLCP1,5,-0.6420056594906858,0.0596634163158331,-10.760457565691128,5.29068134884992e-27,-0.7589438066643381,-0.5250675123170334,0,0,7.941841772758614e-23,-10.082905276250472,6.5752638203508954e-24,1.433473265474699e-19,down,3.030310829125453e-24,5.065478380401133e-23,1.3528101545144537e-15,7.435558598328734e-26,5,down,"[-0.759, -0.525]",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NDUFA9,5,-0.3730359368391988,0.03624442379067547,-10.292229750805664,7.63866614111065e-25,-0.4440737021093294,-0.30199817156906816,0,0,5.7332008722106e-21,-8.843253290428683,9.297114693398312e-19,6.391380572853546e-16,down,8.446612715528306e-22,1.0781641451768318e-20,7.831973917370839e-13,6.981350359007772e-25,5,down,"[-0.444, -0.302]",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
LRP4,5,0.6416993797898083,0.063319086960942,10.1343751242913,3.88851739197698e-24,0.5175962498124023,0.7658025097672143,0,0,1.9456844856988822e-20,9.567430553351896,1.0959548180115183e-21,3.982151831244852e-18,up,4.3498800999860525e-21,5.137376096057485e-20,2.5648913008123737e-10,1.1782688195627631e-24,5,up,"[0.518, 0.766]",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
DYNC2LI1,5,-0.6092800981706814,0.06099818269174638,-9.988495907323523,1.7115904444530303e-23,-0.7288343393688987,-0.489725856972464,0.00116520552288322,5.591618040512762,6.423171040421109e-20,-9.073356749364422,1.154056822684182e-19,1.2026019585881923e-16,down,3.9586063485560964e-23,5.80866470167894e-22,6.769793513882824e-11,9.797874669918425e-27,5,down,"[-0.729, -0.490]",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
EMP3,4,0.6956985571457798,0.07075108870063972,9.83304384317537,8.112887698812636e-23,0.5570289714255272,0.8343681428660323,0,0,2.43565114493753e-19,8.88770525158349,6.238390771100614e-19,4.689764041405672e-16,up,1.3420467724457421e-20,1.4966912408011171e-19,2.048874858289346e-9,1.0493342538530814e-21,4,up,"[0.557, 0.834]",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ID3,5,0.7332362782036305,0.07494370494729778,9.783827457146131,1.321177034079716e-22,0.5863493156389306,0.8801232407683304,0,0,3.305364743095103e-19,7.843465379448756,4.3827999668811116e-15,2.9528319761832524e-13,up,1.847106762193335e-19,1.8063139809305632e-18,4.073189396712844e-7,1.5250045004277058e-22,5,up,"[0.586, 0.880]",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
CREBBP,5,0.36175302492702016,0.03713335142521255,9.741997720178832,1.9959140932185516e-22,0.2889729935083345,0.4345330563457058,0,0,4.280095207614812e-19,8.631946868774769,6.031640269524851e-18,2.5783488140374765e-15,up,1.6684732789309625e-19,1.6358884644044855e-18,9.138424483821e-15,2.1966830360501166e-22,5,up,"[0.289, 0.435]",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
HSPB1,5,0.9478849603339072,0.09880446866403986,9.59354342116808,8.511071339100556e-22,0.7542317602407729,1.1415381604270418,0,0,1.5969961483904804e-18,8.01163416914593,1.1319415417651953e-15,9.715534469300402e-14,up,1.4050979983706158e-18,1.2584681416194101e-17,2.2221552609662458e-7,1.1128131659095339e-21,5,up,"[0.754, 1.142]",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
GPS2,5,0.34309850269654185,0.03643550727186755,9.416597390465146,4.659427852616924e-21,0.2716862206852342,0.4145107847078495,0,0,7.771407943959182e-18,8.45267969130709,2.846919197754831e-17,7.388772075030128e-15,up,3.2595766683234987e-18,2.781666024343606e-17,1.617303334135749e-13,5.97023761980796e-21,5,up,"[0.272, 0.415]",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ACTR10,5,-0.5046575490535458,0.05401468073962124,-9.342970135957236,9.366888055109935e-21,-0.6105243779396328,-0.3987907201674588,0,0,1.4060635659525524e-17,-8.400035027242145,4.463454797615763e-17,9.53997823949228e-15,down,4.1156231999165004e-18,3.474669283124105e-17,9.136087509825917e-13,8.716064875562181e-21,5,down,"[-0.611, -0.399]",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
PRELP,5,0.7460875849938005,0.08008659030258079,9.316011359391808,1.2079615163991451e-20,0.5891207523561274,0.9030544176314736,0,0,1.648428211151597e-17,8.497528592291467,1.9366980671015923e-17,5.946754163504481e-15,up,1.049626675082572e-17,8.502939028421205e-17,4.774871668190365e-12,2.0415779818657568e-20,5,up,"[0.589, 0.903]",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
SUB1,5,-0.5623578220975123,0.06108992436919974,-9.20541035046757,3.403682118826441e-20,-0.6820918736794195,-0.44262377051560503,0,0,4.2577226904753103e-17,-8.58389570432483,9.171312813449027e-18,3.702662789740782e-15,down,2.859284732002615e-17,2.1931897349050208e-16,8.268266984496854e-13,1.6834189593301668e-19,5,down,"[-0.682, -0.443]",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
IFT140,5,0.3856671401980894,0.0420344687567347,9.175021157756357,4.514857927970436e-20,0.30328109532561526,0.46805318507056354,0,0,5.213271719751093e-17,8.181156509972933,2.8113247298340553e-16,2.8774502551695886e-14,up,1.9364460488087538e-17,1.5202924497211408e-16,1.905266336312269e-9,1.1031263525901847e-19,5,up,"[0.303, 0.468]",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
AGL,5,-0.42699943319926786,0.04671798935731275,-9.139936009091748,6.248929525846003e-20,-0.5185650097697264,-0.3354338566288093,0,0,6.700191508033883e-17,-7.865612893791169,3.672946963489893e-15,2.550124737294368e-13,down,7.87294317263806e-17,5.76210385004729e-16,1.5481371511039463e-9,5.931268922835398e-20,5,down,"[-0.519, -0.335]",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
PPP1R2,5,-0.5653642446006526,0.06215885451069723,-9.095473992419796,9.417478293195369e-20,-0.6871933607618842,-0.44353512843942094,0.00379212202879982,18.90846152129333,9.424384443943712e-17,-9.567933050665236,1.0906423100392494e-21,3.982151831244852e-18,down,1.0123520684818804e-25,1.9942804330684386e-24,1.5294969858693236e-7,9.195348950249127e-29,5,down,"[-0.687, -0.444]",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ZNF592,5,0.3388644952600332,0.037462136763315,9.045519677667402,1.489549417600187e-19,0.2654400564200219,0.4122889341000445,0,0,1.3974766442247752e-16,8.134753820746552,4.1277627864191733e-16,4.0173819869073394e-14,up,7.889070068729526e-17,5.771093118991175e-16,1.081704796512491e-11,8.33000303711248e-20,5,up,"[0.265, 0.412]",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
AXIN1,5,0.43461502879355784,0.04826622709683749,9.004537021747755,2.1657767928807012e-19,0.3400149620141251,0.5292150955729906,0,0,1.912380908113659e-16,8.363898016521622,6.067937603801103e-17,1.2026100700042534e-14,up,2.0713495920723563e-16,1.448882978872234e-15,2.7211416244028564e-11,9.607139986098392e-19,5,up,"[0.340, 0.529]",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
FAM162A,5,-0.523362465736771,0.05828028831599859,-8.980093971036554,2.7053560178720242e-19,-0.6375897318447388,-0.4091351996288033,0.00286536361416109,16.132007869613588,2.2561166213487196e-16,-9.076206727160727,1.124247167186141e-19,1.2026019585881923e-16,down,4.379592092440582e-23,6.401368734140759e-22,1.9552593149628114e-7,2.953639731369599e-22,5,down,"[-0.638, -0.409]",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
CERS4,5,0.3692465199861196,0.04153722053127159,8.889533658327707,6.136591460825384e-19,0.2878350637269296,0.4506579762453096,0,0,4.848230232549993e-16,7.661195334949731,1.842104290621143e-14,9.677039913212421e-13,up,3.573131166031748e-16,2.4369046766607255e-15,1.9684026784154375e-7,6.507623651566902e-19,5,up,"[0.288, 0.451]",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
MXD4,5,0.5241044071108772,0.05915788718982138,8.859417264669553,8.043377481048227e-19,0.4081570788173439,0.6400517354044106,0,0,6.036956968400748e-16,8.27490627875041,1.285566966792583e-16,2.2972660199217295e-14,up,2.661420687228572e-16,1.8334367111513585e-15,2.3165953605174795e-10,1.332131967167282e-18,5,up,"[0.408, 0.640]",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
TAC1,3,-1.5215625050377033,0.1728211727471451,-8.804259807123886,1.3171895297972787e-18,-1.8602857793880827,-1.182839230687324,0,0,9.415396205612834e-16,-8.645600650555053,5.352299631188287e-18,2.3337096851907172e-15,down,5.046598757529991e-17,3.757663390341403e-16,1.9352289538601184e-10,1.1074995841363813e-15,3,down,"[-1.860, -1.183]",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
DZIP3,5,-0.41789941138535064,0.0480826690889294,-8.691269001985752,3.5841327299232056e-18,-0.5121397110802096,-0.32365911169049166,0,0,2.4455189276762388e-15,-7.483353376227491,7.244972603374046e-14,3.0610009249255345e-12,down,1.3585924879795278e-15,8.760237043410951e-15,1.9239029315279312e-8,9.220466475306179e-18,5,down,"[-0.512, -0.324]",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ARAP1,5,0.4198283799545437,0.04882811042420784,8.598087788103356,8.10552878940058e-18,0.3241270420899516,0.5155297178191358,0,0,5.290090985117048e-15,8.114962880566575,4.859333267648053e-16,4.7083699807997866e-14,up,2.5871913296535945e-15,1.6276751487606922e-14,1.8762921834725845e-11,9.517174262712605e-17,5,up,"[0.324, 0.516]",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
PSMD1,5,-0.3608744760922515,0.04212894802256043,-8.565950327053027,1.071880895899662e-17,-0.4434456969230298,-0.27830325526147315,0,0,6.7041683868124305e-15,-7.945255444773731,1.9379101953246363e-15,1.4846370821341337e-13,down,3.391103313657378e-15,2.1025961107522055e-14,3.226356148479182e-10,2.6678195508665617e-17,5,down,"[-0.443, -0.278]",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NT5DC2,5,0.5611784112263791,0.0660520135889741,8.49600762693562,1.962231103844233e-17,0.43171884348563966,0.6906379789671186,0.00246648828072512,10.829618653934682,1.1782020439922317e-14,8.696691511329787,3.4170073960819233e-18,1.6930495054995914e-15,up,4.7736962619298704e-18,3.9818848529449655e-17,1.556504957350796e-10,8.465603329503611e-19,5,up,"[0.432, 0.691]",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
DDIT4,5,0.6800505854030446,0.08013644263328097,8.486158894213467,2.135793623741941e-17,0.5229860439926538,0.8371151268134355,0,0,1.2149547993664828e-14,7.457665113159279,8.806916529390539e-14,3.622633721834776e-12,up,2.1834944257001543e-14,1.231129815307716e-13,4.135672559687529e-9,2.2108158097227254e-17,5,up,"[0.523, 0.837]",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
WDHD1,5,-0.422421871967084,0.04979338719955796,-8.483493405944355,2.185316073738927e-17,-0.5200151175464753,-0.3248286263876927,0,0,1.2149547993664828e-14,-7.292834944138641,3.0349983053652317e-13,1.0462554510019159e-11,down,1.903904100366108e-14,1.080510565239911e-13,2.4003831836013337e-8,4.8397274592343566e-17,5,down,"[-0.520, -0.325]",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
SLC30A9,5,-0.41324373332783154,0.0489492001424109,-8.442297976791373,3.111589105986041e-17,-0.5091824026789997,-0.3173050639766633,0.00121108721148324,8.917483987781786,1.6681451453555882e-14,-8.084479102612377,6.2430450175304495e-16,5.891975083427763e-14,down,2.284075239168925e-18,1.989916042667715e-17,1.241418986860214e-8,5.374891202590037e-21,5,down,"[-0.509, -0.317]",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
BCL6,5,0.5346398956662543,0.06369829903701042,8.393315108078696,4.7262266120065175e-17,0.4097935236772514,0.6594862676552571,0.00170277051152061,6.944884133813369,2.3723172039209712e-14,8.677474830661328,4.0465273124210876e-18,1.9177900421324377e-15,up,1.2652325057245843e-17,1.0123883338716276e-16,1.727321566421426e-5,6.5571050762401616e-21,5,up,"[0.410, 0.659]",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RENBP,5,0.4956436759567233,0.05905480256977972,8.39294442430937,4.7411575589653666e-17,0.3798983898058316,0.611388962107615,0,0,2.3723172039209712e-14,7.176159392264727,7.169696163809859e-13,2.192237672752016e-11,up,1.7296185609905182e-14,9.8870160773148e-14,4.6980589950102946e-7,1.0076914844843502e-16,5,up,"[0.380, 0.611]",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RAB2A,5,-0.4418488150986607,0.0529141690322638,-8.350292996744379,6.809383553745107e-17,-0.5455586806737623,-0.338138949523559,0,0,3.2972792427505755e-14,-7.681265194062197,1.5752499749760324e-14,8.542792215037931e-13,down,2.7277375132651364e-14,1.524425458362731e-13,7.057852491652197e-10,1.9100466584906672e-16,5,down,"[-0.546, -0.338]",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
DCBLD1,5,-0.4968059192719224,0.05952417955927316,-8.346287558272207,7.044217564023069e-17,-0.613471167417393,-0.3801406711264518,0,0,3.3043984329234475e-14,-6.873063848198092,6.283742360904404e-12,1.38936985000078e-10,down,4.540635536283883e-14,2.472233588507703e-13,8.172702823441376e-9,2.385331111006663e-17,5,down,"[-0.613, -0.380]",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
KIFAP3,5,-0.5026352301458396,0.06027226527621909,-8.33941163223806,7.466108575318418e-17,-0.6207666993538731,-0.384503760937806,0,0,3.3961744189122665e-14,-7.922361638619471,2.330413458834925e-15,1.7222150446122105e-13,down,3.7447379776695395e-14,2.0635925764609931e-13,5.903958162916148e-11,1.2555814827023268e-15,5,down,"[-0.621, -0.385]",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
DMXL2,5,-0.496431269892883,0.05978355939076298,-8.303809190216692,1.0082552055788439e-16,-0.6136048931663898,-0.3792576466193762,0,0,4.4514467326305966e-14,-7.8098356546483005,5.7262603442578925e-15,3.6609443332893353e-13,down,5.5377177807748536e-14,2.969870725516661e-13,3.6786526885748983e-10,4.366025841927447e-16,5,down,"[-0.614, -0.379]",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
SNX33,5,0.5587718418684215,0.067426408422518,8.287136374919413,1.1600759782329706e-16,0.4266185097533981,0.690925173983445,0,0,4.9754001455014644e-14,6.886255348357437,5.72801364216711e-12,1.278161979661056e-10,up,1.6773620523739457e-13,8.460645755438608e-13,1.096046263644481e-9,7.158791316768581e-17,5,up,"[0.427, 0.691]",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
LRCH4,5,0.47645556587124593,0.05761595241874331,8.269507764246347,1.3451321563783292e-16,0.3635303741955356,0.5893807575469563,0,0,5.6088274442764174e-14,7.073748791184834,1.508031782794164e-12,4.0942217804104067e-11,up,6.067064095293918e-14,3.2375648465857453e-13,4.237204249959504e-7,1.2635071896548344e-16,5,up,"[0.364, 0.589]",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
