SYMBOL,k,meta_logFC,meta_se,meta_z,meta_p,ci_lb,ci_ub,tau2,I2,meta_FDR,stouffer_Z,stouffer_P,stouffer_FDR,stouffer_Dir,mv_P,mv_FDR,max_loo_p,min_loo_p,k_studies,direction,ci_95,pass_k,pass_k4,pass_dl,pass_stou,pass_mv,pass_i2,pass_loo,consensus
TAC1,3,-1.5215625050377033,0.1728211727471451,-8.804259807123886,1.3171895297972787e-18,-1.8602857793880827,-1.182839230687324,0,0,2.5026601066148295e-17,-8.645600650555053,5.352299631188287e-18,1.525661317710715e-15,down,5.046598757529991e-17,9.588537639306984e-16,1.9352289538601184e-10,1.1074995841363813e-15,3,down,"[-1.860, -1.183]",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
GAREM2,3,1.0743751120327627,0.13611198141428563,7.893317699656979,2.9425727385391194e-15,0.8076005305963776,1.3411496934691478,0,0,2.7466394981925503e-14,7.584621437749994,3.334592237112957e-14,1.92437182550632e-13,up,1.1471343357045077e-13,6.166991398015964e-13,4.694148348263875e-7,2.891247504431054e-13,3,up,"[0.808, 1.341]",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
MAS1,4,-1.4811856625824589,0.18881139392868793,-7.84478961657307,4.336799207672449e-15,-1.8512491945534917,-1.1111221306114256,0,0,2.7466394981925503e-14,-7.289353904688504,3.114449519984547e-13,1.576136301246327e-12,down,7.285918957640144e-13,2.3072076699193784e-12,5.114109076767015e-7,7.143010852945399e-14,4,down,"[-1.851, -1.111]",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NEUROD6,4,-1.2848436144124895,0.1646991492746188,-7.801155136934835,6.134304406510351e-15,-1.6076480152751285,-0.9620392135498506,0,0,2.9137945930924165e-14,-7.28934733427381,3.114601397682669e-13,1.576136301246327e-12,down,9.70670786307064e-13,2.6346778485477453e-12,9.724585063187964e-7,2.3391173882344354e-13,4,down,"[-1.608, -0.962]",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RPH3A,3,-1.1538309281914194,0.1502966154211667,-7.6770253605386385,1.6282520613600762e-14,-1.4484068814151734,-0.8592549749676655,0,0,6.187357833168291e-14,-7.645315945935681,2.0843289840252963e-14,1.2239555913712453e-13,down,3.50049161778628e-13,1.3301868147587859e-12,9.089754966966629e-9,8.047642227203046e-12,3,down,"[-1.448, -0.859]",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ALOX15B,3,1.3040936318352183,0.18267630203663,7.1388221531533045,9.413403232440576e-13,0.9460546590144628,1.662132604655974,0,0,2.9809110236061823e-12,7.163527223202815,7.862723959543711e-13,3.846004642423991e-12,up,1.965645098166656e-11,3.734725686516647e-11,2.8264769321385265e-8,9.252454538986875e-10,3,up,"[0.946, 1.662]",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
PCSK1,3,-1.3912464594238916,0.2046308780553902,-6.7988099970294025,1.0548682756712432e-11,-1.792315610537264,-0.9901773083105192,0,0,2.8632138911076604e-11,-6.7995847580125455,1.0492112253811552e-11,4.594956824426255e-11,down,1.8964929403969136e-10,3.0027804889617795e-10,4.936239993742534e-7,4.593928234001491e-9,3,down,"[-1.792, -0.990]",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RGS4,3,-1.258877588332501,0.1941123363548813,-6.4853043962697345,8.855281744777415e-11,-1.6393307765429932,-0.8784244001220087,0,0,2.1031294143846358e-10,-6.118727579484264,9.432549874539382e-10,3.29857676955907e-9,down,2.4855180525259603e-9,3.394516341969827e-9,2.0580903439429876e-4,2.697735209060763e-9,3,down,"[-1.639, -0.878]",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
CARTPT,3,-1.342888563599756,0.2083532377533134,-6.4452493183221495,1.1541053722300788e-10,-1.7512534056585614,-0.9345237215409508,0,0,2.4364446747079437e-10,-6.222377151543136,4.896781731367139e-10,1.7678212013240686e-9,down,2.501222567767241e-9,3.394516341969827e-9,5.596784508986763e-5,3.6244748718101454e-9,3,down,"[-1.751, -0.935]",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
SLC17A6,3,-1.143757909157341,0.17973472240524987,-6.363589037506608,1.9709305244414534e-10,-1.4960314918429354,-0.7914843264717473,0,0,3.7447679964387615e-10,-5.899961433364671,3.635865504752807e-9,1.1815302188121813e-8,down,5.947806361536747e-9,7.395498989086066e-9,5.803376174078532e-4,2.444712818380365e-9,3,down,"[-1.496, -0.791]",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
