SYMBOL,k,meta_logFC,meta_se,meta_z,meta_p,ci_lb,ci_ub,tau2,I2,meta_FDR,stouffer_Z,stouffer_P,stouffer_FDR,stouffer_Dir,mv_P,mv_FDR,max_loo_p,min_loo_p,k_studies,direction,ci_95,pass_k,pass_k4,pass_dl,pass_stou,pass_mv,pass_i2,pass_loo,consensus
SMIM14,3,-0.6515407149569473,0.05643680512602965,-11.54460663572264,7.860023926045853e-31,-0.762154820406471,-0.5409266095074237,0,0,1.63016896226191e-27,-8.124861004538227,4.478753629761256e-16,3.166812795957386e-15,down,6.98239559720773e-29,1.7037045257186864e-27,2.9989085192615285e-5,1.4332651519071858e-29,3,down,"[-0.762, -0.541]",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
CHML,4,-0.7544407569081075,0.0678200956191379,-11.124147644156588,9.571632769089795e-29,-0.8873657017496805,-0.6215158120665345,0,0,8.404890223570848e-26,-9.558499382747916,1.194764360327026e-21,6.0941222130887475e-19,down,5.603133324454884e-26,9.008448461177851e-25,1.993715157269153e-11,1.9033629655030192e-27,4,down,"[-0.887, -0.622]",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
PPP1R2,3,-0.6061607305910586,0.05459530551441496,-11.102799496762817,1.2157507555791968e-28,-0.7131655631242729,-0.4991558980578442,0,0,8.404890223570848e-26,-10.924730880023573,8.78002859941962e-28,6.4937091521307505e-24,down,4.5935454531001865e-27,8.821308583083136e-26,8.806136226703023e-13,6.791121788536699e-23,3,down,"[-0.713, -0.499]",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
UBLCP1,5,-0.654773004876338,0.06081952468850477,-10.765835613314056,4.9906737756269804e-27,-0.773977082822652,-0.5355689269300241,0,0,2.5876643526625888e-24,-10.11265157775772,4.8552104513768536e-24,1.0259753285252346e-20,down,1.8992314399255778e-24,2.4618787540035303e-23,1.3528101545144537e-15,2.7583128928852104e-21,5,down,"[-0.774, -0.536]",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
DYNC2LI1,4,-0.6288059400696807,0.05874755758455527,-10.703524808918928,9.797874669918425e-27,-0.743949037115102,-0.5136628430242595,0,0,4.064158413082163e-24,-10.140250870939695,3.6615802660746014e-24,9.027015882629252e-21,down,2.4060019825909837e-24,3.0163875778450455e-23,4.0629883974625565e-14,8.658732846842929e-25,4,down,"[-0.744, -0.514]",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
MAK16,3,-0.6634049424881725,0.06229907494673541,-10.648712570056164,1.7679312919216346e-26,-0.7855088856539355,-0.5413009993224095,0,0,6.1111491657424504e-24,-7.921085583350205,2.3544580541933558e-15,1.5011699800701778e-14,down,1.3276606992467191e-24,1.788031357297205e-23,7.145814592595935e-5,2.5259477994113e-24,3,down,"[-0.786, -0.541]",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
VPS4B,3,-0.4788566152510774,0.04630430104858622,-10.341514814112458,4.572517696937766e-25,-0.5696113776356067,-0.3881018528665482,0,0,1.354771671921275e-22,-8.00437617980488,1.2007380508189834e-15,7.964716254580451e-15,down,5.486431013338503e-23,5.858217763639043e-22,6.0411055236189295e-5,1.023418272171646e-23,3,down,"[-0.570, -0.388]",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
TTC19,3,-0.453360856669353,0.04402566515882106,-10.2976492242393,7.2204185499662895e-25,-0.5396495747760621,-0.3670721385626438,0,0,1.8718935090787605e-22,-10.080310698870536,6.751230198596042e-24,1.2483024637204082e-20,down,2.987399394459256e-23,3.313297510218448e-22,1.2381856888570316e-13,2.1174452505385783e-21,3,down,"[-0.540, -0.367]",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
LRP4,4,0.6561353236019631,0.0640105613398003,10.250422896916437,1.1782688195627631e-24,0.5306769287457627,0.7815937184581636,0,0,2.6005534687540214e-22,9.567430553351896,1.0959548180115183e-21,6.004208765935695e-19,up,2.922972059915499e-22,2.886782882030831e-21,9.149686722154544e-11,7.681401477805776e-23,4,up,"[0.531, 0.782]",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
CD37,3,0.8183069918393246,0.07987839607422309,10.244409402999942,1.2538830611157288e-24,0.6617482123910218,0.9748657712876276,0,0,2.6005534687540214e-22,9.426577152431337,4.236895647788122e-21,1.5285892785873635e-18,up,5.022639583611036e-23,5.453902877701197e-22,7.490855034402307e-9,3.5669533463861204e-20,3,up,"[0.662, 0.975]",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
