study_id,SYMBOL,logFC,SE,P.Value
GSE278723,1-MAR,-0.47879909722851566,0.08257502320860129,6.696954483466454e-9
GSE278723,1-SEP,1.4312449359146242,0.22218869682743222,1.1824076160681007e-10
GSE278723,10-MAR,0.161996169889504,0.5508048522127957,0.7686752997198656
GSE278723,10-SEP,-0.29339506989021186,0.10502502347158957,0.005212926165648758
GSE278723,11-SEP,-0.2381248439194502,0.05410702996863867,1.0775491437737805e-5
GSE278723,15-SEP,-0.46062749746048554,0.10410375547657488,9.65780694981852e-6
GSE278723,2-MAR,1.020945646964412,0.0986439038294245,4.193178027189919e-25
GSE278723,2-SEP,-0.21752558318372622,0.09220224694443964,0.018313289162700544
GSE278723,3-MAR,0.32947664262130855,0.0926412947940695,3.7586123962854163e-4
GSE278723,3-SEP,0.02726569441411955,0.07267430721671037,0.7075291837143312
GSE278723,4-MAR,0.20981741421333513,0.09508537849192115,0.027340532962433474
GSE278723,4-SEP,0.27797587582267197,0.12168236684406576,0.022345776835414635
GSE278723,5-MAR,-0.39825831966755054,0.06198490543993904,1.317953830731444e-10
GSE278723,5-SEP,0.42162434474885097,0.0795441683723052,1.154821461693654e-7
GSE278723,6-MAR,-0.6965119331966758,0.07516259014199701,1.9192806122772163e-20
GSE278723,6-SEP,0.06816397368671952,0.08610276223682692,0.42855989361761904
GSE278723,7-MAR,-0.42112427151144466,0.08724192921366003,1.3854549164863018e-6
GSE278723,7-SEP,-1.048637104893955,0.08679988356391424,1.329474320797429e-33
GSE278723,8-MAR,0.11703537191772492,0.06702351361699406,0.08077902350102795
GSE278723,8-SEP,0.2626570011174998,0.06094224053201372,1.633036806698824e-5
GSE278723,9-MAR,0.4307517572807213,0.06100408285754865,1.65270992131024e-12
GSE278723,9-SEP,0.7696006420171977,0.11204988866444945,6.493738603552811e-12
GSE278723,A1BG,0.5466136664933957,0.08954242665492165,1.0310912722419451e-9
GSE278723,A2M,0.15868682201713516,0.13569992022422397,0.24224448243061306
GSE278723,A2ML1,0.49211870289988435,0.10527381272986773,2.9444889220189754e-6
GSE278723,A4GALT,0.38747240678427625,0.09992247662540543,1.0543554151902246e-4
GSE278723,AAAS,0.19741521861301492,0.06099116055372388,0.0012088483203288804
GSE278723,AACS,-0.029553514624759355,0.071827202806687307,0.6807404330604689
GSE278723,AADAT,-0.34622250822322387,0.07948412049896428,1.3253933163751237e-5
GSE278723,AAED1,-0.8977375467261357,0.08211133587146714,8.000002301420238e-28
GSE278723,AAGAB,-0.2645933387685868,0.06442146807497416,4.004444809323019e-5
GSE278723,AAK1,-0.4500432585827891,0.08585820191105253,1.591006682761179e-7
GSE278723,AAMDC,0.09957370142100892,0.1224070135824712,0.4159520666309463
GSE278723,AAMP,0.39736980946717365,0.06650711829389232,2.303072180186638e-9
GSE278723,AAR2,0.33027023546875484,0.058915925181705506,2.0730859167647507e-8
GSE278723,AARS,0.10196266736696624,0.060176138615822966,0.09018861129999456
GSE278723,AARS2,0.4586850542681315,0.052397956102212144,2.0615303636778983e-18
GSE278723,AARSD1,-0.017253899426567024,0.08848019534648534,0.8453906353821099
GSE278723,AASDH,-0.42306697653127584,0.06603046884933435,1.4826702609053347e-10
GSE278723,AASDHPPT,-0.7741674534990026,0.08635343762460834,3.0999130437628786e-19
GSE278723,AASS,-0.18027267373867675,0.08695044392116254,0.03814616753018457
GSE278723,AATF,0.13849278697873396,0.057965975814037396,0.01688472900089738
GSE278723,AATK,0.6591633434649503,0.10480694114049861,3.188801158568834e-10
GSE278723,ABAT,0.11420491437785119,0.1284661888269949,0.374009470022294
GSE278723,ABCA1,0.39900653212155407,0.0929932857466505,1.7810871582026367e-5
GSE278723,ABCA10,-0.7432861117112874,0.09090964064212427,2.931840830492388e-16
GSE278723,ABCA13,-0.1861472605369942,0.19892145565945543,0.34938507100173605
GSE278723,ABCA2,0.9647634410327233,0.09213932541671423,1.177660974802545e-25
GSE278723,ABCA3,0.6757910174071493,0.052292510210764545,3.3263053779059024e-38
GSE278723,ABCA5,-1.2128704681632692,0.0904706737333645,5.55954637713146e-41
GSE278723,ABCA6,-1.0710066385230734,0.1294801394009959,1.3218408501398026e-16
GSE278723,ABCA7,0.4037590100055053,0.09889232183254029,4.449352922694202e-5
GSE278723,ABCA8,-0.5192946476722097,0.11902066438493167,1.2825403597070849e-5
