SYMBOL,logFC,SE,P.Value,acc,region
1-MAR,-0.50776395040296,0.1566706822554702,0.00300325576915736,GSE278723_CA1,hippocampus_CA1
1-SEP,1.93900494514519,0.32168355617452876,1.51635883881634e-6,GSE278723_CA1,hippocampus_CA1
10-SEP,-0.330948509913719,0.26040885507548595,0.213938901336327,GSE278723_CA1,hippocampus_CA1
11-SEP,-0.1290843254846,0.1398144622803372,0.363543865405499,GSE278723_CA1,hippocampus_CA1
15-SEP,-0.13280322182651,0.2262280949281307,0.561755101773971,GSE278723_CA1,hippocampus_CA1
2-MAR,0.95522770381874,0.24598378463086004,5.5344477289539e-4,GSE278723_CA1,hippocampus_CA1
2-SEP,-0.195924561896383,0.23898457950530166,0.419050192676027,GSE278723_CA1,hippocampus_CA1
3-MAR,0.407577007223372,0.21632948354096013,0.0696864103322855,GSE278723_CA1,hippocampus_CA1
3-SEP,0.107432931100568,0.1752834385185255,0.544745019406218,GSE278723_CA1,hippocampus_CA1
4-MAR,0.287597329319863,0.24623722672147674,0.252395798452153,GSE278723_CA1,hippocampus_CA1
4-SEP,0.0330115107680744,0.3139745561626598,0.91699286013606,GSE278723_CA1,hippocampus_CA1
5-MAR,-0.38767846195027,0.1453689938867372,0.0124265878991003,GSE278723_CA1,hippocampus_CA1
5-SEP,0.512672074659034,0.21619287202055315,0.024628540445717,GSE278723_CA1,hippocampus_CA1
6-MAR,-0.462229690556049,0.17098708075801713,0.0113933825869103,GSE278723_CA1,hippocampus_CA1
6-SEP,-0.129115899192815,0.1998906122046922,0.523435695800064,GSE278723_CA1,hippocampus_CA1
7-MAR,-0.687044808142458,0.2059003934113056,0.00234696289236895,GSE278723_CA1,hippocampus_CA1
7-SEP,-1.20708987081828,0.1902697942091194,6.41476962828245e-7,GSE278723_CA1,hippocampus_CA1
8-MAR,0.0724096364249582,0.14965458217480973,0.632153822700308,GSE278723_CA1,hippocampus_CA1
8-SEP,0.183345559405417,0.13448192272899948,0.183334518672642,GSE278723_CA1,hippocampus_CA1
9-MAR,0.422259160493375,0.13890140661663478,0.0049965508556133,GSE278723_CA1,hippocampus_CA1
9-SEP,0.957155238246378,0.23239506839433743,2.9254929906493e-4,GSE278723_CA1,hippocampus_CA1
A1BG,0.672385326664815,0.18124384518505085,8.8081392917925e-4,GSE278723_CA1,hippocampus_CA1
A2M,0.236680869436148,0.3144320265209463,0.457722800703487,GSE278723_CA1,hippocampus_CA1
A2ML1,0.582228332437675,0.23248908249725977,0.0181852534804626,GSE278723_CA1,hippocampus_CA1
A4GALT,0.340159235084498,0.2655754963607352,0.210467145715337,GSE278723_CA1,hippocampus_CA1
AAAS,0.173382918907355,0.12217212057054617,0.166580495630898,GSE278723_CA1,hippocampus_CA1
AACS,-0.00833020505079118,0.17926600931524234,0.963257579831899,GSE278723_CA1,hippocampus_CA1
AADAT,-0.394380711679237,0.17848812600173825,0.035242541239925,GSE278723_CA1,hippocampus_CA1
AAED1,-0.866826417258724,0.1965897168499988,1.3201528116797e-4,GSE278723_CA1,hippocampus_CA1
AAGAB,-0.213732415848836,0.16328216221617203,0.200889042288113,GSE278723_CA1,hippocampus_CA1
AAK1,-0.513497424178399,0.1906434008462194,0.0116631762341232,GSE278723_CA1,hippocampus_CA1
AAMP,0.483829627039214,0.1503585543173598,0.00318625347378971,GSE278723_CA1,hippocampus_CA1
AAR2,0.517078488524645,0.13602177539277005,6.8956606735367e-4,GSE278723_CA1,hippocampus_CA1
AARS,0.0930813143767077,0.13915415854601024,0.508879898453574,GSE278723_CA1,hippocampus_CA1
AARS2,0.398101317690721,0.14267649321462086,0.00924386024474903,GSE278723_CA1,hippocampus_CA1
AARSD1,-0.0932851541386851,0.2549960359211309,0.717164975108247,GSE278723_CA1,hippocampus_CA1
AASDH,-0.399228786013572,0.12848154686980265,0.00421896946865343,GSE278723_CA1,hippocampus_CA1
AASDHPPT,-0.685286375375741,0.18947742700150588,0.00112795179706221,GSE278723_CA1,hippocampus_CA1
AASS,-0.330166573773257,0.17180398901694402,0.0645782389053039,GSE278723_CA1,hippocampus_CA1
AATF,-0.0570925059472408,0.14603853750110893,0.69871713546504,GSE278723_CA1,hippocampus_CA1
AATK,0.85028383806923,0.22940000326645388,8.8855064446828e-4,GSE278723_CA1,hippocampus_CA1
ABAT,0.100435620642905,0.2863076792536259,0.72829385293482,GSE278723_CA1,hippocampus_CA1
ABCA1,0.559779153993272,0.18846921808279185,0.00594697485078435,GSE278723_CA1,hippocampus_CA1
ABCA10,-0.75857908161679,0.23742582571280288,0.00337732806193336,GSE278723_CA1,hippocampus_CA1
